confidence_level,created_at,description,description_en,display_name,display_name_en,followers_count,following_count,iteration_source,location,manual_person_vs_organization,person_vs_organization,predicted_class,profile_banner_url,profile_image_url,statuses_count,uncertainty_score,url,username,verified
,December 2025,031,,031esf,,0.0,11.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1.0,,,031es,False
,February 2014,▶︎  ｸｷｰｯ／ｾﾚちゃん,,komagome,,1980.0,200.0,2,のば,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,,06numerosix,False
,October 2019,楽天イーグルス、AS Roma、Galatasaray 、國學院大學と京都産業大学(駅伝)を応援しています。アマガミ等ラブコメについて話すことも多いです。よろしくお願いします(スパム垢は全て24＆ブロックします),,クラウス32,,1646.0,5841.0,2,,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,,09escargot1012,False
,July 2009,با سگ‌ها دونده، با پرنده‌ها پرنده، با گربه‌ها تماشاگر,,khe_alef,,1853.0,923.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,,0alwaysdreamer0,False
,September 2023,,,CathyBryce,,112.0,4623.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,0dybbxx0o1b5xa,False
,September 2023,,,SaraThoreau,,127.0,4554.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,0l8o0xgtjkorcjb,False
,April 2021,زندگی نکردم ولی فعلا زنده ام,,کلول,,81.0,53.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,150.0,,,0mfahzf4tebztdl,False
,August 2024,"@_Alignments ,",,Think,,22.0,159.0,2,,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,18.0,,,0pps__,False
,September 2021,,,هيثم عبده نعمان الحجري,,80.0,218.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3761.0,,,0qcgdh3bdamfozf,False
,June 2012,,,Céline,,96.0,3455.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2320.0,,,10190celine,False
,October 2021,باغیرتان ایران همراه با قیام‌سپید ب رهبری دکترسایان برای پایان دادن به حکومت خامنه‌ای نامرد   پیام دهید به,,Sakariyou_105,,100.0,428.0,2,,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,271.0,,,105_sakariyou,False
,September 2008,,,☆♩ ♪ ♫ ♬♡,,69.0,358.0,2,电脑前,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2320.0,,,10am,False
0.5572493082620366,March 2008,"Official page for Prime Minister  @Keir_Starmer ’s office, based at 10 Downing Street.","Official page for Prime Minister  @Keir_Starmer ’s office, based at 10 Downing Street.",UK Prime Minister,UK Prime Minister,,192.0,3,"10 Downing Street, London",1,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2320.0,0.4427506917379634,,10downingstreet,False
,October 2024,,,A.B.110,,0.0,7.0,2,,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3.0,,,110_m_ah_b,False
,December 2025,,,Adin 12,,0.0,6.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,12_adin10571,False
,April 2023,گل یخ,,somaih1363,,3.0,17.0,2,تهران,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,1.0,,,1364ghazal62816,False
,November 2022,زهرا ترک زاده وکیل دادگستری,,zahra tork zadeh,,154.0,908.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,660.0,,,1366_t,False
0.5776602635468473,October 2023,Exclusive U.K. Distributor of Foundation Cigar Company.,Exclusive U.K. Distributor of Foundation Cigar Company.,1573 Cigars,1573 Cigars,649.0,10.0,3,,0,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,3.0,0.4223397364531527,,1573cigars,False
,May 2016,'Friday Night Chicken' - due 2027!  Shortlisted for Jane Grigson Trust award 2025. My blog (shortlisted Guild Food Writers award '20 '21 '23).,,Aaron Vallance,,5435.0,3587.0,2,"London, England",1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2327.0,,,1dish4theroad,False
0.5563698846183197,June 2019,Simple experience. Smart execution. Trading built to scale. It's time to bring the world onchain. t.me/OneInchNetwork …,Simple experience. Smart execution. Trading built to scale. It's time to bring the world onchain. t.me/OneInchNetwork …,1inch,1inch,,365.0,3,Cross-Chain,0,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2327.0,0.4436301153816803,,1inch,False
,November 2025,,,محمدحسین امینایی,,1.0,20.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,2000mhac,False
0.596632570493627,October 2011,Avide de vérité et confiant en un avenir meilleur. Hungry for truth and confident in a better future. The best yet to come!,Hungry for truth and confident in a better future. Hungry for truth and confident in a better future. The best yet to come!,Yves St-Laurent,Yves St-Laurent,1782.0,2755.0,3,,0,,0.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2335.0,0.403367429506373,,2012bb6656,False
,March 2017,,,Dr siyasi,,206.0,306.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,6949.0,,,2017siyasi,False
,November 2025,,,Dr . Samuel 2025 Samuel arockiasamy (Sam),,50.0,786.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,19.0,,,2025_samuel,False
,March 2016,,,Cotton Headed Ninny Muggins,,102.0,1586.0,2,,0,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,287.0,,,2_ncqr,False
,February 2025,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,,Rebel girl,,1399.0,1004.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,9779.0,,,2_rebelgirl,False
0.5552262688910014,December 2013,Podcast hosted by Phoebe Robinson  @dopequeenpheebs  & Jessica Williams  @msjwilly  from  @WNYCStudios . New episodes every Tuesday.,Podcast hosted by Phoebe Robinson  @dopequeenpheebs  & Jessica Williams  @msjwilly  from  @WNYCStudios . New episodes every Tuesday.,2 Dope Queens Podcast,2 Dope Queens Podcast,,1094.0,3,"Brooklyn, NY",0,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2510.0,0.4447737311089986,,2dopequeens,False
0.5366430263296577,June 2009,"Check out the ENTIRE 30 for 30 collection on  @ESPNPlus , a part of The Disney Bundle.","Check out the ENTIRE 30 for 30 collection on  @ESPNPlus , a part of The Disney Bundle.",30 for 30,30 for 30,,1399.0,3,,0,,0.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,30.0,0.4633569736703423,,30for30,False
,April 2013,Iranian singer,,Sina Hejazi,,4400.0,16.0,2,Islamic Republic of Iran,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,297.0,,,30nahejazi,False
,June 2013,Every moment is a fresh beginning.,,Isis,,345.0,472.0,2,"Buffalo, NY.",2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,458.0,,,32kennocha,False
,February 2013,از روی نعش جمهوری اسلامی رد می‌شویم #همکاری_ملی,,نشريه سه‌پنج,,,0.0,2,35anj,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,2021.0,,,35anj,False
,July 2019,,,Максат,,0.0,4.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,6.0,,,35pmrc4xezu0tvd,False
,September 2025,,,Third Coast Cinema,,1.0,154.0,2,"Milwaukee, WI",2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,3ccmke,False
,January 2020,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,,SeyedAmir Sayyah,,,438.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,,,3eyedamir,False
,October 2023,,,Ishita Dasgupta,,1.0,77.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,42potatoesss,False
,November 2020,منصة رياضية إماراتية  تغطي الحدث محلياً وعالمياً,,عميد الرياضة,,,178.0,2,الامارات العربية المتحدة,0,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5587.0,,,433_uae2,False
,May 2022,,,Abtinn,,17.0,391.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,12.0,,,4bteen,False
,September 2022,,,Freedom,,18.0,214.0,2,,0,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,682.0,,,4freedom4iran,False
0.5416746090402319,August 2013,"Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran","Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran",Iran Freedom,Iran Freedom,,698.0,3,,0,,0.0,,https://pbs.twimg.com/profile_images/1427297293242441731/1vPaoNnm_200x200.jpg,2018.0,0.4583253909597681,,4freedominiran,False
,November 2025,,,Payton Brown 4LtgmLpx,,3.0,195.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,0.0,,,4ltgmlpx61671,False
,September 2021,,,.,,104.0,383.0,2,,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,8.0,,,4m2dvxbg7uptwhz,False
,November 2009,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",,Noura Erakat,,192900.0,2719.0,2,,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,,4noura,False
0.5215253736104714,August 2012,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,Sylvester McCoy,Sylvester McCoy,,121.0,3,"London, England",1,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4831.0,0.4784746263895286,,4sylvestermccoy,False
0.5929552633613434,July 2009,Your source of info for all things  @Channel4  (and sister channels). Want to know more? Click our website link below.,Your source of info for all things  @Channel4  (and sister channels). Want to know more? Click our website link below.,4Viewers,4Viewers,,1330.0,3,UK,0,,1.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,4.0,0.4070447366386566,,4viewers,False
,January 2019,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,,50 Uses For The Word Love Podcast,,489.0,2753.0,2,"London, England",0,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,396.0,,,50uses,False
,July 2016,پیش ما بیا خوش میگذره,,زندانی پنجم,,6351.0,265.0,2,,0,0.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,,5thprisoner,False
,September 2018,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,,اونجلیناجیلی,,164500.0,,2,İstanbul-Turkey,1,1.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,5593.0,,,6njeli,False
,June 2016,Thanks Crypto and Bitcoin,,Parth,,110.0,4666.0,2,Howrah,2,2.0,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,8607.0,,,7833753,False
