username,display_name,description,location,followers_count,following_count,statuses_count,profile_image_url,predicted_label,confidence_diaspora,confidence_local,uncertainty,locals_vs_diaspora
abdimonireh,Monireh Abdi,"Architectural Engineer.Myhusband is Esmaeil Abdi,teacher and activist in theTeachers'Union of Iran.He has been imprisoned by theIranian government more 8 years",ایران,1637.0,209.0,343.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4978802659669353,0.5021197340330648,0.9999870348290905,
abbasmehdavi312,Abbas Ali mehdavi,"IR Student | Islamic Scholar (in training) | Jamia-tul-Kauthar, Islamabad | From Nagar, Gilgit-Baltistan | Voice of Truth, Dignity & Resistance (مقاومت)","Islamabad, Pakistan",12.0,122.0,65.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4978802659669353,0.5021197340330648,0.9999870348290905,
alarabiya_brk,العربية عاجل,خدمة #العربية للأخبار العاجلة,Riyadh,,49.0,1356.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5030959400614219,0.4969040599385781,0.9999723435184333,
alarabytv,التلفزيون العربي,التلفزيون العربي.. الصورة الأوضح تابعوا تغطيتنا للأخبار العاجلة على مدار الساعة  @Alarabytv_BRK,"Lusail, Qatar",,11.0,1356.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5030959400614219,0.4969040599385781,0.9999723435184333,
aliazarids,Ali Azari,,,7.0,66.0,0.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5039284632180626,0.49607153678193733,0.9999554695381477,
akiali43488770,Aki Ali,,,0.0,48.0,0.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5039284632180626,0.49607153678193733,0.9999554695381477,
alialkhalede,علي الخالدي - Ali al-Khalidi,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",Iraq,,136.0,3705.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5039284632180626,0.49607153678193733,0.9999554695381477,
alibarghi1,Alireza Soleimanpour,,شهر قدس,4.0,84.0,11.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5040372532027126,0.4959627467972874,0.9999529690345759,
alihars6,سبزی پلو با ماهی,برای آزادی,,155.0,304.0,183.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5040372532027126,0.4959627467972874,0.9999529690345759,
afshinzare1,Afshin Zare,Actor & Composer,Islamic Republic of Iran,3.0,97.0,13.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
