Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Ali Bakouei,https://en.wikipedia.org/wiki/Ali_Bakouei,Q134932455,https://www.wikidata.org/wiki/Q134932455,male,nuclear physicist; university teacher,Iran,Qom,1966-03-21T00:00:00Z,,
Akbar Motalebizadeh,https://en.wikipedia.org/wiki/Akbar_Motalebizadeh,Q134893972,https://www.wikidata.org/wiki/Q134893972,male,nuclear physicist; university teacher,Iran,,1963-07-23T00:00:00Z,,
Mohammad Mehdi Tehranchi,https://en.wikipedia.org/wiki/Mohammad_Mehdi_Tehranchi,Q25423500,https://www.wikidata.org/wiki/Q25423500,male,physicist; university teacher,Iran; Pahlavi Iran,Tehran,1965-03-21T00:00:00Z,,
Al-Isfizari,https://en.wikipedia.org/wiki/Al-Isfizari,Q17984072,https://www.wikidata.org/wiki/Q17984072,male,astronomer; mathematician; mechanician; physicist,,,,,
Shahram Amiri,https://en.wikipedia.org/wiki/Shahram_Amiri,Q983856,https://www.wikidata.org/wiki/Q983856,male,nuclear physicist; physicist,Iran,Kermanshah,1977-11-08T00:00:00Z,,
Arezoo Ardekani,https://en.wikipedia.org/wiki/Arezoo_Ardekani,Q58799765,https://www.wikidata.org/wiki/Q58799765,female,researcher,,,,,
Hossein Baharvand,https://en.wikipedia.org/wiki/Hossein_Baharvand,Q16864026,https://www.wikidata.org/wiki/Q16864026,male,biologist; scientist; university teacher,Iran,Isfahan,1972-02-25T00:00:00Z,,
Armen Der Kiureghian,https://en.wikipedia.org/wiki/Armen_Der_Kiureghian,Q20513098,https://www.wikidata.org/wiki/Q20513098,male,civil engineer; university teacher,Iran,Iran,1947-04-10T00:00:00Z,,
Saeid Eslamian,https://en.wikipedia.org/wiki/Saeid_Eslamian,Q16194048,https://www.wikidata.org/wiki/Q16194048,male,engineer; university teacher,Iran,Isfahan,1961-03-07T00:00:00Z,,
Mehdi Golshani,https://en.wikipedia.org/wiki/Mehdi_Golshani,Q6809313,https://www.wikidata.org/wiki/Q6809313,male,academic; physicist,Iran,Isfahan,1939-01-01T00:00:00Z,,
Caro Lucas,https://en.wikipedia.org/wiki/Caro_Lucas,Q5044195,https://www.wikidata.org/wiki/Q5044195,male,academic; inventor,Armenia,Isfahan,1949-09-04T00:00:00Z,,
Masoud Molavi,https://en.wikipedia.org/wiki/Masoud_Molavi,Q89910276,https://www.wikidata.org/wiki/Q89910276,male,civil engineer; journalist,Iran,Isfahan,1986-04-28T00:00:00Z,masoud_molavi,https://x.com/masoud_molavi
Mahmoud Nili Ahmadabadi,https://en.wikipedia.org/wiki/Mahmoud_Nili_Ahmadabadi,Q17149777,https://www.wikidata.org/wiki/Q17149777,male,academic,Iran,Isfahan,1956-01-01T00:00:00Z,,
Masoud Soleimani,https://en.wikipedia.org/wiki/Masoud_Soleimani,Q78170418,https://www.wikidata.org/wiki/Q78170418,male,hematologist,,Isfahan,1970-08-31T00:00:00Z,,
Al-Tughra'i,https://en.wikipedia.org/wiki/Al-Tughra%27i,,,,,,,,,
Abolhassan Astaneh-Asl,https://en.wikipedia.org/wiki/Abolhassan_Astaneh-Asl,Q19864867,https://www.wikidata.org/wiki/Q19864867,male,academic,United States,Tabriz,1947-01-01T00:00:00Z,,
Encieh Erfani,https://en.wikipedia.org/wiki/Encieh_Erfani,Q132493607,https://www.wikidata.org/wiki/Q132493607,female,researcher,,,,,
Shireen Hunter,https://en.wikipedia.org/wiki/Shireen_Hunter,Q7498538,https://www.wikidata.org/wiki/Q7498538,female,academic; political scientist; university teacher,Iran,Tabriz,1945-01-01T00:00:00Z,,
Seifallah Randjbar-Daemi,https://en.wikipedia.org/wiki/Seifallah_Randjbar-Daemi,Q7446654,https://www.wikidata.org/wiki/Q7446654,male,physicist; scientist; theoretical physicist,Iran,Tabriz,1950-03-06T00:00:00Z,,
Kazem Sadegh-Zadeh,https://en.wikipedia.org/wiki/Kazem_Sadegh-Zadeh,Q6381005,https://www.wikidata.org/wiki/Q6381005,male,academic; philosopher; physician,Iran,Tabriz,1942-04-23T00:00:00Z,,
Mehrdad Abedi,https://en.wikipedia.org/wiki/Mehrdad_Abedi,Q6809818,https://www.wikidata.org/wiki/Q6809818,male,engineer; scientist,Iran,Tehran,1948-10-11T00:00:00Z,,
Ali Alavi,https://en.wikipedia.org/wiki/Ali_Alavi,Q19897807,https://www.wikidata.org/wiki/Q19897807,male,chemist,,Tehran,1966-05-10T00:00:00Z,,
Manuel Berberian,https://en.wikipedia.org/wiki/Manuel_Berberian,Q6752447,https://www.wikidata.org/wiki/Q6752447,male,academic; geologist,Armenia,Tehran,1945-10-27T00:00:00Z,,
