username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,confidence_level,uncertainty_score,manual
alihashemi78849,ali hshemi,,324.0,3386.0,639.0,False,April 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ali hshemi,0,0.3367969698970705,0.3350713931957739,0.3367969698970705,0.6632030301029295,1
abingdon_arms,The Abingdon Arms,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us",51.0,163.0,63.0,False,November 2019,"Beckley, Oxford",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us",The Abingdon Arms,0,0.3377839181063281,0.3278654555372487,0.3377839181063281,0.662216081893672,0
ahmadi_ahmadii,bəmalu,,21.0,155.0,173.0,False,March 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,bəmalu,2,0.33360962461483223,0.32638801352464186,0.34000236186052596,0.6599976381394741,
_sihelvi,İbn Kusay el Kerhani,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,16.0,73.0,119.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,sex felsefesi etik iyi sikiş felsefesi oncul anal kusay aşığı,İbn Kusay el Kerhani,1,0.3264506903482284,0.3418624727710036,0.3418624727710036,0.6581375272289964
abubakarnu55384,Nura Abubakar,,14.0,77.0,116.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Nura Abubakar,2,0.3174729397001455,0.3397516560130581,0.3427754042867963,0.6572245957132037
a1976_b,Amir.B,,21.0,233.0,302.0,False,July 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Amir.B,0,0.3442625452456027,0.31804485166935337,0.3442625452456027,0.6557374547543973
ahimsaaaa,Ahimsa آهیمسا,,12.0,61.0,128.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ahimsa آهیمسا,1,0.32028114341395303,0.34473516921115416,0.34473516921115416,0.6552648307888458,
aischannel,AIS Channel,"AIS Channel is the leading online platform for surgical training, sharing, and discussion.",,16.0,1349.0,False,February 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"AIS Channel is the leading online platform for surgical training, sharing, and discussion.",AIS Channel,0,0.34502933538763014,0.34035103946727363,0.34502933538763014,0.6549706646123699,1
ak_rogue_,𓆩AkrΩguE𓆪,/هی میبرم هی میدوزم/موسیقی/بازی/فیلم/,9.0,51.0,132.0,False,May 2020,NeverLand,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,/هی میبرم هی میدوزم/موسیقی/بازی/فیلم/,𓆩AkrΩguE𓆪,1,0.31283238657852325,0.3474625497996786,0.3474625497996786,0.6525374502003214,1
alirezasha,Alireza,,863.0,179.0,,False,April 2007,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Alireza,2,0.3176684628933865,0.33245891632340685,0.34987262078320663,0.6501273792167934,1
