username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,target_population,locals_vs_diaspora,person_vs_organization,comments
afkari_saeed,سعید افکاری,آزادی,68900.0,78.0,1273.0,False,August 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,translate the status and posts.
_sky_tw,spinoss,,1.0,19.0,0.0,False,January 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,,2,
ahwazmedia,حسن راضي الأحوازي,مدير المركز الأحوازي للإعلام والدراسات الإستراتيجية/ باحث بالشان الايراني، معد ومقدم برنامج #ايران_زووم على قناة @سعودي24.. #الأحواز وطني,5884.0,415.0,8467.0,False,April 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
allipayam,Hani Allipayam,,36.0,19.0,1.0,False,November 2017,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
alisaberi1987,Alex,All religions are human made. Be free of them. Keep your humanity up and spread out kindness.,469.0,1634.0,633.0,False,October 2021,"Paris, France",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
aliansari84,Ali Ansari,"Ph.D. graduate in Materials Science and Engineering, Interested in batteriesand electrochemistry, Posts in Persian and in English, Notifications are off.",742.0,1928.0,1334.0,False,December 2013,"Prague, Czech Republic",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
alimotie1318,Parsi,"lran, land of Aryans and Everlasting Kingdom",160.0,753.0,4588.0,False,June 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,6351.0,265.0,,False,July 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,0,
ali_koleini,paper_jean,,89.0,0.0,339.0,False,June 2020,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
ahmadrezae88890,ahmadreza emz,,8.0,4.0,58.0,False,June 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
aicalliance_,AICA - Australian Iranian Community Alliance,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,80.0,67.0,272.0,False,June 2023,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,0,
30nahejazi,Sina Hejazi,Iranian singer,4400.0,16.0,297.0,False,April 2013,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
aliaref_,ali aref 🇮🇷,ما سر به سر فدایی دین محمدیم...ما را حسین خواند و به این لشکر آمدیم,508.0,646.0,1334.0,False,April 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,2,
abasinfo,Abas Aslani | عباس اصلانی,عباس اصلانی | صفحه فارسی |خبرنگار و پژوهشگر در حوزه سیاست خارجی و بین‌الملل   | صفحه انگلیسی (English account):  @AbasAslani,1213.0,505.0,2528.0,False,July 2016,تهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
almghdmi,Ali,"Developer, Gamer",119.0,235.0,,False,April 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
abdolrezakahani,Abdolreza Kahani,"Writer,Director,Producer //  agiff.arkgate.ca",20700.0,299.0,247.0,False,June 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,90.0,128.0,1448.0,False,December 2012,shiraz_iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
adryn848,آدرین,,14.0,539.0,0.0,False,May 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,7.0,122.0,77.0,False,August 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
ahwaz1925__,عربستان,ليس وطني دائما على حق ولكني لا استطيع ان امارس حقاً حقيقياً الا في وطني,26.0,130.0,210.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
6njeli,اونجلیناجیلی,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,164500.0,,5593.0,False,September 2018,İstanbul-Turkey,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
afintl_,Afghanistan International - افغانستان اینترنشنال,اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان The First 24/7 International News Channel for Afghanistan,19600.0,8.0,8.0,False,August 2021,"UK, London",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,0,
a_soleimani_f,عارفه سلیمانی,خبرنگار,14.0,93.0,27.0,False,May 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
al_sharifzadeh,علی شریف زاده اردکانی,وكيل پایه یک دادگستری ،مدرس دانشگاه و عضو کانون وکلای مرکز,4540.0,367.0,847.0,False,March 2020,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
alireza__ziyaei,Alireza Ziaee,,0.0,45.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,name
ahllam_music,ahllam,artist,6758.0,2.0,45.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,translate
a_alirezabeigi,احمد علیرضابیگی,نماینده دوره دهم و یازدهم مردم تبریز، اسکو و آذرشهر در مجلس شورای اسلامی|استاندار اسبق آذربایجان شرقی t.me/ahmadalirezabe …,3823.0,30.0,427.0,False,December 2019,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,2697.0,0.0,4.0,False,August 2023,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,13600.0,1202.0,4615.0,False,October 2016,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
ajarabic,قناة الجزيرة,الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على  @AJABreaking,22300000.0,26.0,1349.0,False,April 2007,Qatar,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,0,
