username,display_name,description,manual_label,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
alarabiya_fa,العربیه فارسی,العربيه فارسى به عنوان بخشی از شبكه العربيه در سال 2008 راه‌اندازی شد.,0,,45.0,1356.0,False,March 2009,Riyadh,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Al Arabiya Farsi was launched as a part of Al Arabiya network in 2008.,Persian Arabic,0,0.5013855075936933,0.5013855075936933,0.4986144924063067,,0.4986144924063067
abeirami,Ahmad Beirami,stealth // ex Gemini RL+Inference  @GoogleDeepMind  // Chat AI  @AIatMeta  // RL Agents  @EA  // ML+Information Theory  @MIT + @Harvard + @GeorgiaTech,1,,4569.0,4721.0,False,December 2018,"{NYC, SFO, YYZ}",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,stealth // ex Gemini RL+Inference  @GoogleDeepMind  // Chat AI  @AIatMeta  // RL Agents  @EA  // ML+Information Theory  @MIT + @Harvard + @GeorgiaTech,Ahmad Beirami,1,0.5034186586318457,0.4965813413681543,0.5034186586318457,,0.4965813413681543
afintlradio,رادیو افغانستان اینترنشنال,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com  00447771112080,0,,12.0,1315.0,False,September 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The First 24/7 International News Channel for Afghanistan Email: info@afintl.com 00447771112080,Radio Afghanistan International,1,0.5100520437054231,0.4899479562945769,0.5100520437054231,,0.4899479562945769
aekbcgr,AEK BC,Επίσημο X της ΑΕΚ BC - Official AEK BC X Account,0,,87.0,1315.0,False,January 2015,"Athens, Greece",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Official X of AEK BC - Official AEK BC X Account,AEK BC,1,0.5106987990149459,0.4893012009850541,0.5106987990149459,,0.4893012009850541
alhumma,Al Humma,Application gestion de la communauté musulmane,0,0.0,7.0,0.0,False,December 2025,Abidjan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Muslim community management application,Al Humma,1,0.517921187116627,0.4820788128833729,0.517921187116627,,0.4820788128833729
abcnews,ABC News,Latest news updates from the Australian Broadcasting Corp. This is an official  @abcaustralia  account.,0,,1096.0,6158.0,False,March 2007,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Latest news updates from the Australian Broadcasting Corp. This is an official  @abcaustralia  account.,ABC News,0,0.5205862892243283,0.5205862892243283,0.4794137107756717,,0.4794137107756717
alamyn39470,محمد الامين الضبيبي,,1,73.0,919.0,101.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Muhammad Al-Amin Al-Dabibi,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
al3151644276727,Al,,1,1.0,34.0,18.0,False,September 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Al,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
alrthaan21,فيصل الرثعآن,,1,382.0,842.0,1057.0,False,July 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Faisal Al-Ratha'an,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
almlkzhyr76434,زهير الملك,,1,8.0,116.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Zuhair Al-Malik,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
altalqany79443,محمد الطالقاني,,1,0.0,6.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Muhammad Al-Talqani,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
7_ndala,معتز بالله الجنوبي,,1,15.0,92.0,17.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Moataz Billah Al-Janoubi,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
aalmalki_10,A,Abdulelah AL-MalKi 𓅓,1,4.0,91.0,36.0,False,November 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Abdulelah AL-Malki 𓅓,A,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
abwlhbalhdathy,أبو لهب الحداثي,حفيد من أحفاد كفار ومشركي قريش,1,10.0,207.0,83.0,False,April 2024,"Xanxerê, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,A grandson of the infidels and polytheists of Quraish,Abu Lahab Al-Hadithi,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
alkrdyhsn9718,حسن الكردي,,1,2.0,41.0,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Hassan Al-Kurdi,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
alkrdyhsn9718,Firas Al Mashhadani,,1,26.0,162.0,43.0,False,September 2025,"Sulaymaniyah, Iraq",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Firas Al Mashhadani,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
al_hydr16787,حيدر العوادي,,1,0.0,14.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Haider Al-Awadi,0,0.5264012538921035,0.5264012538921035,0.4735987461078965,,0.4735987461078965
afghanistanihrc,AIHRC,Official account of Afghanistan Independent Human Rights Commission,0,,62.0,3692.0,False,November 2013,"Kabul, Afghanistan",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Official account of Afghanistan Independent Human Rights Commission,AIHRC,1,0.5291249468074654,0.4708750531925346,0.5291249468074654,,0.4708750531925346
almodarresisays,كلمات المرجع المُدرِّسي,"أخبار ومواقف وأفكار سماحة المرجع الديني آية الله العظمى السيد محمد تقي المُدرّسي ""دام ظله الوارف""",1,,5.0,3620.0,False,June 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"News, positions and thoughts of His Eminence the religious authority, Grand Ayatollah Sayyed Muhammad Taqi Al-Mudarrisi, “May his abundant shadow last”",Teacher reference words,0,0.5294964843915921,0.5294964843915921,0.4705035156084078,,0.4705035156084078
aliscorban,Ali Sina,GardenState Rookies Podcast,1,313.0,386.0,5014.0,False,January 2014,"New Jersey, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,GardenState Rookies Podcast,But the Son,1,0.531708135626676,0.468291864373324,0.531708135626676,,0.468291864373324
alarabiya_brk,العربية عاجل,خدمة #العربية للأخبار العاجلة,0,,49.0,1356.0,False,March 2009,Riyadh,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,#Al Arabiya breaking news service,Arabic Urgent,0,0.5337196837515641,0.5337196837515641,0.4662803162484359,,0.4662803162484359
al_bayynat,شبكة البينات الثقافية,الحساب الاحتياطي |  @Al_Bayynat2,0,,1.0,2377.0,False,July 2024,Yemen,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Reserve account  @Al_Bayynat2,Cultural information network,0,0.5359925889083165,0.5359925889083165,0.4640074110916835,,0.4640074110916835
al_bayynat2,شبكة البينات الثقافية (احتياطي),حساب احتياطي : #مقتطفات_خطابات_محاضرات_حوارات,0,,1.0,3055.0,False,June 2020,Yemen,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Reserve account: #excerpts_speech_lectures_dialogues,Cultural Data Network (Reserve),0,0.5359925889083165,0.5359925889083165,0.4640074110916835,,0.4640074110916835
abc,ABC News,The only official ABC News account. Download our mobile app for the latest updates:  abcnews.go.com/devices,0,,408.0,6158.0,False,April 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The only official ABC News account. Download our mobile app for the latest updates:  abcnews.go.com/devices,ABC News,0,0.5374868085360736,0.5374868085360736,0.4625131914639265,,0.4625131914639264
albayannews,صحيفة البيان,صحيفة إماراتية يومية شاملة تصدر عن دبي للإعلام,0,,96.0,1356.0,False,February 2010,"Dubai , UAE",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,A comprehensive daily Emirati newspaper published by Dubai Media,Al-Bayan newspaper,1,0.542118205779551,0.4578817942204489,0.542118205779551,,0.4578817942204489
afintlbrk,افغانستان اینترنشنال,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com WhatsApp: +447340006000,0,,10.0,1315.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The First 24/7 International News Channel for Afghanistan Email: info@afintl.com WhatsApp: +447340006000,Afghanistan International,1,0.5513765061998531,0.4486234938001469,0.5513765061998531,,0.4486234938001469
alexvespi,Alessandro Vespignani,"Network & Data Science, Computational Epidemiology, Complex Systems",1,,1320.0,1381.0,False,May 2012,@northeastern,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Network & Data Science, Computational Epidemiology, Complex Systems",Alessandro Vespignani,1,0.5548960588760837,0.4451039411239162,0.5548960588760837,,0.4451039411239162
afintl_en,Afghanistan International English,The first 24/7 hours Afghanistan News Channel | Official English account of  @AFIntlBrk,0,,8.0,6754.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The first 24/7 hours Afghanistan News Channel | Official English account of  @AFIntlBrk,Afghanistan International English,0,0.5621694953456136,0.5621694953456136,0.4378305046543865,,0.4378305046543864
