username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
ali12793587,Ali,,0.0,1.0,0.0,False,January 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali_shahoum,Ali,newOne,9.0,190.0,14.0,False,November 2016,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,newOne,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aliabc1500,Ali,,58.0,203.0,8.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali_sadeghloo,ali sadeghloo,,43.0,542.0,10.0,False,February 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,or sadeghloo,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aliabz429014,Ali Abz,,27.0,563.0,0.0,False,October 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Abz,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali_babaa1234,Ali,,1.0,34.0,0.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali__darghahi,ali,,4.0,27.0,2.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali_esmaili99,Ali.Esmaili,,0.0,31.0,1.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali.Esmaili,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
ali_ghm1993,Ali Ghiamy,,7.0,669.0,19.0,False,July 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Ghiamy,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alirostami89168,Ali Rostami,,7.0,73.0,14.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Rostami,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alizamaniyan,Ali Zamaniyan,,52.0,380.0,544.0,False,October 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Zamaniyan,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alisakar030,Ali Şakar,,6.0,164.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Şakar,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alizafarha44881,Ali Zafar Hassani,,1.0,38.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Zafar Hassani,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alihashemi78849,ali hshemi,,324.0,3386.0,639.0,False,April 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,but hshemi,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alikarimi_ak8,ali karimi,,,30.0,631.0,False,December 2017,تهران،ایران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Karimi,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alijannatpour,Ali Jannatpour,,35.0,249.0,1280.0,False,December 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Jannatpour,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alimarouf153082,Ali,,241.0,3122.0,2584.0,False,December 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alimajidi65256,Ali Majidi,,0.0,14.0,2.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Majidi,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aliiiiinaderi8,🌋Ali Naderi,,18.0,645.0,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,🌋Ali Naderi,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aliesmaeilib,Ali,,0.0,15.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aliidaeii,Ali Daei,,,3.0,64.0,False,April 2022,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Daei,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alighasemi0011,Ali Ghasemi,Be your self,51.0,98.0,1381.0,False,May 2025,Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Be your self,Ali Ghasemi,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
alih1039071,Ali H,,0.0,10.0,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali H,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
a_01_2024,Ali,,48.0,454.0,159.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
aasangari,Ali A. Sangari,,200.0,5518.0,36.0,False,March 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali A. Sangari,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
a_f_cebeci,Ali Fuat Cebeci,konu vatansa gerisi teferruat,9013.0,5337.0,,False,May 2021,Türkiye,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"If the subject is homeland, the rest is details",Ali Fuat Cebeci,1,0.5896181661078654,0.41038183389213456,0.5896181661078654,,0.41038183389213456
