username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,person_vs_organization
aleaguewomen,Ninja A-League,"Official account of the Ninja A-League  Catch live game coverage, as well as news, ticketing and so much more here.",28600.0,2092.0,1356.0,False,August 2012,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
afterpay_au,Afterpay,Don’t just pay later. #PayBetter Afterpay it in 4.,5939.0,521.0,964.0,False,July 2014,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
aicalliance_,AICA - Australian Iranian Community Alliance,Group of passionate Iranian Australians committed to shedding light on the glaring violations of fundamental human rights perpetrated by the Islamic Republic.,80.0,67.0,272.0,False,June 2023,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
_articlle_,お父さん,はむさんはこちら  @hamuppi_,8556.0,803.0,780.0,False,August 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
aesdigitallyart,Aes Digitally Art Prints,"Greetings! I'm Serdar. I'm the founder of this small shop, born from the question: 'Why shouldn't everyone have easy access to striking art pieces?",29.0,333.0,32.0,False,November 2025,Turkey,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,6351.0,265.0,,False,July 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
adnanime,Animation Digital Network,"Evangelion, Utena, Sailor Moon... c'est Noël avant l'heure",385900.0,676.0,1315.0,False,September 2013,Paris,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
alltyf_,طيف سامي,,64500.0,11.0,234.0,False,October 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
aaihs,AAIHS,AAIHS was founded to foster dialogue about #Black thought & culture. We publish the blog  @BlkPerspectives  (President:  @robgreeneII ):  bit.ly/2iEQ4uU,36100.0,108.0,6145.0,False,May 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
abogadasmx,Abogadas MX,Red de Liderazgo y Desarrollo Profesional para abogadas en México.,4618.0,839.0,3107.0,False,March 2015,Mexico,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
aji_fellowships,Allbritton Journalism Institute,,1029.0,20.0,26.0,False,February 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
afghanlgbt,Afghan LGBT Organization (ALO),The first official organization for Afghan #LGBTQ+ people based in Czech Republic,1190.0,401.0,216.0,False,June 2020,Česká republika & Afghanistan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
agencecapa,CAPA,"Témoigner, décrypter, faire rêver, inventer : depuis plus de 30 ans, CAPA raconte le monde... avec un pas de côté. #CAPApresse #CAPAdrama  @CAPAcorporate",7920.0,612.0,5264.0,False,August 2009,"Paris, France",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
alanwake,Alan Wake 2,"Alan Wake 2 out now on the Epic Games Store, PS5, and Xbox Series X|S. By  @remedygames , presented by  @EpicPublishing . Alan Wake Remastered available now.",85000.0,16.0,1465.0,False,March 2009,Bright Falls,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
abc7ny,Eyewitness News,"New York's #1 news, Channel 7 Eyewitness News. WABC-TV. Comments & photos shared here or using #abc7NY could be used on any ABC platforms.",725200.0,725.0,,False,October 2008,New York City,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
ajplus,AJ+,"AJ+ is a unique digital news and storytelling project promoting human rights and equality, holding power to account, and amplifying the voices of the powerless.",1200000.0,,1357.0,False,February 2010,"Washington, DC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
alhilal_fc,نادي الهلال السعودي,الحساب الرسمي لنادي الهلال السعودي | English account  @Alhilal_EN  | ألعاب الهلال المختلفة  @Alhilal_SG  | الفئات السنية  @Alhilal_YT,,79.0,1384.0,False,April 2009,المملكة العربية السعودية,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
adamlawschool,Amsterdam Law School,"Welcome to the Amsterdam Law School!  We draw students worldwide, bringing a truly international atmosphere.  bsky.app/profile/uvalaw …",4154.0,2252.0,4661.0,False,February 2014,Amsterdam,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0
