username,display_name,description,manual_target_population,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
34gwr77liku4hw8,احمد رمزي,,1,18.0,450.0,4.0,False,June 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ahmed Ramzy,0,0.5002894961346571,0.5002894961346571,0.49971050386534294,,0.4997105038653429
ahmadmullatalal,احمد ملا طلال,مقدم برامج حوارية منذ عام ٢٠٠٤,0,,565.0,3221.0,False,December 2012,Iraq _ Baghdad,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Talk show presenter since 2004,Ahmad Mulla Talal,0,0.5002894961346571,0.5002894961346571,0.49971050386534294,,0.4997105038653429
abrahymahm53406,احمد ابراهيم,,2,1.0,70.0,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ahmed Ibrahim,0,0.5002894961346571,0.5002894961346571,0.49971050386534294,,0.4997105038653429
5ogand,Sogand,Artist,0,,71.0,1709.0,False,January 2013,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Artist,Swearing,1,0.5008441529345729,0.49915584706542715,0.5008441529345729,,0.49915584706542715
alpsina89,Sina alp,,2,87.0,651.0,40.0,False,April 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Sina alp,0,0.5014943329872338,0.5014943329872338,0.4985056670127662,,0.4985056670127662
ajmanclub,نادي عجمان,الصفحة الرسمية لنادي عجمان الثقافي الرياضي- Ajman club official account |  @ajmanclub_en  - Instagram: ajmanclub,0,,24.0,1356.0,False,November 2011,United Arab Emirates - Ajman,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The official page of Ajman Cultural and Sports Club - Ajman club official account |  @ajmanclub_en - Instagram: ajmanclub,Ajman Club,0,0.501612002165944,0.501612002165944,0.4983879978340559,,0.49838799783405596
ahangari73,Kawa Ahangari,Founder of  @VOZiran   New Book: Federalism (Translation).  voziran.org #WomanLifeFreedom #ژن_ژیان_ئازادی,0,7500.0,273.0,8573.0,False,November 2014,Belgium,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Founder of @VOZiran New Book: Federalism (Translation).  voziran.org #WomanLifeFreedom #Zhen_Zhian_Ezadi,Ahangari protocol,0,0.502628314563383,0.502628314563383,0.497371685436617,,0.49737168543661703
absmadridista,مدريدي,ريال مدريد هو نادي حياتي هلا مدريد,0,144.0,1434.0,1580.0,False,February 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Real Madrid is the club of my life, Hala Madrid",Madrid,1,0.5028494096344293,0.49715059036557074,0.5028494096344293,,0.49715059036557074
abdulwadudkha12,Abdulwadud Khan,ليسانس فعلآ درافغانستان زندګي ميکونم,1,96.0,1443.0,13.0,False,October 2025,افغانستان,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,I live in Afghanistan for now,Abdulwadud Khan,0,0.5031930340289472,0.5031930340289472,0.4968069659710528,,0.4968069659710528
ahmadabdulsada,احمد عبد السادة,شاعر وكاتب وصحفي عراقي,0,,289.0,4050.0,False,June 2016,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Iraqi poet, writer and journalist",Ahmed Abdel Sada,1,0.5035188380859316,0.49648116191406844,0.5035188380859316,,0.49648116191406844
actingandvoice,Acting & Voice Studios,Presenting  @actorssum  Founders  @iamkatmoran  &  @kentmoran   Acting & Voice-Over |  Top Agents & Casting Directors |  Online |NYC & LA,0,2285.0,951.0,310.0,False,October 2017,"New York, New York",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Presenting  @actorssum  Founders  @iamkatmoran  &  @kentmoran   Acting & Voice-Over |  Top Agents & Casting Directors |  Online |NYC & LA,Acting & Voice Studios,0,0.5037882589298028,0.5037882589298028,0.4962117410701971,,0.49621174107019717
amadei_paola,Paola Amadei,Ambasciatrice d’Italia in Iran. Personal views only. Follows and Retweets are not endorsement.,0,162.0,28.0,3.0,False,June 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Ambasciatrice d’Italia in Iran. Personal views only. Follows and Retweets are not endorsement.,Paola Amadei,0,0.5038874035707315,0.5038874035707315,0.49611259642926847,,0.4961125964292685
adnanaltia,عدنان الطائي,"Host of the ""Tell the Truth"" Program",0,,469.0,7109.0,False,November 2015,"Istanbul, Turkey",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Host of the ""Tell the Truth"" Program",Adnan Al-Taie,1,0.5054450203642256,0.49455497963577444,0.5054450203642256,,0.49455497963577444
4freedom4iran,Freedom,,1,18.0,214.0,682.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Freedom,1,0.505953247545217,0.494046752454783,0.505953247545217,,0.494046752454783
abadguy000,🏴󠁧󠁢󠁥󠁮󠁧󠁿AlinnaKX87🇺🇲,"Freedom, Family and HF Electronics!!",1,278.0,639.0,2068.0,False,July 2020,"Preston, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Freedom, Family and HF Electronics!!",🏴 you will give it up to the natives of the nest of the hypocrites.,1,0.505953247545217,0.494046752454783,0.505953247545217,,0.494046752454783
aboarab90547242,حبیبی محمد,,2,61.0,777.0,175.0,False,November 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Habibi Mohammad,1,0.5070252817992162,0.49297471820078376,0.5070252817992162,,0.49297471820078376
alamyn39470,محمد الامين الضبيبي,,2,73.0,919.0,101.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Muhammad Al-Amin Al-Dabibi,1,0.5070252817992162,0.49297471820078376,0.5070252817992162,,0.49297471820078376
ahsana30012,أبو محمد🇵🇸,امت گرا Internationalism#اللهم_عجل_لولیک_الفرج,2,148.0,4060.0,757.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Ummat-oriented Internationalism,Abu Muhammad 🇵🇸,1,0.5070252817992162,0.49297471820078376,0.5070252817992162,,0.49297471820078376
altalqany79443,محمد الطالقاني,,2,0.0,6.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Muhammad Al-Talqani,1,0.5070252817992162,0.49297471820078376,0.5070252817992162,,0.49297471820078376
al3a6eeb,طلال عبدالله الرشيد,( رَبِّ اجْعَلْ هَـَذَا بَلَداً آمِناً وَارْزُقْ أَهْلَهُ مِنَ الثَّمَرَاتِ ),0,,3517.0,1390.0,False,December 2011,SAUDIA,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"(My Lord, make this a safe country and provide its people with fruits.)",Talal Abdullah Al-Rasheed,0,0.5077685096911482,0.5077685096911482,0.4922314903088518,,0.4922314903088518
alialkhalede,علي الخالدي - Ali al-Khalidi,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",0,,136.0,3705.0,False,August 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",Ali Al-Khalidi - Ali al-Khalidi,1,0.5079832492366123,0.4920167507633877,0.5079832492366123,,0.4920167507633877
adameaval,adameaval,نوشتن کسب‌وکار من است - هنرجوی نقاشی,1,6194.0,2306.0,4983.0,False,June 2015,tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Writing is my business - student of painting,adameaval,0,0.5093047913557006,0.5093047913557006,0.4906952086442994,,0.4906952086442994
a_alley,Ahmed Alley,الناس نيام، قإذا ماتوا أنتبهوا,0,918.0,567.0,1913.0,False,July 2009,-,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"People are asleep, if they die, wake up",Ahmed Alley,0,0.509755473026132,0.509755473026132,0.490244526973868,,0.490244526973868
abdullahmohtadi,Abdullah Mohtadi,Secretary General of the Komala Party of Iranian Kurdistan,1,,430.0,647.0,False,January 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Secretary General of the Komala Party of Iranian Kurdistan,Abdullah Mohtadi,0,0.5114269184133259,0.5114269184133259,0.4885730815866741,,0.4885730815866741
akramsharifi,akram sharifi,Journalist /Foreign Policy,1,,1591.0,1386.0,False,January 2013,"Tehran, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Journalist /Foreign Policy,Akram Sharifi,0,0.5128143768510981,0.5128143768510981,0.4871856231489019,,0.4871856231489019
