username,display_name,manual_person_vs_organization,predicted_class,uncertainty_score,confidence_level,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en
alghadeer_tv,قناة الغدير,,0,0.4960202343111689,0.5039797656888311,الصفحة الرسمية لقناة الغدير على منصة اكس ( تويتر سابقا )... تصلك الاخبار اولا باول رابط القناة على التليكرام :  t.me/alghadeertv,,24.0,1381.0,False,June 2014,العراق,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,الصفحة الرسمية لقناة الغدير على منصة اكس ( تويتر سابقا )... تصلك الاخبار اولا باول رابط القناة على التليكرام :  t.me/alghadeertv,قناة الغدير
alimr70141,MrRezaeiAli,,0,0.4956766105171506,0.5043233894828494,Civil Engineering the Future of Refining.  O&G Infrastructure.,1.0,34.0,0.0,False,November 2025,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Civil Engineering the Future of Refining.  O&G Infrastructure.,MrRezaeiAli
ajos,Alex Josephson,,1,0.494323389482849,0.505676610517151,"Lucky dad of 2. Lesser-half of  @rls2882 . Buy the ticket, take the ride.",,2812.0,8239.0,False,March 2009,NJ / NYC,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Lucky dad of 2. Lesser-half of  @rls2882 . Buy the ticket, take the ride.",Alex Josephson
abcsharktank,Shark Tank,,0,0.4939363970342671,0.5060636029657328,"The official X for #SharkTank. New episodes return Wednesday, January 7 on ABC and Stream on Hulu!",,301.0,6158.0,False,January 2012,The Shark Tank,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The official X for #SharkTank. New episodes return Wednesday, January 7 on ABC and Stream on Hulu!",Shark Tank
afghan271,🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫,,0,0.4924291142626489,0.5075708857373511,"*In love with the soil, not the politics. Iran is all of us — every culture, every voice.",626.0,5652.0,367.0,False,April 2023,"Tebriz, ایران",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"*In love with the soil, not the politics. Iran is all of us — every culture, every voice.",🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫
alirezaakhondi,Alireza Akhondi,,1,0.489784299601769,0.5102157003982309,Member of the Swedish Parliament  | Foreign Policy & Security | Iran–EU Affairs | Democracy & Human Rights,,115.0,3031.0,False,February 2011,"Stockholm, Sweden",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Member of the Swedish Parliament  | Foreign Policy & Security | Iran–EU Affairs | Democracy & Human Rights,Alireza Akhondi
alghadtv,قناة الغد,,0,0.4897434526812965,0.5102565473187035,"أهلا بكم على قناة ""الغد"" في إكس.  التردد: نايل سات HD 11900 - V 27500",,1.0,1381.0,False,December 2011,Egypt مصر,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"أهلا بكم على قناة ""الغد"" في إكس.  التردد: نايل سات HD 11900 - V 27500",قناة الغد
alimir43,ali mir,,1,0.4894878670301738,0.5105121329698262,Freedom by the decision of God,0.0,10.0,0.0,False,November 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Freedom by the decision of God,ali mir
ain4or,Jason Miller,,0,0.4864726020702756,0.5135273979297243,Never understood anyone but then against all odds it's hard to understand me.,32.0,182.0,36.0,False,October 2022,"West Union, IA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Never understood anyone but then against all odds it's hard to understand me.,Jason Miller
ajmanclub,نادي عجمان,,0,0.4860891408303728,0.5139108591696272,الصفحة الرسمية لنادي عجمان الثقافي الرياضي- Ajman club official account |  @ajmanclub_en  - Instagram: ajmanclub,,24.0,1356.0,False,November 2011,United Arab Emirates - Ajman,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,الصفحة الرسمية لنادي عجمان الثقافي الرياضي- Ajman club official account |  @ajmanclub_en  - Instagram: ajmanclub,نادي عجمان
aghatac8,Aghata,,1,0.4860799781379562,0.5139200218620438,"Art, skin and attitude   Each image tells a story...  Do you dare to see it completely?",0.0,13.0,13.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Art, skin and attitude   Each image tells a story...  Do you dare to see it completely?",Aghata
99piorg,99 Percent Invisible,,1,0.4858829894264955,0.5141170105735045,A radio show about design with host  @romanmars . Also find us on Bluesky!  bsky.app/profile/99pi.o …,,21.0,2859.0,False,September 2015,"Oakland, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,A radio show about design with host  @romanmars . Also find us on Bluesky!  bsky.app/profile/99pi.o …,99 Percent Invisible
abttaniq,عبد الحسين عبطان,,0,0.4849293429512452,0.5150706570487548,الصفحة الرسمية لرئيس حزب اقتدار وطن السياسي العراقي The president of the Iraqi political party Eqtadar Watan  t.me/abttaniq,,2970.0,2673.0,False,September 2016,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,الصفحة الرسمية لرئيس حزب اقتدار وطن السياسي العراقي The president of the Iraqi political party Eqtadar Watan  t.me/abttaniq,عبد الحسين عبطان
aischannel,AIS Channel,,1,0.4848838859706859,0.5151161140293141,"AIS Channel is the leading online platform for surgical training, sharing, and discussion.",,16.0,1349.0,False,February 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"AIS Channel is the leading online platform for surgical training, sharing, and discussion.",AIS Channel
adamhimmelsbach,Adam Himmelsbach,,0,0.4841032073431383,0.5158967926568617,Celtics writer for The Boston Globe.    adam.himmelsbach@globe.com,,612.0,5022.0,False,September 2011,Boston,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Celtics writer for The Boston Globe.    adam.himmelsbach@globe.com,Adam Himmelsbach
aljadyf,Aljady Franco,,0,0.4828134169182099,0.5171865830817901,Submission to the one who holds my soul in his hands.,367.0,2327.0,6984.0,False,October 2015,Pereira Risaralda Colombi,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Submission to the one who holds my soul in his hands.,Aljady Franco
abdolhamid_net,Mawlana Abdol-Hamid,,1,0.4814732495635789,0.518526750436421,"Official English Account of  Pres. of Darululoom Zahedan, Iran;  Friday Imam of Sunnis in Zahedan; Member of the Supreme Council of the MWL.",4410.0,2.0,922.0,False,May 2020,"Zahedan, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Official English Account of  Pres. of Darululoom Zahedan, Iran;  Friday Imam of Sunnis in Zahedan; Member of the Supreme Council of the MWL.",Mawlana Abdol-Hamid
aaction414,dominika janik,,0,0.4813255786430529,0.5186744213569471,innovationtechinvest.com the best platform where you can be making steady income from bitcoin       build your own empire so that you will grow,700.0,7498.0,553.0,False,October 2024,Poland,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,innovationtechinvest.com the best platform where you can be making steady income from bitcoin       build your own empire so that you will grow,dominika janik
alexlaughs,alex sujong laughlin,,1,0.4811915608899484,0.5188084391100516,on here less frequently |  @defectormedia  | Normal Gossip co-creator/producer | writer ( @harpersbazaarus  @poynter  @catapultstory  +) | she/her,,2325.0,200.0,False,November 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,on here less frequently |  @defectormedia  | Normal Gossip co-creator/producer | writer ( @harpersbazaarus  @poynter  @catapultstory  +) | she/her,alex sujong laughlin
