username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,ratio,prob_0_organization,prob_1_person,predicted_class_person_vs_organization,confidence_level_person_vs_organization,uncertainty_score_person_vs_organization,manual_person_vs_organization
afcmediatv,AFC Media and Broadcast Operations,The AFC Media and Broadcast Operations Department is based out of the AFC house in KL. It handles all Media & TV related operational matters for all AFC events.,8476.0,14.0,2594.0,False,June 2020,Kuala Lumpur,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The AFC Media and Broadcast Operations Department is based out of the AFC house in KL. It handles all Media & TV related operational matters for all AFC events.,AFC Media and Broadcast Operations,605.4285714285714,0.5,0.5,1,0.5,0.5,0
adidas,adidas,Through sport we have the power to change lives.,,255.0,1315.0,False,May 2011,"Herzogenaurach, Deutschland",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Through sport we have the power to change lives.,adidas,0.0,0.4966666666666666,0.5033333333333333,1,0.5033333333333333,0.4966666666666667,0
academyjp6,JP6 Football Academy,Official Football Academy of Charlton Athletic Captain Jason Pearce.,367.0,10.0,210.0,False,July 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Official Football Academy of Charlton Athletic Captain Jason Pearce.,JP6 Football Academy,36.7,0.5033333333333333,0.4966666666666666,0,0.5033333333333333,0.4966666666666667,0
alikarimi_ak8,ali karimi,,,30.0,631.0,False,December 2017,تهران،ایران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Karimi,0.0,0.5033333333333333,0.4966666666666666,0,0.5033333333333333,0.4966666666666667,0
abdolhamidnet,شیخ الاسلام مولانا عبدالحمید,مدیر دارالعلوم و امام جمعه اهل سنت زاهدان و رئیس شورای هماهنگی مدارس علوم دینی اهل سنت سیستان و بلوچستان,,2.0,3668.0,False,January 2012,iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The director of Darul Uloom and the imam of Ahl al-Sunnah Zahedan, and the head of the coordinating council of Ahl al-Sunnah religious schools in Sistan and Baluchistan",Shaykh-ul-Islam Maulana Abdul Hameed,0.0,0.5033333333333333,0.4966666666666666,0,0.5033333333333333,0.4966666666666667,1
alexanderdecroo,Alexander De Croo 🇺🇳,@UNDP  Administrator &  @UN  Under-Secretary-General  | Former Prime Minister of Belgium  | Former Minister of Finance and Development,,335.0,1376.0,False,May 2009,"New York, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,@UNDP  Administrator &  @UN  Under-Secretary-General  | Former Prime Minister of Belgium  | Former Minister of Finance and Development,Alexander De Croo 🇺🇳,0.0,0.5066666666666667,0.4933333333333333,0,0.5066666666666667,0.4933333333333333,0
ali_al_najafy,الشيخ علي النجفي,t.me/alsheikh_alnaj …,,26.0,4821.0,False,February 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,t.me/alsheikh_alnaj …,Sheikh Ali Al-Najafi,0.0,0.51,0.49,0,0.51,0.49,0
ahangevafa,هاتف قاضی‌زاده,(.-: من در کمال صحت عقل وصیت میکنم: بعد مرگم هرچی که میشه از اعضای بدنم رو اهدا کنین، هرچی هم میشه بدین به دانشکده‌های پزشکی :-.),6738.0,396.0,1312.0,False,January 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"(.-: I bequeath in full sanity: after my death, donate whatever parts of my body you can, give whatever you can to medical schools:-.)",Hatef Ghazizadeh,17.015151515151516,0.49,0.51,1,0.51,0.49,1
4genderjustice,Women's Initiatives for Gender Justice,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",5771.0,1516.0,8749.0,False,December 2011,"The Hague, The Netherlands",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",Women's Initiatives for Gender Justice,3.8067282321899736,0.5133333333333333,0.4866666666666667,0,0.5133333333333333,0.4866666666666667,0
alandersh,Alan Dershowitz,"Professor at Harvard Law School for 50 years, now emeritus. Active in litigation, writing, and defense of civil liberties and human rights.",,154.0,5041.0,False,September 2011,"Cambridge, MA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Professor at Harvard Law School for 50 years, now emeritus. Active in litigation, writing, and defense of civil liberties and human rights.",Alan Dershowitz,0.0,0.4866666666666667,0.5133333333333333,1,0.5133333333333333,0.4866666666666667,1
