username,display_name,manual_target_population,predicted_class,uncertainty_score,confidence_level,description,description_en,display_name_en,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url
90ndstoppage,90ndstoppage,,1,0.4989999081721927,0.5010000918278072,Get the latest on #IndianFootball  here  | Business Queries / Contact (DM)  : stoppage90nd@gmail.com | FB & IG :  @90ndstoppage,Get the latest on #IndianFootball  here  | Business Queries / Contact (DM)  : stoppage90nd@gmail.com | FB & IG :  @90ndstoppage,90ndstoppage,,566.0,5593.0,False,September 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
al_thawaq,احمد الذواق,,0,0.497703691210321,0.502296308789679,مهتم بالأخبار السياسية والتطورات العسكرية في العراق . Journalist and writer,Interested in political news and military developments in Iraq. Journalist and writer,Ahmed Al-Zawaq,,455.0,1400.0,False,December 2012,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alexeygorboot,Alexey Gorboot,,1,0.4970481359054353,0.5029518640945647,"Cartoonist, comic book artist. Much love to the classical comics. Contact me for commissions.","Cartoonist, comic book artist. Much love to the classical comics. Contact me for commissions.",Alexey Gorboot,,242.0,2237.0,False,April 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alexlaughs,alex sujong laughlin,,0,0.4956013185736412,0.5043986814263588,on here less frequently |  @defectormedia  | Normal Gossip co-creator/producer | writer ( @harpersbazaarus  @poynter  @catapultstory  +) | she/her,on here less frequently |  @defectormedia  | Normal Gossip co-creator/producer | writer ( @harpersbazaarus  @poynter  @catapultstory  +) | she/her,alex sujong laughlin,,2325.0,200.0,False,November 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdolhamidnet,شیخ الاسلام مولانا عبدالحمید,,1,0.4949107125431423,0.5050892874568577,مدیر دارالعلوم و امام جمعه اهل سنت زاهدان و رئیس شورای هماهنگی مدارس علوم دینی اهل سنت سیستان و بلوچستان,"The director of Darul Uloom and the imam of Ahl al-Sunnah Zahedan, and the head of the coordinating council of Ahl al-Sunnah religious schools in Sistan and Baluchistan",Shaykh-ul-Islam Maulana Abdul Hameed,,2.0,3668.0,False,January 2012,iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__injaneb96,ثنا ابراهیمی | Sana Ebrahimi,,1,0.4937442293787092,0.5062557706212908,"A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.","A PhD candidate passionate about politics, fighting Islamists and terrorists. A retweet is not an endorsement. Opinions are mine.",Sana Ebrahimi Sana Ebrahimi,,837.0,5593.0,False,March 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alialjabiri,د. علي الجابري,,1,0.4934082336611174,0.5065917663388826,رئيس اتحاد الصحفيين العرب في السويد رئيس تحرير صحيفة يورو تايمز  @eurotimesarabia  ..مذيع اول ومقدم برامج سياسية في قناة ابوظبي سابقاً..,"President of the Union of Arab Journalists in Sweden, Editor-in-Chief of the Euro Times newspaper @eurotimesarabia... Formerly a senior broadcaster and presenter of political programs on Abu Dhabi Channel..",D. Ali Al Jabri,,989.0,1332.0,False,March 2010,"Stockholm, Sweden",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdullahhemyari,Abid Ali,,1,0.4934082336611174,0.5065917663388826,مهتم في الاقتصاد,Interested in economics,Abid Ali,138.0,1332.0,175.0,False,November 2017,اليمن,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4sylvestermccoy,Sylvester McCoy,,1,0.4929815614895039,0.5070184385104961,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,Sylvester McCoy,,121.0,4831.0,False,August 2012,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahmedsaad189151,Ahmedsaad,,1,0.4927283240427507,0.5072716759572493,لو كنت تعلم ما يقال في غيابك من أقرب الناس إليك لأصبحت تبتسم للحيوانات فقط . . !,"If you knew what was said in your absence by the people closest to you, you would only smile at animals. . !",Ahmed Saad,1.0,16.0,3.0,False,September 2025,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aidin_og,آیـدیـنـم یا شاید یه انسان غمگین ؛,,1,0.4924835145680781,0.5075164854319218,خسته ام ؛,I'm tired,Aydinm or maybe a sad person;,0.0,8.0,27.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abbasmowzoon,Abbas_Mowzoon,,0,0.4921927725061104,0.5078072274938896,Researcher Author Director Producer,Researcher Author Director Producer,Abbas_Mowzoon,,0.0,390.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahmed_rami,Ahmed Rami - احمد رامي,,0,0.4915328424405816,0.5084671575594184,"OFFICER IN MOROCCO, JOURNALIST IN SWEDEN! ضابط في المغر ب، صحافي في  السويد ـ  Téléphone+46708121240  rami.tv","OFFICER IN MOROCCO, JOURNALIST IN SWEDEN! An officer in Morocco, a journalist in Sweden - Téléphone +46708121240 rami.tv",Ahmed Rami - Ahmed Rami,1837.0,6334.0,9923.0,False,March 2010,"Stockholm, Sweden",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ailar1000,jupiter,,1,0.4912862762146143,0.5087137237853857,"love reading,music,movies and these days speaking Deutsch is my favorite","love reading,music,movies and these days speaking Deutsch is my favorite",jupiter,59.0,978.0,996.0,False,September 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
