username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,confidence_level,uncertainty_score,manual_locals_vs_diaspora
ajibzade,عجیب زاده,از خودم که می گذشتم بالغ بودم. از آن پس را به خاطر ندارم,0.0,575.0,1356.0,False,April 2016,دار العجائب,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,از خودم که می گذشتم بالغ بودم. از آن پس را به خاطر ندارم,عجیب زاده,0,0.5346747284506348,0.46532527154936515,0.5346747284506348,0.4653252715493652,
alarabiya_fa,العربیه فارسی,العربيه فارسى به عنوان بخشی از شبكه العربيه در سال 2008 راه‌اندازی شد.,0.0,45.0,1356.0,False,March 2009,Riyadh,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,العربيه فارسى به عنوان بخشی از شبكه العربيه در سال 2008 راه‌اندازی شد.,العربیه فارسی,0,0.5982643448506317,0.4017356551493683,0.5982643448506317,0.40173565514936826,
3tareee,سه تا رِ,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,1206.0,212.0,0.0,False,May 2016,شهری عاری از مونوگامی,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,سه تا رِ,0,0.6198650059060454,0.38013499409395457,0.6198650059060454,0.38013499409395457,
2ndravanparish,روانپریش دوم درب اول,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,0.0,35.0,5587.0,False,December 2018,"Dubai, UAE",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,منو آنفالو نکن عنتر ب.آ بزن / CG Artist & Web Designer,روانپریش دوم درب اول,0,0.634107817066512,0.3658921829334881,0.634107817066512,0.365892182933488,
afintlbrk,افغانستان اینترنشنال,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com WhatsApp: +447340006000,0.0,10.0,1315.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com WhatsApp: +447340006000,افغانستان اینترنشنال,0,0.6398249530423197,0.36017504695768027,0.6398249530423197,0.3601750469576803,
afintlradio,رادیو افغانستان اینترنشنال,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com  00447771112080,0.0,12.0,1315.0,False,September 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The First 24/7 International News Channel for Afghanistan اولین شبکه خبری بین‌المللی ۲۴ ساعته افغانستان Email: info@afintl.com  00447771112080,رادیو افغانستان اینترنشنال,0,0.6416821268565482,0.3583178731434517,0.6416821268565482,0.35831787314345176,
aghplt,Ali Gholhaki,journalist | ثبت است بر جریده عالم دوام ما,0.0,3259.0,9934.0,False,January 2020,هرجا که باید,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,journalist | ثبت است بر جریده عالم دوام ما,Ali Gholhaki,0,0.6431731083235823,0.3568268916764176,0.6431731083235823,0.3568268916764177,
afrasyabia,Afrasyabi.alireza,کارشناس مکانیک طراح قطعات  متخصص در زمینه خودرو,36.0,322.0,137.0,False,October 2018,ahwaz,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,کارشناس مکانیک طراح قطعات  متخصص در زمینه خودرو,Afrasyabi.alireza,0,0.6518827232137947,0.34811727678620535,0.6518827232137947,0.3481172767862053,
aboutmes7,تتو آرتیست,هر کاری میکنم برای براندازیخبررسانآگاهی دهنده,0.0,193.0,7656.0,False,November 2021,آزادی,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,هر کاری میکنم برای براندازیخبررسانآگاهی دهنده,تتو آرتیست,0,0.6693749682272077,0.3306250317727923,0.6693749682272077,0.33062503177279234,
_mahdiyar313,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,0.0,1054.0,6124.0,False,November 2022,۱:۲۰,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,علی اکبر رائفی پور,0,0.6697322884802521,0.3302677115197478,0.6697322884802521,0.3302677115197479,
alimarouf153082,Ali,,241.0,3122.0,2584.0,False,December 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.30998311056454586,0.6900168894354541,0.6900168894354541,0.30998311056454586,
aasangari,Ali A. Sangari,,200.0,5518.0,36.0,False,March 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali A. Sangari,1,0.30493842524916404,0.695061574750836,0.695061574750836,0.30493842524916404,
agha_xavier2,خاویر پرز دکوئیار R.I.P,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,5940.0,665.0,1303.0,False,June 2018,روی در دیوار هجران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,خاویر پرز دکوئیار R.I.P,0,0.7021968047738911,0.29780319522610893,0.7021968047738911,0.2978031952261089,
abba3pakbin,Abbas Pakbin,شاعر و ترانه سرا...وگاهی تریدر...  به زودی پروردگارت آنقدر برای تو معجزه خواهد کرد که خشنود شوی.. سوره ضحی آیه 5,77.0,826.0,1122.0,False,March 2021,در پناه خدا,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,شاعر و ترانه سرا...وگاهی تریدر...  به زودی پروردگارت آنقدر برای تو معجزه خواهد کرد که خشنود شوی.. سوره ضحی آیه 5,Abbas Pakbin,0,0.7048095018985034,0.2951904981014966,0.7048095018985034,0.29519049810149656,
a_01_2024,Ali,,48.0,454.0,159.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,1,0.275619280268665,0.724380719731335,0.724380719731335,0.275619280268665,
alinezhadi5,Ali Nezhadi,,64.0,1021.0,0.0,False,August 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Nezhadi,1,0.2739083663642218,0.7260916336357782,0.7260916336357782,0.2739083663642218,
alirezamm1992,Ali.M,یه مالیچی دغدغه‌مند برای اصلاح // خاک پای نوکران حضرت زهرا سلام الله علیها هستم //  ورود سگ و برانداز به این پیج ممنوعه,1569.0,1719.0,1155.0,False,September 2018,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,یه مالیچی دغدغه‌مند برای اصلاح // خاک پای نوکران حضرت زهرا سلام الله علیها هستم //  ورود سگ و برانداز به این پیج ممنوعه,Ali.M,1,0.2699859303126593,0.7300140696873407,0.7300140696873407,0.2699859303126593,
ali_cheshomi,علی چشمی,استادیار گروه اقتصاد دانشگاه فردوسی مشهد,4919.0,202.0,1651.0,False,September 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,استادیار گروه اقتصاد دانشگاه فردوسی مشهد,علی چشمی,1,0.26610626996146036,0.7338937300385396,0.7338937300385396,0.26610626996146036,
aliabz429014,Ali Abz,,27.0,563.0,0.0,False,October 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Abz,1,0.2638303785153774,0.7361696214846226,0.7361696214846226,0.2638303785153774,
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,770.0,890.0,4161.0,False,December 2018,کهکشان راه شیری ، دست چپ,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,او از پیروان م ح م د بن حسن بود,علی نجار,0,0.7382134490710566,0.2617865509289434,0.7382134490710566,0.26178655092894343,
abolie17386,abolfazl Esmaili,انشاالله پایان و نابودی اسرائیل به دست اولاد علی(علیه سلام)  Israel Is a Canserous Gland,4.0,28.0,164.0,False,November 2025,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,انشاالله پایان و نابودی اسرائیل به دست اولاد علی(علیه سلام)  Israel Is a Canserous Gland,abolfazl Esmaili,1,0.25688794854511565,0.7431120514548843,0.7431120514548843,0.25688794854511565,
alivesali,AliV5,آنک منم پا بر صلیب باژگون نهاده، با قامتی به بلندی فریاد.  «متاهل»,654.0,1163.0,5311.0,False,April 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,آنک منم پا بر صلیب باژگون نهاده، با قامتی به بلندی فریاد.  «متاهل»,AliV5,1,0.25540136869802066,0.7445986313019793,0.7445986313019793,0.25540136869802066,
ahmedmohammed,Ahmed bin Mohammed,"النائب الثاني لحاكم دبي، رئيس مجلس دبي للإعلام   Second Deputy Ruler of Dubai, Chairman of the Dubai Media Council",0.0,22.0,654.0,False,January 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"النائب الثاني لحاكم دبي، رئيس مجلس دبي للإعلام   Second Deputy Ruler of Dubai, Chairman of the Dubai Media Council",Ahmed bin Mohammed,0,0.7462526230229328,0.2537473769770672,0.7462526230229328,0.2537473769770672,
alirezaroashan,علیرضا روشن,مفتخور و بیکار و بیعار,0.0,1286.0,1155.0,False,October 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,مفتخور و بیکار و بیعار,علیرضا روشن,1,0.252886484262802,0.747113515737198,0.747113515737198,0.252886484262802,
abbasali690448,abbas ali,,0.0,65.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,abbas ali,1,0.2527558645707395,0.7472441354292605,0.7472441354292605,0.2527558645707395,
abu_aqeel86,عبدالله الخالدي,,0.0,16.0,4.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,عبدالله الخالدي,0,0.7487583337330895,0.25124166626691047,0.7487583337330895,0.25124166626691047,
