Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
List of Iranian writers,https://en.wikipedia.org/wiki/List_of_Iranian_writers,Q622665,https://www.wikidata.org/wiki/Q622665,,,,,
Kader Abdolah,https://en.wikipedia.org/wiki/Kader_Abdolah,Q381254,https://www.wikidata.org/wiki/Q381254,male,columnist; novelist; poet; writer,Iran; Kingdom of the Netherlands; Pahlavi Iran,Arak,1954-12-12T00:00:00Z
Janet Afary,https://en.wikipedia.org/wiki/Janet_Afary,Q4355531,https://www.wikidata.org/wiki/Q4355531,female,historian; professor; writer,Iran,New York City,1958-01-01T00:00:00Z
Agha Zia ol Din Araghi,https://en.wikipedia.org/wiki/Agha_Zia_ol_Din_Araghi,Q16126420,https://www.wikidata.org/wiki/Q16126420,male,Islamic jurist; writer,Iran,,1861-01-01T00:00:00Z
Hashem Aghajari,https://en.wikipedia.org/wiki/Hashem_Aghajari,Q1588191,https://www.wikidata.org/wiki/Q1588191,male,essayist; historian; journalist; translator; university teacher; writer,Iran,Abadan,1957-01-01T00:00:00Z
Alireza Alavitabar,https://en.wikipedia.org/wiki/Alireza_Alavitabar,Q4726865,https://www.wikidata.org/wiki/Q4726865,male,economist; journalist; writer,Iran,Shiraz,1960-01-01T00:00:00Z
Mohammad Reza Ale Ebrahim,https://en.wikipedia.org/wiki/Mohammad_Reza_Ale_Ebrahim,Q5955323,https://www.wikidata.org/wiki/Q5955323,male,writer,Iran,Estahban,1951-10-24T00:00:00Z
Hasan Amid,https://en.wikipedia.org/wiki/Hasan_Amid,Q5956739,https://www.wikidata.org/wiki/Q5956739,male,journalist; lexicographer; writer,Iran,Mashhad,1910-01-01T00:00:00Z
Maryam Amid,https://en.wikipedia.org/wiki/Maryam_Amid,Q5946620,https://www.wikidata.org/wiki/Q5946620,female,journalist,Iran,Semnan,
Lady Amin,https://en.wikipedia.org/wiki/Lady_Amin,Q6469930,https://www.wikidata.org/wiki/Q6469930,female,mystic; theologian,Iran,Isfahan,1886-01-01T00:00:00Z
Mahshid Amirshahi,https://en.wikipedia.org/wiki/Mahshid_Amirshahi,Q6734917,https://www.wikidata.org/wiki/Q6734917,female,novelist; short story writer; translator; writer,Iran,Kermanshah,1937-04-09T00:00:00Z
Amir Ahmadi Arian,https://en.wikipedia.org/wiki/Amir_Ahmadi_Arian,Q129909371,https://www.wikidata.org/wiki/Q129909371,male,writer,,,
Ghamar Ariyan,https://en.wikipedia.org/wiki/Ghamar_Ariyan,Q5962773,https://www.wikidata.org/wiki/Q5962773,female,essayist; lexicographer; translator; writer,Iran,Quchan,1922-03-22T00:00:00Z
Nazanin Armanian,https://en.wikipedia.org/wiki/Nazanin_Armanian,Q20972617,https://www.wikidata.org/wiki/Q20972617,female,certified translator; political scientist; university teacher; writer,Iran,Shiraz,1961-01-21T00:00:00Z
Mirza Mahdi Ashtiani,https://en.wikipedia.org/wiki/Mirza_Mahdi_Ashtiani,Q5878724,https://www.wikidata.org/wiki/Q5878724,male,philosopher; writer,Iran,Tehran,1888-01-01T00:00:00Z
Mohammad Reza Aslani,https://en.wikipedia.org/wiki/Mohammad_Reza_Aslani,Q5964329,https://www.wikidata.org/wiki/Q5964329,male,film director; poet; screenwriter; writer,Iran,Rasht,1943-12-18T00:00:00Z
