Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
1.0,Iran actor,Michael Shahrestani,2015,https://x.com/2015,iranian_actors,suspended,https://en.wikipedia.org/wiki/Michael_Shahrestani
2.0,Iran actor,Arian Moayed,2023,https://x.com/2023,iranian_actors,suspended,https://en.wikipedia.org/wiki/Arian_Moayed
3.0,Iran actor,Sahel Rosa,21Sahel,https://x.com/21Sahel,iranian_actors,active,https://en.wikipedia.org/wiki/Sahel_Rosa
4.0,Iran candidate,25Band,25BandMusic,https://x.com/25BandMusic,Candidates,active,https://en.wikipedia.org/wiki/25band
5.0,Iran candidate,Mohammad Mosaed,2mohammadmosaed,https://x.com/2mohammadmosaed,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Mosaed
6.0,Iran actor,Omid Abtahi,AbtahiOmid,https://x.com/AbtahiOmid,iranian_actors,active,https://en.wikipedia.org/wiki/Omid_Abtahi
7.0,Iran actor,Mahnaz Afshar,AfsharMahnaz,https://x.com/AfsharMahnaz,iranian_actors,active,https://en.wikipedia.org/wiki/Mahnaz_Afshar
8.0,Iran candidate,Afshin Molavi,AfshinMolavi,https://x.com/AfshinMolavi,Candidates,active,https://en.wikipedia.org/wiki/Afshin_Molavi
9.0,Iran candidate,Mahmoud Ahmadinejad,Ahmadinejad1956,https://x.com/Ahmadinejad1956,Candidates,active,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad
10.0,Iran candidate,Ali Azimi,AliAzimiMusic,https://x.com/AliAzimiMusic,Candidates,active,https://en.wikipedia.org/wiki/Ali_Azimi
11.0,Iran candidate,Yerlan Alimbayev,AlimbayevYerlan,https://x.com/AlimbayevYerlan,Candidates,active,https://en.wikipedia.org/wiki/Yerlan_Alimbayev
12.0,Iran candidate,Alireza Talischi,Alirezatalischi,https://x.com/Alirezatalischi,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Talischi
13.0,Iran candidate,Amir Taheri,AmirTaheri4,https://x.com/AmirTaheri4,Candidates,active,https://en.wikipedia.org/wiki/Amir_Taheri
14.0,Iran candidate,Anousheh Ansari,AnoushehAnsari,https://x.com/AnoushehAnsari,Candidates,active,https://en.wikipedia.org/wiki/Anousheh_Ansari
15.0,Iran candidate,Arash Markazi,ArashMarkazi,https://x.com/ArashMarkazi,Candidates,active,https://en.wikipedia.org/wiki/Arash_Markazi
