full name,description / bio,followers_count,following_count,statuses_count,created_at,profile_image_url,banner_url,username,external_url,location,verified,protected,language,scraped_at,poi_name,twitter_status,source,error
Amir Jadidi,instagram.com/amirjadidi iranian theater and film actor,38935.0,27.0,206.0,2016-01-30 09:14:59+00:00,https://pbs.twimg.com/profile_images/693364880867528704/0Cv1lAPl_normal.jpg,,amir_jadidi,http://amirjadidi.com,,False,,English,2025-11-08T12:52:05+00:00,Amir Jadidi,active,snscrape,
Official.ARADWINWIN,SUBSCRIBE TO SEE EXCLUSIVE VIDEOS . 🇺🇸 📍LV.📍LA,284484.0,1035.0,1251.0,2016-11-27 04:45:03+00:00,https://pbs.twimg.com/profile_images/1558732378276651008/4j8yk0iP_normal.jpg,,OAradwinwin,https://onlyfans.com/itsaradwinwin,United States,False,,English,2025-11-08T12:52:05+00:00,Arad Winwin,active,snscrape,
,,,,,,,,aydenmayeri,,,,,<NA>,2025-11-08T12:52:09+00:00,Ayden Mayeri,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
🦥 dr. eldeniz,"General practitioner (GP) 
medical doctor who treats acute and chronic illnesses and provides preventive care and health education to patients.",7987.0,3925.0,117621.0,2014-10-23 20:57:28+00:00,https://pbs.twimg.com/profile_images/1644241463843213312/lLEBS7jw_normal.jpg,,davood_eldeniz,,,False,,English,2025-11-08T12:52:12+00:00,Behrouz Vossoughi,active,snscrape,
Bita Alahyan,"Director 
Producer 
Filmmaker",25.0,150.0,8.0,2017-02-01 07:56:09+00:00,https://pbs.twimg.com/profile_images/841547695076462592/TN-EhKLy_normal.jpg,,BitaAlahyan,https://www.uniquedirecting.com/,"Los Angeles, CA",False,,English,2025-11-08T12:52:13+00:00,Bita Elahian,active,snscrape,
Boshra Dastournezhad,,52.0,0.0,14.0,2014-08-14 19:39:37+00:00,https://pbs.twimg.com/profile_images/814615187235946496/fftI9lYU_normal.jpg,,dastournezhad,,,False,,<NA>,2025-11-08T12:52:14+00:00,Boshra Dastournezhad,active,snscrape,
Elnaaz Norouzi,Let me act and I'll be happy ❤,177835.0,233.0,3212.0,2013-02-12 08:12:40+00:00,https://pbs.twimg.com/profile_images/1379740461322080259/2aB2Ve7r_normal.jpg,,_iamnaaz_,http://www.elnaaznorouzi.com,India,False,,English,2025-11-08T12:52:14+00:00,Elnaaz Norouzi,active,snscrape,
Living in Tehran (LiT),"We are about #Tehran ❤️
By the people and for the people of Iran.
LiT is not a news agency!",27784.0,101.0,18118.0,2014-04-30 08:27:23+00:00,https://pbs.twimg.com/profile_images/1609217860273901569/rnviywMI_normal.jpg,,LivinginTehran,http://www.livingintehran.com,Tehran/تهران,False,,English,2025-11-08T12:52:15+00:00,Fathali Oveisi,active,snscrape,
Freema Agyeman,➖,196093.0,571.0,6828.0,2013-01-28 15:53:07+00:00,https://pbs.twimg.com/profile_images/1163820774899310593/pdu3Td9X_normal.jpg,,FreemaOfficial,http://Instagram.com/FreemaOfficial,,False,,<NA>,2025-11-08T12:52:15+00:00,Freema Agyeman,active,snscrape,
Golshifteh Farahani,,1055553.0,99.0,516.0,2009-06-15 19:34:48+00:00,https://pbs.twimg.com/profile_images/1175696821433327616/MpGnACeu_normal.jpg,,Golshifteh,,,False,,<NA>,2025-11-08T12:52:15+00:00,Golshifteh Farahani,active,snscrape,
Hurie Moghadam,director of the show&actor                           horseoman                                                        درنهایت قدرت ،انسان باش,3.0,2.0,3.0,2021-07-26 09:12:30+00:00,https://pbs.twimg.com/profile_images/1420036413924548615/WB-zF6W__normal.jpg,,HurieMoghadam,http://huriemoghaddam.ir,Tehran,False,,English,2025-11-08T12:52:15+00:00,Hurie Moghadam,active,snscrape,
Kheiron,Je suis un utopiste réaliste… je rêve en me pinçant. // contact pro : 60minutesaveckheiron@gmail.com // Insta : kheiron_ // en tournée actuellement 👇,85738.0,364.0,8993.0,2008-08-01 22:35:25+00:00,https://pbs.twimg.com/profile_images/1523558173935910912/1T7mVx4u_normal.jpg,,MrKheiron,http://kheiron.fr,Paris,False,,French,2025-11-08T12:52:22+00:00,Kheiron,active,snscrape,
Mahlagha,,17583.0,197.0,4653.0,2009-06-16 04:57:25+00:00,https://pbs.twimg.com/profile_images/895058100549328897/Yj2k3RfO_normal.jpg,,MahlaghaJaberi,http://facebook.com/MahlaghaOfficial,"San Diego, CA",False,,<NA>,2025-11-08T12:52:22+00:00,Mahlagha Jaberi,active,snscrape,
,,,,,,,,AfsharMahnaz,,,,,<NA>,2025-11-08T12:52:26+00:00,Mahnaz Afshar,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Mandana karimi,,69000.0,42.0,5831.0,2009-08-21 10:01:50+00:00,https://pbs.twimg.com/profile_images/1573308049997307904/FzQJX_fw_normal.jpg,,manizhe,,mumbai ,False,,<NA>,2025-11-08T12:52:29+00:00,Mandana Karimi,active,snscrape,
,,,,,,,,Walklikeakhan,,,,,<NA>,2025-11-08T12:52:32+00:00,Marco Khan,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Maryam Zakaria,Swedish/Iranian Bollywood Actress! Dreams can become reality if you just believe in yourself. Work hard and fight for your goals -MZ #AgentVinod #GrandMasti,57584.0,120.0,14515.0,2010-07-13 19:40:41+00:00,https://pbs.twimg.com/profile_images/946039306161754112/8J-Kq0Nt_normal.jpg,,MaryamZakaria,http://www.facebook.com/MaryamZakariaOfficial,Mumbai,False,,English,2025-11-08T12:52:35+00:00,Maryam Zakaria,active,snscrape,
Mehrdad Raissi,"Mehrdad Raissi Ardali, Voice actor, Voice Acting Director, CEO of Glory Entertainment مهرداد رئیسی، بنیان‌گذار گلوری انترتینمنت و انجمن گویندگان جوان تهران",15298.0,33.0,343.0,2013-11-19 21:47:05+00:00,https://pbs.twimg.com/profile_images/378800000763075768/153fad41083431944d3bbaff76ac7faf_normal.jpeg,,MehrdadRaissi,http://www.voiceglory.com,United States,False,,English,2025-11-08T12:52:35+00:00,Mehrdad Raissi Ardali,active,snscrape,
Moe Bar-El,,0.0,1.0,0.0,2023-02-11 16:22:44+00:00,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,MoeBarEl1,,,False,,<NA>,2025-11-08T12:52:35+00:00,Moe Bar-El,active,snscrape,
Navid Negahban,"Dreamer, Iranian, Actor, Producer",4529.0,128.0,2162.0,2009-06-20 16:36:26+00:00,https://pbs.twimg.com/profile_images/378800000625471192/80a9fd082f8c554a9ed70a7cd7aafc82_normal.jpeg,,NavidNegahban,http://instagram.com/navidnegahban/,,False,,English,2025-11-08T12:52:35+00:00,Navid Negahban,active,snscrape,
thirst,WOW Your Learners ✨,255.0,610.0,1194.0,2017-10-02 14:17:38+00:00,https://pbs.twimg.com/profile_images/1886706353072193536/YDc2hXHZ_normal.jpg,,thirst,http://thirst.io/,"Manchester, England",False,,English,2025-11-08T12:52:36+00:00,Nazanin Mandi,active,snscrape,
Nazanin Nour,Actor | Writer | Producer | Host 💜Mehmooni with Nazanin on YouTube💜,70528.0,625.0,20153.0,2010-10-06 15:45:54+00:00,https://pbs.twimg.com/profile_images/1941563991136010241/xP4FjV1R_normal.jpg,,NazaninNour,http://YouTube.com/@NazaninNour,L.A. ,False,,English,2025-11-08T12:52:36+00:00,Nazanin Nour,active,snscrape,
Omid Abtahi,Actor. Giggity giggity.,16589.0,93.0,695.0,2014-03-13 02:48:46+00:00,https://pbs.twimg.com/profile_images/1104773029308043264/PHXAnGv9_normal.jpg,,AbtahiOmid,,,False,,English,2025-11-08T12:52:36+00:00,Omid Abtahi,active,snscrape,
,,,,,,,,apps,,,,,<NA>,2025-11-08T12:52:40+00:00,Osamah Sami,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Pegah Ferydoni,Cosmopolitan German Heiress • W*LF • תיקון עולם,2231.0,409.0,3524.0,2022-11-20 22:26:57+00:00,https://pbs.twimg.com/profile_images/1594457776218062857/o4JXSNha_normal.jpg,,pepepito1983,,"Berlin, Deutschland",False,,English,2025-11-08T12:52:43+00:00,Pegah Ferydoni,active,snscrape,
