task_name,experiment_type,classifier_name,num_samples,num_features,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
target_population,multiclass_imbalanced,LogisticRegression,100,75,0.4600000000000001,0.1113552872566004,0.3887635756056808,0.1405778702721731,0.4600000000000001,0.1113552872566004,0.4036309242334818,0.1029817219810116
target_population,multiclass_balanced,LogisticRegression,51,75,0.3345454545454546,0.1046679124699945,0.4669112554112554,0.2365899541277757,0.3345454545454546,0.1046679124699945,0.3137950937950938,0.126807723464472
target_population,binary_target_vs_rest_imbalanced,LogisticRegression,83,75,0.6375,0.1164367895106915,0.6166666666666666,0.2449489742783178,0.382063492063492,0.196466390459017,0.4206959706959706,0.1449314048231549
target_population,binary_target_vs_rest_balanced,LogisticRegression,66,75,0.4846153846153846,0.0753689151625593,0.5564646464646464,0.1841135691530942,0.7133333333333333,0.2902872140943632,0.5396983408748115,0.0562311058158368
locals_vs_diaspora,multiclass_imbalanced,LogisticRegression,100,75,0.8,0.0547722557505166,0.6555263157894737,0.0633094125502008,0.8,0.0547722557505166,0.7204062886415826,0.0601583258387364
locals_vs_diaspora,multiclass_balanced,LogisticRegression,24,75,0.26,0.1743559577416269,0.41,0.4103656905736638,0.26,0.1743559577416269,0.2876666666666667,0.2480761531824004
locals_vs_diaspora,binary_target_vs_rest_imbalanced,LogisticRegression,19,75,0.5,0.3535533905932738,0.55,0.4,0.65,0.3741657386773941,0.5514285714285714,0.3533628533426355
locals_vs_diaspora,binary_target_vs_rest_balanced,LogisticRegression,16,75,0.6,0.3265986323710904,0.4666666666666666,0.4521553322083513,0.4666666666666667,0.4521553322083512,0.4,0.3741657386773941
person_vs_organization,multiclass_imbalanced,LogisticRegression,100,75,0.6700000000000002,0.092736184954957,0.6029411764705881,0.1647261438414192,0.6700000000000002,0.092736184954957,0.6017919778589967,0.1192258989232187
person_vs_organization,multiclass_balanced,LogisticRegression,39,75,0.3357142857142857,0.133343962161389,0.3723214285714286,0.2049218990100315,0.3357142857142857,0.133343962161389,0.3228571428571428,0.1464845034485453
person_vs_organization,binary_target_vs_rest_imbalanced,LogisticRegression,87,75,0.7915032679738563,0.1109264131951727,0.7962745098039216,0.1066496345975207,0.965714285714286,0.0429522753667797,0.8699770114942529,0.0790421719662018
person_vs_organization,binary_target_vs_rest_balanced,LogisticRegression,44,75,0.5416666666666666,0.1960253196041927,0.6,0.2756809750418044,0.55,0.2962731472438529,0.5049206349206349,0.2321774631647363
target_population,multiclass_imbalanced,LogisticRegression,100,75,0.4600000000000001,0.1113552872566004,0.3887635756056808,0.1405778702721731,0.4600000000000001,0.1113552872566004,0.4036309242334818,0.1029817219810116
target_population,multiclass_balanced,LogisticRegression,51,75,0.3345454545454546,0.1046679124699945,0.4669112554112554,0.2365899541277757,0.3345454545454546,0.1046679124699945,0.3137950937950938,0.126807723464472
target_population,binary_target_vs_rest_imbalanced,LogisticRegression,83,75,0.6375,0.1164367895106915,0.6166666666666666,0.2449489742783178,0.382063492063492,0.196466390459017,0.4206959706959706,0.1449314048231549
target_population,binary_target_vs_rest_balanced,LogisticRegression,66,75,0.4846153846153846,0.0753689151625593,0.5564646464646464,0.1841135691530942,0.7133333333333333,0.2902872140943632,0.5396983408748115,0.0562311058158368
locals_vs_diaspora,multiclass_imbalanced,LogisticRegression,100,75,0.8,0.0547722557505166,0.6555263157894737,0.0633094125502008,0.8,0.0547722557505166,0.7204062886415826,0.0601583258387364
locals_vs_diaspora,multiclass_balanced,LogisticRegression,24,75,0.26,0.1743559577416269,0.41,0.4103656905736638,0.26,0.1743559577416269,0.2876666666666667,0.2480761531824004
locals_vs_diaspora,binary_target_vs_rest_imbalanced,LogisticRegression,19,75,0.5,0.3535533905932738,0.55,0.4,0.65,0.3741657386773941,0.5514285714285714,0.3533628533426355
locals_vs_diaspora,binary_target_vs_rest_balanced,LogisticRegression,16,75,0.6,0.3265986323710904,0.4666666666666666,0.4521553322083513,0.4666666666666667,0.4521553322083512,0.4,0.3741657386773941
person_vs_organization,multiclass_imbalanced,LogisticRegression,100,75,0.6700000000000002,0.092736184954957,0.6029411764705881,0.1647261438414192,0.6700000000000002,0.092736184954957,0.6017919778589967,0.1192258989232187
person_vs_organization,multiclass_balanced,LogisticRegression,39,75,0.3357142857142857,0.133343962161389,0.3723214285714286,0.2049218990100315,0.3357142857142857,0.133343962161389,0.3228571428571428,0.1464845034485453
person_vs_organization,binary_target_vs_rest_imbalanced,LogisticRegression,87,75,0.7915032679738563,0.1109264131951727,0.7962745098039216,0.1066496345975207,0.965714285714286,0.0429522753667797,0.8699770114942529,0.0790421719662018
person_vs_organization,binary_target_vs_rest_balanced,LogisticRegression,44,75,0.5416666666666666,0.1960253196041927,0.6,0.2756809750418044,0.55,0.2962731472438529,0.5049206349206349,0.2321774631647363
target_population,multiclass_imbalanced,LogisticRegression,100,75,0.55,0.07745966692414832,0.47458424908424907,0.08375382011769243,0.55,0.07745966692414832,0.49815761050543655,0.07431946359014359
target_population,multiclass_balanced,LogisticRegression,51,75,0.37454545454545457,0.10291615780425387,0.4155497835497835,0.14749932660308332,0.37454545454545457,0.10291615780425387,0.33494805194805194,0.08665602686915383
target_population,binary_target_vs_rest_imbalanced,LogisticRegression,83,75,0.6257352941176471,0.07228356310261477,0.5166666666666666,0.1699673171197595,0.3619047619047619,0.1752225665997533,0.41661227661227657,0.1719143140859179
target_population,binary_target_vs_rest_balanced,LogisticRegression,66,75,0.6054945054945055,0.10346023996430612,0.6033333333333333,0.09683892697555967,0.6047619047619047,0.14876666049346007,0.5987612387612387,0.11242076722636067
locals_vs_diaspora,multiclass_imbalanced,LogisticRegression,33,75,0.3333333333333333,0.0521640530957301,0.25396825396825395,0.11178931340735879,0.3333333333333333,0.0521640530957301,0.2819047619047619,0.09067146846028118
locals_vs_diaspora,multiclass_balanced,LogisticRegression,24,75,0.33,0.15362291495737215,0.3333333333333333,0.14452988925785867,0.33,0.15362291495737215,0.30266666666666664,0.10828768268931707
locals_vs_diaspora,binary_local_vs_rest_imbalanced,LogisticRegression,19,75,0.65,0.2,0.65,0.2,0.8,0.2449489742783178,0.7047619047619047,0.19783407693181893
locals_vs_diaspora,binary_local_vs_rest_balanced,LogisticRegression,16,75,0.6833333333333333,0.21343747458109497,0.7333333333333333,0.2260776661041756,0.8,0.2449489742783178,0.7266666666666667,0.16653327995729064
person_vs_organization,multiclass_imbalanced,LogisticRegression,100,75,0.64,0.020000000000000018,0.506389705882353,0.07140454835080622,0.64,0.020000000000000018,0.5584318118662945,0.0391379894817421
person_vs_organization,multiclass_balanced,LogisticRegression,39,75,0.3392857142857143,0.14854738816489585,0.3020833333333333,0.20560716319125544,0.3392857142857143,0.14854738816489585,0.3053571428571428,0.17193790077628607
person_vs_organization,binary_person_vs_rest_imbalanced,LogisticRegression,87,75,0.74640522875817,0.11586522845134423,0.770405982905983,0.05241514402029089,0.9384615384615385,0.12307692307692308,0.8441345084281681,0.07914986341497554
person_vs_organization,binary_person_vs_rest_balanced,LogisticRegression,44,75,0.5722222222222222,0.12120791238484127,0.46428571428571425,0.24948927423675687,0.5900000000000001,0.41521078984053383,0.48593073593073594,0.2955873193252534
