Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
1,Iran candidate,まゆみん,2011,https://x.com/2011,Candidates,suspended,
2,Iran candidate,2012 ABC,2012,https://x.com/2012,Candidates,suspended,
3,Iran candidate,2016,2016,https://x.com/2016,Candidates,suspended,
4,Iran candidate,Sam Beck,2017,https://x.com/2017,Candidates,suspended,
5,Iran candidate,,2022,https://x.com/2022,Candidates,suspended,
6,Iran candidate,AEK F.C.,AEK_FC_OFFICIAL,https://x.com/AEK_FC_OFFICIAL,Candidates,active,
7,Iran candidate,,AndrewNTDavis,https://x.com/AndrewNTDavis,Candidates,active,
8,Iran candidate,Ash Koosha,AshKoosha,https://x.com/AshKoosha,Candidates,active,https://en.wikipedia.org/wiki/Kamshad_Kooshan
9,Iran candidate,,Baharmdehkordi,https://x.com/Baharmdehkordi,Candidates,active,
10,Iran candidate,,BahramNouraei,https://x.com/BahramNouraei,Candidates,active,
11,Iran candidate,CameliaEntekhabifard,CameliaFard,https://x.com/CameliaFard,Candidates,active,https://en.wikipedia.org/wiki/Camelia_Entekhabifard
12,Iran candidate,Catherine Manso,CathyManso,https://x.com/CathyManso,Candidates,active,
13,Iran candidate,,CiaoSamin,https://x.com/CiaoSamin,Candidates,active,
14,Iran candidate,Firouz M. Naderi,Firouz_Naderi,https://x.com/Firouz_Naderi,Candidates,active,https://en.wikipedia.org/wiki/Firouz_Naderi
15,Iran candidate,Roxana Moslehi (رکسانا مصلحی),Genomicien,https://x.com/Genomicien,Candidates,active,https://en.wikipedia.org/wiki/Roxana_Moslehi
16,Iran candidate,Seyed Mohammad Ali Hosseini,HossainiSma,https://x.com/HossainiSma,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Ali_Hosseini
17,Iran candidate,IBA's Human Rights Institute,IBAHRI,https://x.com/IBAHRI,Candidates,active,
18,Iran candidate,Center for Human Rights in Iran,ICHRI,https://x.com/ICHRI,Candidates,active,
19,Iran candidate,ايران اينترنشنال,IranIntl,https://x.com/IranIntl,Candidates,active,
20,Iran candidate,Iran News Wire,IranNW,https://x.com/IranNW,Candidates,active,
21,Iran candidate,,IranianArForces,https://x.com/IranianArForces,Candidates,active,
22,Iran candidate,Sheema Kalbasi شیما کلباسی,IranianWoman,https://x.com/IranianWoman,Candidates,active,
23,Iran candidate,Javad Zarif,JZarif,https://x.com/JZarif,Candidates,active,
24,Iran candidate,Janez Lenarčič,JanezLenarcic,https://x.com/JanezLenarcic,Candidates,active,
25,Iran candidate,Jason Reza Jorjani,Jason_Jorjani,https://x.com/Jason_Jorjani,Candidates,active,https://en.wikipedia.org/wiki/Jason_Jorjani
26,Iran candidate,John Kerry,JohnKerry,https://x.com/JohnKerry,Candidates,active,
27,Iran candidate,Kaveh Akbar _ AUTHOR,KavehAkbar,https://x.com/KavehAkbar,Candidates,active,
28,Iran candidate,MehdiKhalaji,MehdiKhalaji,https://x.com/MehdiKhalaji,Candidates,active,https://en.wikipedia.org/wiki/Mehdi_Khalaji
29,Iran candidate,محمد فاضلی,Mfazeli114,https://x.com/Mfazeli114,Candidates,active,
30,Iran candidate,محمد نهاوندیان,Nahavandian_ir,https://x.com/Nahavandian_ir,Candidates,active,
31,Iran candidate,,NasimAmiralian,https://x.com/NasimAmiralian,Candidates,active,
32,Iran candidate,Nazanin Afshin-Jam MacKay,NazaninAJ,https://x.com/NazaninAJ,Candidates,active,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam
33,Iran candidate,Nisha Biswal,NishaBiswal,https://x.com/NishaBiswal,Candidates,active,
34,Iran candidate,Mohsen Namjoo | محسن نامجو,OfficialMNamjoo,https://x.com/OfficialMNamjoo,Candidates,active,
35,Iran candidate,توماج صالحی,OfficialToomaj,https://x.com/OfficialToomaj,Candidates,active,
36,Iran candidate,,OmidFarokhzad,https://x.com/OmidFarokhzad,Candidates,active,
37,Iran candidate,porochista khakpour she/her پوروچیستا خاکپور,PKhakpour,https://x.com/PKhakpour,Candidates,active,
38,Iran candidate,Reza Pahlavi,PahlaviReza,https://x.com/PahlaviReza,Candidates,active,https://en.wikipedia.org/wiki/Reza_Taghavi
39,Iran candidate,Ali Reza Panahian,PanahianEN,https://x.com/PanahianEN,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Panahian
40,Iran candidate,Penn History,PennHistory,https://x.com/PennHistory,Candidates,active,
41,Iran candidate,REZA,REZAphotography,https://x.com/REZAphotography,Candidates,active,
42,Iran candidate,Reza Zia-Ebrahimi       رضا ضیاء ابراهیمی,RezaZiaEbrahimi,https://x.com/RezaZiaEbrahimi,Candidates,active,
43,Iran candidate,SAGES is in Tampa in 2026!,SAGES_Updates,https://x.com/SAGES_Updates,Candidates,active,
44,Iran candidate,سلیمان پاک‌سرشت,S_Pakseresht,https://x.com/S_Pakseresht,Candidates,active,
45,Iran candidate,Sabrina Ghayour-Lynn,SabrinaGhayour,https://x.com/SabrinaGhayour,Candidates,active,https://en.wikipedia.org/wiki/Sabrina_Ghayour
46,Iran candidate,,SaeedKD,https://x.com/SaeedKD,Candidates,active,
47,Iran candidate,Darya Safai MP,SafaiDarya,https://x.com/SafaiDarya,Candidates,active,https://en.wikipedia.org/wiki/Darya_Safai
48,Iran candidate,Kianoosh Sanjari,Sanjaribaf,https://x.com/Sanjaribaf,Candidates,active,https://en.wikipedia.org/wiki/Kianush_Sanjari
49,Iran candidate,Dr. Χοδαδαδίος Ρεζαχανίδης,SasanianShah,https://x.com/SasanianShah,Candidates,active,
50,Iran candidate,Joseph S Blatter,SeppBlatter,https://x.com/SeppBlatter,Candidates,active,
51,Iran candidate,FARAH PAHLAVI - فرح پهلوی,ShahbanouFarah,https://x.com/ShahbanouFarah,Candidates,active,
52,Iran candidate,Shaparak Khorsandi شاپرک خرسندی,ShappiKhorsandi,https://x.com/ShappiKhorsandi,Candidates,active,
53,Iran candidate,"Taraneh Javanbakht, PhD, DEA, MSc, MA",T_Javanbakht,https://x.com/T_Javanbakht,Candidates,active,
54,Iran candidate,توانا Tavaana,Tavaana,https://x.com/Tavaana,Candidates,active,
55,Iran candidate,V&A,V_and_A,https://x.com/V_and_A,Candidates,active,
56,Iran candidate,احمد زیدآبادی,Zeidabadi_Ahmad,https://x.com/Zeidabadi_Ahmad,Candidates,active,
57,Iran candidate,عباس عبدی,abb_abdi,https://x.com/abb_abdi,Candidates,active,
58,Iran candidate,Ali Larijani | علی لاریجانی,alilarijani_ir,https://x.com/alilarijani_ir,Candidates,active,
