username,display_name,description,followers_count,following_count,statuses_count,location,profile_image_url,verified,account_status
1500tasvir,פרופיל,,0,0,0,,,False,active
21Sahel,サヘルローズ,"【 Youtube
youtube.com/channel/UCE3h8
…】 【Instagram▶︎
instagram.com/sa_chan_1021/?
…】",80900,367,0,TED出演の際の演説動画,https://pbs.twimg.com/profile_images/1984204698161991680/C63Q8MI9_200x200.jpg,False,active
25BandMusic,25Band,جان من فدای خاک پاک میهنم,1383,16,0,,https://pbs.twimg.com/profile_images/1576268303483473920/_gvhxx-U_200x200.jpg,False,active
2mohammadmosaed,Mohammad Mosaed,"@NationalPressClub
 | محمد مساعد | 2021 Awardee of CPJ PressFreedom, 2020 Awardee of DeutscheWelle Freedom of Speech",54800,2255,0,,https://pbs.twimg.com/profile_images/1254059103032352771/KjfGWDuy_200x200.jpg,False,active
AEK_FC_OFFICIAL,AEK F.C.,"The Official Twitter Page of AEK FC, a Greek professional football club established since 1924 / Η επίσημη σελίδα της ΑΕΚ FC / ΠΑΕ ΑΕΚ στο Twitter",66300,123,0,"Greece, Athens",https://pbs.twimg.com/profile_images/1911377262961709057/Z0wNUbMI_200x200.jpg,False,active
ALDERBYSHOW,الديربي / ALDERBY,personal account,134900,3,0,"The Capital, Kuwait",https://pbs.twimg.com/profile_images/1313048219899834368/F5RF1-eI_200x200.jpg,False,active
A_Jafarzadeh,Alireza Jafarzadeh,"Dep Dir 
@ncrius
; TEDx Speaker; Author, The Iran Threat (Palgrave Macmillan; NY); President, Strategic Policy Consulting; On IG & TRUTH Social 
@A_Jafarzadeh",44600,7475,0,"Washington, DC USA",https://pbs.twimg.com/profile_images/2537133005/A_Jafarzadeh_200x200.jpg,False,active
AbdolhamidNet,شیخ الاسلام مولانا عبدالحمید,مدیر دارالعلوم و امام جمعه اهل سنت زاهدان و رئیس شورای هماهنگی مدارس علوم دینی اهل سنت سیستان و بلوچستان,87800,2,0,iran,https://pbs.twimg.com/profile_images/1596502149168435200/WC1npWBP_200x200.jpg,False,active
AbtahiOmid,Omid Abtahi,Actor. Giggity giggity.,16500,94,0,,https://pbs.twimg.com/profile_images/1104773029308043264/PHXAnGv9_200x200.jpg,False,active
AdilAbdAlMahdi,عادل عبدالمهدي,عادل عبد المهدي- رئيس مجلس الوزراء العراقي الأسبق,688200,0,0,العراق - بغداد,https://pbs.twimg.com/profile_images/1153718440605245446/IgLBFlI5_200x200.jpg,False,active
AfsharMahnaz,פרופיל,,0,0,0,,,False,active
AfshinMolavi,Afshin Molavi,"Senior Fellow, 
@FPI_SAIS
; Founder, Emerging World 
eworld.substack.com Contributing Writer, 
@Forbes
 Tweets/Opinions My Own #EmergingMarkets #Geopolitics",7328,1697,0,Washington DC,https://pbs.twimg.com/profile_images/1405859945/molavi_afshin_200x200.jpg,False,active
Ahmadinejad1956,Mahmoud Ahmadinejad,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian 
t.me/fpahmadinejad",137900,49,0,Tehran,https://pbs.twimg.com/profile_images/838335316935200768/VKJJiFj8_200x200.jpg,False,active
AlBayanSports,البيان الرياضي,«البيان الرياضي».. منصة إخبارية ترصد يوميًا أبرز العناوين والأحداث المحلية والعربية والدولية في مختلف الرياضات.,38300,49,0,"Dubai, United Arab Emirates",https://pbs.twimg.com/profile_images/1984311195969478656/PquAcvIu_200x200.jpg,False,active
AliAzimiMusic,Ali Azimi,youtube.com/@aliazimimusic | aliazimimusic.com,46200,813,0,"London, UK",https://pbs.twimg.com/profile_images/1989752093637255168/So6Qff3a_200x200.jpg,False,active
AlimbayevYerlan,Yerlan Alimbayev,Permanent Representative of Kazakhstan at the UNOG,991,706,0,"Geneva, Switzerland",https://pbs.twimg.com/profile_images/1668497033940926464/z11UvANt_200x200.jpg,False,active
AlinejadMasih,Masih Alinejad,"Iranian Journalist & Activist | President of 
@WLCongress
 | Founder of #WhiteWednesdays, #MyCameraIsMyWeapon, #MyStealthyFreedom Campaigns. | زن زندگی آزادی",753100,2128,0,,https://pbs.twimg.com/profile_images/1561342827790999552/mgJ4c904_200x200.jpg,False,active
Alirezatalischi,Alireza Talischi,فن پیج,905,2,0,iran,https://pbs.twimg.com/profile_images/867850451919753218/BgDovQIv_200x200.jpg,False,active
AmirTaheri4,Amir Taheri,"International columnist and author. Was Executive Editor-in Chief of the daily Kayhan, Iran's main newspaper for seven years. Author of 13 books.",147100,2337,0,"Paris, France",https://pbs.twimg.com/profile_images/2789325560/dd3967f07de21e251495ac8329039097_200x200.jpeg,False,active
AnoushehAnsari,Anousheh Ansari,"Imagine. Be the change. Inspire. I'm Curious George as the science officer aboard starship Enterprise, going where no one has gone before.",41900,424,0,Somewhere in the Universe,https://pbs.twimg.com/profile_images/1163828390/Tony_rescan_3__200x200.jpg,False,active
ArashMarkazi,Arash Markazi,"Founder & CEO: The Sporting Tribune

Host: KIRN 670, The Bet Las Vegas & Hawaii Sports Radio

Prior: ESPN, SI & LA Times

arash.markazi@thesportingtribune.com",122200,2553,0,Los Angeles-Las Vegas-Hawaii,https://pbs.twimg.com/profile_images/1525284632349921281/Akpsupgx_200x200.jpg,False,active
AriyaDaivariWWE,פרופיל,,0,0,0,,,False,active
ArminGhobadi,Armin Ghobadi Pasha,Multimedia Journalist | Filmmaker Former Producer and Host of The Chand Chand show on Iran international TV,22800,724,0,London,https://pbs.twimg.com/profile_images/1330971076361334784/PqAlbYF6_200x200.jpg,False,active
ArzhangDavoodi,arzhang,"ایران هرگز نمی‌میرد
صفحه رسمی ارژنگ داوودی:
معلم، شاعر، نویسنده؛
واضع نظام سیاسی-حقوقی وکیل‌جمهوری و طرح اقتصاد فراگیر",729,3,0,,https://pbs.twimg.com/profile_images/1881054079633481728/ylmG_lsq_200x200.jpg,False,active
AshKoosha,Ash Koosha,"CEO 
@claigrid",3237,742,0,London/SF,https://pbs.twimg.com/profile_images/1834492333041364992/1LW3V1cK_200x200.jpg,False,active
