Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Hadi Ahmadi,https://en.wikipedia.org/wiki/Hadi_Ahmadi,Q131545595,https://www.wikidata.org/wiki/Q131545595,male,actor; film director; writer,Iran,Tehran,1987-08-01T00:00:00Z,,
Einollah Safouri,https://en.wikipedia.org/wiki/Einollah_Safouri,Q136399393,https://www.wikidata.org/wiki/Q136399393,male,,,,,,
Mahlagha Jaberi,https://en.wikipedia.org/wiki/Mahlagha_Jaberi,Q56754162,https://www.wikidata.org/wiki/Q56754162,female,influencer; model,Iran; United States,Isfahan,1989-06-17T00:00:00Z,mahlaghajaberi,https://x.com/mahlaghajaberi
Shahram Lasemi,https://en.wikipedia.org/wiki/Shahram_Lasemi,Q20110983,https://www.wikidata.org/wiki/Q20110983,male,actor,Iran,Tehran,1964-12-17T00:00:00Z,,
Reza Servati,https://en.wikipedia.org/wiki/Reza_Servati,Q65195749,https://www.wikidata.org/wiki/Q65195749,male,stage actor,,,1984-01-03T00:00:00Z,,
Habib Tajmiri,https://en.wikipedia.org/wiki/Habib_Tajmiri,Q131958509,https://www.wikidata.org/wiki/Q131958509,male,,,,,,
Jonathan Ahdout,https://en.wikipedia.org/wiki/Jonathan_Ahdout,Q4808288,https://www.wikidata.org/wiki/Q4808288,male,actor; film actor; photographer; television actor,United States,Santa Monica,1989-03-18T00:00:00Z,,
Tehran Von Ghasri,https://en.wikipedia.org/wiki/Tehran_Von_Ghasri,Q30072605,https://www.wikidata.org/wiki/Q30072605,male,comedian; film actor; television actor,,"Washington, D.C.",,IAmTehran,https://x.com/IAmTehran
Arian Moayed,https://en.wikipedia.org/wiki/Arian_Moayed,Q4790207,https://www.wikidata.org/wiki/Q4790207,male,actor; film director; screenwriter; stage actor; television actor; writer,Iran; United States,Tehran,1980-04-15T00:00:00Z,2023,https://x.com/2023
Zinat Pirzadeh,https://en.wikipedia.org/wiki/Zinat_Pirzadeh,Q3656326,https://www.wikidata.org/wiki/Q3656326,female,actor; writer,Sweden,Sari,1967-02-22T00:00:00Z,,
Nima Taleghani,https://en.wikipedia.org/wiki/Nima_Taleghani,Q121161990,https://www.wikidata.org/wiki/Q121161990,male,actor; playwright,United Kingdom,North London,,,
List of Iranian actresses,https://en.wikipedia.org/wiki/List_of_Iranian_actresses,Q6574429,https://www.wikidata.org/wiki/Q6574429,,,,,,,
Shirin Abedinirad,https://en.wikipedia.org/wiki/Shirin_Abedinirad,Q44070801,https://www.wikidata.org/wiki/Q44070801,female,artist,Iran,Tabriz,1986-01-01T00:00:00Z,,
Roya Afshar,https://en.wikipedia.org/wiki/Roya_Afshar,Q16045418,https://www.wikidata.org/wiki/Q16045418,female,actor,Iran,Abadan,1960-01-01T00:00:00Z,,
Saghar Azizi,https://en.wikipedia.org/wiki/Saghar_Azizi,Q24817894,https://www.wikidata.org/wiki/Q24817894,female,actor,Iran,Shiraz,1977-06-30T00:00:00Z,,
Farnaz Rahnama,https://en.wikipedia.org/wiki/Farnaz_Rahnama,Q16050896,https://www.wikidata.org/wiki/Q16050896,female,actor,Iran,Isfahan,1982-01-01T00:00:00Z,,
Marjaneh Golchin,https://en.wikipedia.org/wiki/Marjaneh_Golchin,Q5938113,https://www.wikidata.org/wiki/Q5938113,female,actor,Iran,Rasht,1969-02-21T00:00:00Z,,
Sahar Goldoost,https://en.wikipedia.org/wiki/Sahar_Goldoost,Q134077433,https://www.wikidata.org/wiki/Q134077433,female,actor,,,1986-10-09T00:00:00Z,,
Rana Gorgani,https://en.wikipedia.org/wiki/Rana_Gorgani,Q105490090,https://www.wikidata.org/wiki/Q105490090,female,dancer,France,,,,
Anahita Khalatbari,https://en.wikipedia.org/wiki/Anahita_Khalatbari,Q16209968,https://www.wikidata.org/wiki/Q16209968,female,actor; journalist; television presenter,United States,Tehran,2000-01-01T00:00:00Z,,
Negin Kianfar,https://en.wikipedia.org/wiki/Negin_Kianfar,Q6987350,https://www.wikidata.org/wiki/Q6987350,female,actor; film director; voice actor,Iran,Tehran,1969-01-01T00:00:00Z,,
Setareh Maleki,https://en.wikipedia.org/wiki/Setareh_Maleki,Q126873958,https://www.wikidata.org/wiki/Q126873958,female,actor,Iran,,1992-10-12T00:00:00Z,,
Fatemeh Masoudifar,https://en.wikipedia.org/wiki/Fatemeh_Masoudifar,Q108760111,https://www.wikidata.org/wiki/Q108760111,female,actor,Iran,Tabriz,1996-01-01T00:00:00Z,,
Ayden Mayeri,https://en.wikipedia.org/wiki/Ayden_Mayeri,Q64438262,https://www.wikidata.org/wiki/Q64438262,female,actor; film producer; screenwriter,United States,Oakland,1990-10-01T00:00:00Z,aydenmayeri,https://x.com/aydenmayeri
Sepideh Moafi,https://en.wikipedia.org/wiki/Sepideh_Moafi,Q66142225,https://www.wikidata.org/wiki/Q66142225,female,actor,Iran; United States,Regensburg,1985-09-18T00:00:00Z,SepidehMoafi,https://x.com/SepidehMoafi
Elham Nami,https://en.wikipedia.org/wiki/Elham_Nami,Q58878015,https://www.wikidata.org/wiki/Q58878015,female,actor,Iran,Mashhad,1986-04-28T00:00:00Z,,
Tarlan Parvaneh,https://en.wikipedia.org/wiki/Tarlan_Parvaneh,Q5949346,https://www.wikidata.org/wiki/Q5949346,female,actor,Iran,Shiraz,1998-07-09T00:00:00Z,,
Mahsa Rostami,https://en.wikipedia.org/wiki/Mahsa_Rostami,Q126874187,https://www.wikidata.org/wiki/Q126874187,female,actor,Iran,,1992-01-01T00:00:00Z,,
Shahrzad Seifi,https://en.wikipedia.org/wiki/Shahrzad_Seifi,Q108600425,https://www.wikidata.org/wiki/Q108600425,female,actor; film actor; film producer,,,1986-01-01T00:00:00Z,,
Minoo Sharifi,https://en.wikipedia.org/wiki/Minoo_Sharifi,Q106652674,https://www.wikidata.org/wiki/Q106652674,female,actor,Iran,Sanandaj,1987-12-12T00:00:00Z,,
Nazli Tabatabai-Khatambakhsh,https://en.wikipedia.org/wiki/Nazli_Tabatabai-Khatambakhsh,Q22279374,https://www.wikidata.org/wiki/Q22279374,female,actor; writer,United Kingdom,Tabriz,1977-02-01T00:00:00Z,Nazli_Tabatabai,https://x.com/Nazli_Tabatabai
Fakhrozzaman Jabbar Vaziri,https://en.wikipedia.org/wiki/Fakhrozzaman_Jabbar_Vaziri,Q5666751,https://www.wikidata.org/wiki/Q5666751,female,actor; film actor,Iran,,1912-01-01T00:00:00Z,,
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari,Q6749430,https://www.wikidata.org/wiki/Q6749430,female,actor; film actor; film director; screenwriter; writer,Iran,Tehran,1974-09-22T00:00:00Z,,
Saman Arastoo,https://en.wikipedia.org/wiki/Saman_Arastoo,Q5906853,https://www.wikidata.org/wiki/Q5906853,trans man,actor; film director; theatrical director,Iran,Shahrud,1967-06-05T00:00:00Z,,
