Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Mahboubeh Abbasgholizadeh,https://en.wikipedia.org/wiki/Mahboubeh_Abbasgholizadeh,Q11766308,https://www.wikidata.org/wiki/Q11766308,female,human rights defender; journalist,Iran,Khorramshahr,1958-01-01T00:00:00Z,,
Ali Abdi (activist),https://en.wikipedia.org/wiki/Ali_Abdi_%28activist%29,,,,,,,,,
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami,Q6734697,https://www.wikidata.org/wiki/Q6734697,female,human rights defender; politician,Iran,Kerman,1941-02-02T00:00:00Z,,
"Haleh Afshar, Baroness Afshar",https://en.wikipedia.org/wiki/Haleh_Afshar%2C_Baroness_Afshar,,,,,,,,,
Mina Ahadi,https://en.wikipedia.org/wiki/Mina_Ahadi,Q113781,https://www.wikidata.org/wiki/Q113781,female,human rights defender; politician; spokesperson; women's rights activist,Austria; Iran,Abhar,1956-01-01T00:00:00Z,,
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari,Q460226,https://www.wikidata.org/wiki/Q460226,female,blogger; human rights defender; journalist,Iran,Tehran,1984-06-10T00:00:00Z,,
Raheleh Ahmadi,https://en.wikipedia.org/wiki/Raheleh_Ahmadi,Q114414695,https://www.wikidata.org/wiki/Q114414695,female,,,,,,
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad,Q6783266,https://www.wikidata.org/wiki/Q6783266,female,blogger; journalist; writer,Iran; United Kingdom; United States,Qomi Kola,1976-09-11T00:00:00Z,masih_alinejad,https://x.com/masih_alinejad
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin,Q15410595,https://www.wikidata.org/wiki/Q15410595,female,human rights defender; journalist,Iran,Iran,1964-01-01T00:00:00Z,news,https://x.com/news
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini,Q21475060,https://www.wikidata.org/wiki/Q21475060,female,poet,Iran; Pahlavi dynasty,Ramsar,1973-09-14T00:00:00Z,,
Shamseddin Amir-Alai,https://en.wikipedia.org/wiki/Shamseddin_Amir-Alai,Q5951080,https://www.wikidata.org/wiki/Q5951080,male,diplomat; politician,Iran,,1900-01-01T00:00:00Z,,
Mahmood Amiry-Moghaddam,https://en.wikipedia.org/wiki/Mahmood_Amiry-Moghaddam,Q4570124,https://www.wikidata.org/wiki/Q4570124,male,human rights defender; neuroscientist; professor of medicine,Iran; Norway,Kerman,1971-04-21T00:00:00Z,,
Parvin Ardalan,https://en.wikipedia.org/wiki/Parvin_Ardalan,Q2622862,https://www.wikidata.org/wiki/Q2622862,female,human rights defender; journalist; sociologist; women's rights activist,Iran,Tehran,1967-01-01T00:00:00Z,,
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari,Q7908627,https://www.wikidata.org/wiki/Q7908627,male,blogger; human rights defender; journalist,Iran,Tehran,1986-04-03T00:00:00Z,iranrights_org,https://x.com/iranrights_org
Emadeddin Baghi,https://en.wikipedia.org/wiki/Emadeddin_Baghi,Q5368789,https://www.wikidata.org/wiki/Q5368789,male,journalist; politician; writer,Iran,Shahreza,1962-04-25T00:00:00Z,,
Maziar Bahari,https://en.wikipedia.org/wiki/Maziar_Bahari,Q1334414,https://www.wikidata.org/wiki/Q1334414,male,film director; human rights defender; journalist,Canada,Tehran,1967-05-25T00:00:00Z,,
Jila Baniyaghoob,https://en.wikipedia.org/wiki/Jila_Baniyaghoob,Q4937441,https://www.wikidata.org/wiki/Q4937441,female,essayist; journalist,Iran,Bandar-e Anzali,1970-08-21T00:00:00Z,jilabani,https://x.com/jilabani
Ahmad Batebi,https://en.wikipedia.org/wiki/Ahmad_Batebi,Q389117,https://www.wikidata.org/wiki/Q389117,male,blogger; journalist; photographer,Iran,Shiraz,1977-07-25T00:00:00Z,,
Mehdi Bazargan,https://en.wikipedia.org/wiki/Mehdi_Bazargan,Q382369,https://www.wikidata.org/wiki/Q382369,male,engineer; politician; scholar,Iran,Tehran,1907-09-01T00:00:00Z,,
Pantea Beigi,https://en.wikipedia.org/wiki/Pantea_Beigi,Q7131670,https://www.wikidata.org/wiki/Q7131670,female,human rights defender,Iran,,,,
Hossein Kazemeyni Boroujerdi,https://en.wikipedia.org/wiki/Hossein_Kazemeyni_Boroujerdi,Q350337,https://www.wikidata.org/wiki/Q350337,male,akhoond; theologian,Iran,Qom,1958-08-02T00:00:00Z,,
Adib Boroumand,https://en.wikipedia.org/wiki/Adib_Boroumand,Q4682669,https://www.wikidata.org/wiki/Q4682669,male,lawyer; literary scholar; poet; politician,Iran,Gaz,1924-06-11T00:00:00Z,,
Habib Chaab,https://en.wikipedia.org/wiki/Habib_Chaab,Q104417520,https://www.wikidata.org/wiki/Q104417520,male,banker; civil servant,Iran; Sweden,Eyleh-ye Yek,1973-07-01T00:00:00Z,habibalkaabi1,https://x.com/habibalkaabi1
Mohammad Ali Dadkhah,https://en.wikipedia.org/wiki/Mohammad_Ali_Dadkhah,Q6891762,https://www.wikidata.org/wiki/Q6891762,male,lawyer,Iran,Isfahan,,,
Mohammad Davari,https://en.wikipedia.org/wiki/Mohammad_Davari,Q5954067,https://www.wikidata.org/wiki/Q5954067,male,essayist; human rights defender; journalist,Iran,Bojnord,1974-01-01T00:00:00Z,,
Arzhang Davoodi,https://en.wikipedia.org/wiki/Arzhang_Davoodi,Q5960414,https://www.wikidata.org/wiki/Q5960414,male,politician,Iran,Abadan,1952-01-01T00:00:00Z,ArzhangDavoodi,https://x.com/ArzhangDavoodi
Hossein Derakhshan,https://en.wikipedia.org/wiki/Hossein_Derakhshan,Q1362305,https://www.wikidata.org/wiki/Q1362305,male,blogger; journalist,Canada; Iran,Iran,1975-01-07T00:00:00Z,h0d3r,https://x.com/h0d3r
Hootan Dolati,https://en.wikipedia.org/wiki/Hootan_Dolati,Q27789846,https://www.wikidata.org/wiki/Q27789846,male,politician,Iran,Tehran,1977-02-05T00:00:00Z,,
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152,female,human rights defender; judge; jurist; lawyer; peace activist; politician; women's rights activist; writer,Iran,Hamadan,1947-06-21T00:00:00Z,,
Gohar Eshghi,https://en.wikipedia.org/wiki/Gohar_Eshghi,Q12240017,https://www.wikidata.org/wiki/Q12240017,female,homemaker,Iran; Pahlavi Iran,,1946-01-01T00:00:00Z,,
Amir Abbas Fakhravar,https://en.wikipedia.org/wiki/Amir_Abbas_Fakhravar,Q4746499,https://www.wikidata.org/wiki/Q4746499,male,writer,Iran,Tehran,1975-07-06T00:00:00Z,,
Mahdi Falahati,https://en.wikipedia.org/wiki/Mahdi_Falahati,Q31067595,https://www.wikidata.org/wiki/Q31067595,male,poet; translator,,Iran,1958-01-01T00:00:00Z,,
Atena Farghadani,https://en.wikipedia.org/wiki/Atena_Farghadani,Q19960495,https://www.wikidata.org/wiki/Q19960495,female,caricaturist; cartoonist; human rights defender; painter,Iran,Tehran,1987-01-29T00:00:00Z,,
Farhad Mehrad,https://en.wikipedia.org/wiki/Farhad_Mehrad,Q3066855,https://www.wikidata.org/wiki/Q3066855,male,guitarist; pianist; singer; songwriter,Iran,Tehran,1944-01-19T00:00:00Z,,
Maryam Farman Farmaian,https://en.wikipedia.org/wiki/Maryam_Farman_Farmaian,Q6781074,https://www.wikidata.org/wiki/Q6781074,female,activist; politician,Iran,Kermanshah,1913-01-01T00:00:00Z,,
Fereydoun Farrokhzad,https://en.wikipedia.org/wiki/Fereydoun_Farrokhzad,Q178963,https://www.wikidata.org/wiki/Q178963,male,actor; composer; poet; presenter; singer; songwriter,Iran,Tehran,1936-10-07T00:00:00Z,,
Kiana Firouz,https://en.wikipedia.org/wiki/Kiana_Firouz,Q1740761,https://www.wikidata.org/wiki/Q1740761,female,LGBTQ rights activist; film actor,Iran,,1983-04-21T00:00:00Z,,
Parvaneh Forouhar,https://en.wikipedia.org/wiki/Parvaneh_Forouhar,Q7141259,https://www.wikidata.org/wiki/Q7141259,female,activist; teacher; writer,Iran,Tehran,1938-03-14T00:00:00Z,,
Akbar Ganji,https://en.wikipedia.org/wiki/Akbar_Ganji,Q416794,https://www.wikidata.org/wiki/Q416794,male,essayist; journalist; writer,Iran,Qazvin,1960-01-31T00:00:00Z,,
Hadi Ghabel,https://en.wikipedia.org/wiki/Hadi_Ghabel,Q5637825,https://www.wikidata.org/wiki/Q5637825,male,politician,Iran,Torbat-e Jam,,,
Siamak Ghaderi,https://en.wikipedia.org/wiki/Siamak_Ghaderi,Q5709257,https://www.wikidata.org/wiki/Q5709257,male,human rights defender; journalist,Iran,Iran,1967-01-01T00:00:00Z,,
Abdul Rahman Ghassemlou,https://en.wikipedia.org/wiki/Abdul_Rahman_Ghassemlou,Q317403,https://www.wikidata.org/wiki/Q317403,male,academic; politician,Iran,Urmia,1930-12-22T00:00:00Z,,
Ghoncheh Ghavami,https://en.wikipedia.org/wiki/Ghoncheh_Ghavami,Q18249211,https://www.wikidata.org/wiki/Q18249211,female,volleyball player,Iran,London,1989-01-01T00:00:00Z,,
