username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url
28minutes,28 minutes,"#28min est le rendez-vous quotidien d'actualité sur  @ARTEfr , du lundi au samedi dès 20h05. Retrouvez-nous aussi sur Facebook, Youtube et Instagram  !",,2495,28.0,False,December 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2_ncqr,Cotton Headed Ninny Muggins,,102.0,1586,287.0,False,March 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2_rebelgirl,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,1399.0,1004,9779.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2bender,Bender,ما باید در تهران و در اصفهان و در یزد و در مشهد مصروف زدن روافض باشیم. سخت لذتبخش خواهد بود.,3313.0,667,,False,February 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2dopequeens,2 Dope Queens Podcast,Podcast hosted by Phoebe Robinson  @dopequeenpheebs  & Jessica Williams  @msjwilly  from  @WNYCStudios . New episodes every Tuesday.,,1094,2510.0,False,December 2013,"Brooklyn, NY",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2internetghosts,ketaminion,vocalista do two internet ghosts / qqr pronome / ig:  @pdrmuriel  /  @twointernetghosts,6853.0,3767,,False,April 2021,São Paulo,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2rr0i_,🌟,#Shabab Al Ahli Dubai fc - insta - w5pll Tik - 2.rr0i - ( وَاذْكُر رِبِّكَ إِذَا نَسِيتَ ),4.0,37,25.0,False,April 2025,"Dubai, United Arab Emirates",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2x0x2x4,KolKa,جمهوری اسلامی در دریای خونی که به راه انداخته، غرق خواهد شد...  #زن_زندگی_آزادی #مهسا_امینی,133.0,95,987.0,False,December 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
30for30,30 for 30,"Check out the ENTIRE 30 for 30 collection on  @ESPNPlus , a part of The Disney Bundle.",,1399,30.0,False,June 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
30nahejazi,Sina Hejazi,Iranian singer,4400.0,16,297.0,False,April 2013,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
319u9xc85rz97,KatherineRalph,,67.0,7339,0.0,False,March 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
31siye6,しろ,,25.0,45,4406.0,False,October 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
32kennocha,Isis,Every moment is a fresh beginning.,345.0,472,458.0,False,June 2013,"Buffalo, NY.",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
3303losangelesr,3303losangelesr,.....,7.0,917,3249.0,False,January 2024,"Sanfrancisco , Texas",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
34gwr77liku4hw8,احمد رمزي,,18.0,450,4.0,False,June 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
35anj,نشريه سه‌پنج,از روی نعش جمهوری اسلامی رد می‌شویم #همکاری_ملی,,0,2021.0,False,February 2013,35anj,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
35pmrc4xezu0tvd,Максат,,0.0,4,6.0,False,July 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
3ccmke,Third Coast Cinema,,1.0,154,0.0,False,September 2025,"Milwaukee, WI",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
3pm_est,R,,1.0,85,0.0,False,December 2025,"New York, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
3tareee,سه تا رِ,من بد دهن‌تر از چیزی‌ام که از توئیتام به نظر میرسه ولی حالا باز خود دانی!,1206.0,212,,False,May 2016,شهری عاری از مونوگامی,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
404arsynotfound,Arsy,Living proof that sleep is optional.,8.0,72,35.0,False,June 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
424xh,Muchacho,“in-betweenness is a fundamental condition of our times.” ==BUILDING mode==,154.0,2398,,False,January 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
42potatoesss,Ishita Dasgupta,,1.0,77,0.0,False,October 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4bteen,Abtinn,,17.0,391,12.0,False,May 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4freedom4iran,Freedom,,18.0,214,682.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4genderjustice,Women's Initiatives for Gender Justice,"We advance gender justice and advocate for accountability. Women’s Initiatives for Gender Justice has left X. Stay updated via LinkedIn, Bluesky + Mailing List.",5771.0,1516,8749.0,False,December 2011,"The Hague, The Netherlands",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4ltgmlpx61671,Payton Brown 4LtgmLpx,,3.0,195,0.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4m2dvxbg7uptwhz,.,,104.0,383,8.0,False,September 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4sylvestermccoy,Sylvester McCoy,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,,121,4831.0,False,August 2012,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4viewers,4Viewers,Your source of info for all things  @Channel4  (and sister channels). Want to know more? Click our website link below.,,1330,4.0,False,July 2009,UK,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4xasw2m9126jd,VernaAckermann,,47.0,2056,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
4zk79e91ywvxni2,Мадина,Халық ушін болашақ үшін аянбай еңбек етем!,11.0,118,18.0,False,March 2019,Kazakhstan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
500womensci,500 Women Scientists,"We aim to serve society by making science open, inclusive, and accessible. Also  @500womensci  on Instagram and Facebook.",,1832,500.0,False,November 2016,"Washington, DC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
50uses,50 Uses For The Word Love Podcast,Comedian  @StephenTrumble  invites guests to chat about the varied multitudes of human feeling that in English all fall under the one umbrella term; Love.,489.0,2753,396.0,False,January 2019,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
54hz_whale,54hzwhale,Gamification Enthusiast Crypto Enthusiast,59.0,1363,55.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
5ogand,Sogand,Artist,,71,1709.0,False,January 2013,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
5thprisoner,زندانی پنجم,پیش ما بیا خوش میگذره,6351.0,265,,False,July 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
5x2i530x3rcidcw,GailNewton,,123.0,3449,0.0,False,October 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
5y6aahcdftzn4me,پرنسس,دلخوشی ها کم‌نیست، دیده ها، نابیناست..‌.,26.0,10,125.0,False,December 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
61pari93357,wind carry us?,خانه دار بی ادعا,48.0,681,308.0,False,October 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
677krzych,Wojtek,,146.0,807,9241.0,False,June 2019,"Warszawa, Polska",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
67888892jkssl,cookmysock99,,82.0,148,4215.0,False,January 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
6shahriar68408,60 shahriar,,0.0,6,0.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
72nargessalehi,narges salehi,,0.0,3,1.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
730no,730.no,730.no ble startet i 2008 og er Norges største frittstående nettsted og plattform for popkultur - og mer  Sjekk ut forsiden:  730.no,,962,730.0,False,August 2008,"Oslo, Norway",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
77abolfazlhz,Abolfazl_,آخرش قشنگه..!  telegram.me/BiChatBot?star …,486.0,958,1114.0,False,August 2021,طهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
77o7h,حسين,,0.0,28,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7_ndala,معتز بالله الجنوبي,,15.0,92,17.0,False,November 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7continentnewss,کمونیست کُش👺,The fastest and most accurate news of the day in the worldخدا آزادی خوانواده میهن -حق مالکیت فردی,74.0,778,1654.0,False,June 2022,United States,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7farzin7711830,7farzin7 7shabani7,,0.0,4,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7khaiiam,خیام,کنده از مرز زمان,341.0,31,,False,May 2014,52 hertz,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7usiy,7,,347.0,25,66.0,False,December 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
80403b7197f4437,@Kaveh_Mesgarian,,65.0,290,526.0,False,December 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
88sparber,Daniel Sparber,"1050 Wien, Jg 1988, sozial",2.0,343,3.0,False,November 2023,"Wien, Österreich",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
8mathieu8,Trees,My retweets are not endorsements. No DMs,1267.0,7195,6775.0,False,October 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
8nilsjxeqhj1v,DaisyJennings,,36.0,1285,0.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
9122432itw,Amara,"Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.",304.0,396,3321.0,False,October 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
965bita37920,Bita 965,,0.0,1,0.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
999qol9196,あああ,,486.0,7500,2124.0,False,March 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
99piorg,99 Percent Invisible,A radio show about design with host  @romanmars . Also find us on Bluesky!  bsky.app/profile/99pi.o …,,21,2859.0,False,September 2015,"Oakland, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
9rcl7at9wzomubs,Мақсат Асылбеков,,12.0,65,6.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
9tantiope,9T Antiope,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,550.0,202,927.0,False,December 2015,Tehran / Paris,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_____zhang____,Mr. Zhang Wei / credit manager SINOPAC BANK,= 永豐銀行 Bank SinoPac 士東分行 bank.sinopac.com/sinopacBT/en/i …  永丰金控有限公司 惠誉评级中的实体。全球资本市场的信用评级、研究和分析。SinoPac FinancialHoldings Limited,5.0,208,2.0,False,May 2025,hong kong,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
___cfilm,🎞️,,0.0,424,4.0,False,March 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
___mohsen_,آندره ی بالکونسکی,,284.0,483,1363.0,False,April 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
___tw1tt3r___,tw1tt3r,,18.0,558,494.0,False,April 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__aespect,aespect's evil twin ⋆˚꩜｡𝜗ৎ,@_aespect 's evil twin,3.0,40,26.0,False,November 2025,EVIL aespect city,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__dokhtarak,Emily,,13.0,184,75.0,False,August 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__mareux__,mareux,linktr.ee/mareux,4384.0,131,508.0,False,January 2020,"Los Angeles, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__mehmetaslan__,mehmet__aslan,,2.0,5,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__rumi22_,rumi,,13.0,491,134.0,False,November 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
__shim__shim,Sh!m@,,5769.0,523,,False,September 2017,NY,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_advanceuk,Advance UK,"Striving for a proud, independent and prosperous United Kingdom. We stand for nation, freedom, democracy and equality under the law.  Led by  @benhabib6",1.0,362,1638.0,False,June 2025,http://www.advanceuk.org.uk,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_aespect,ٍ,THIS IS FOR SEEING TWICE FEB. 18 2026  backup:  @__aespect 19 || MLM || he/him ||  Follow to become an aengel,430.0,1802,5989.0,False,December 2024,aespect city,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_agentfootball,Agent Football,OFFICIAL FOOTBALL AGENTS - CORPORATE NETWORK LTD,3.0,75,3.0,False,September 2022,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_aj_johnstone,Al Johnstone (AJ),Documentary filmmaker - shooting producer/director |  @BAFTA  Connect |  @NFTSFilmTV,674.0,2787,1440.0,False,June 2012,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_alevgundogan_,Alev Gündoğan,,0.0,4,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,770.0,890,4161.0,False,December 2018,کهکشان راه شیری ، دست چپ,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_aliemili_,Ali Emili,کد می‌نویسم، گیتار الکتریک میزنم، دو خط کتاب می‌خونم و فیلم و سریال می‌بینم، یه ورزشی‌ام می‌کنم و اینا، انگلیسی و آلمانی می‌خونم، اسم اینارو فعلا گذاشتم هویت.,9.0,132,87.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_alignments,Alignments,"@__Think_ ,",15.0,13,2.0,False,June 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_alonso11,Alonso Martínez,Jugador de New York city,7990.0,102,77.0,False,August 2016,"Puntarenas, Costa Rica",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_amiir_75,amiir,just be real,140.0,1333,1337.0,False,July 2024,istanbull,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_angry_n___,i N !,تا اطلاع ثانوی فقط #زن_زندگی_آزادی,149.0,160,4797.0,False,October 2015,!,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_articlle_,お父さん,はむさんはこちら  @hamuppi_,8556.0,803,780.0,False,August 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_atefehshams_,عاطفه شمس,روزنامه‌نگار,4.0,50,0.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_atscale,ATscale,Global partnership aiming to reach 500 million people in LMICs with the life-changing AT they need by 2030. ATscale is hosted by  @UNOPS,2202.0,1211,2496.0,False,July 2018,Geneva,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_bonos_,🌟,,40.0,7500,,False,November 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_carneosso,♡ *ೃ°༄ 𝓢𝓪𝓫𝓻𝓲𝓷𝓪 𝓢𝓾𝓻𝓽𝓸 ¸.•°*°⋆.ೃ࿔*,"/ perto do osso a carne é mais gostosa / ˚ ༘✶ videomaker, mama snake na  @MAMBANEGRAHHHH  y kweeng em  @TETOPRETOOO",1806.0,425,2277.0,False,April 2009,"São Paulo, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_celestraa,Gem - Komaeda Brain rot ✌🏻️,Just a weenus,98.0,667,1998.0,False,December 2012,Melbourne,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_danielsantini,Daniel Santini,coordenador  @frosaluxemburgo  | doutorando/PhD Student em Planejamento Urbano e Regional  @usponline  | Mestre em Ciências/M.Sc.  @FAUUSPoficial  | jornalista,1768.0,1888,3079.0,False,January 2017,"São Paulo, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_dinken_,Ajmal Hussain A,It’s okay to get run over by a bus than never cross the road. I’m at least getting somewhere. Views and Opinions expressed are personal.,379.0,529,961.0,False,November 2012,"Kollam, India",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_ellrose,ell,,5833.0,225,,False,May 2013,"Manchester, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_fatemeramezani,فاطم‌ه,,9.0,24,540.0,False,March 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_freeeagle_,Free eagle,سجل انا عربي,138.0,213,2333.0,False,August 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
