Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Prosecution of Hamid Ghareh-Hassanlou,https://en.wikipedia.org/wiki/Prosecution_of_Hamid_Ghareh-Hassanlou,Q116158635,https://www.wikidata.org/wiki/Q116158635,male,physician,Iran,,1969-01-01T00:00:00Z
Golchin Gilani,https://en.wikipedia.org/wiki/Golchin_Gilani,Q5956165,https://www.wikidata.org/wiki/Q5956165,male,physician; poet,Pahlavi dynasty; Qajar Iran,Rasht,1910-01-01T00:00:00Z
Hakim Ghulam Imam,https://en.wikipedia.org/wiki/Hakim_Ghulam_Imam,Q5640470,https://www.wikidata.org/wiki/Q5640470,male,physician; scientist,Iran,,
Reza Malekzadeh,https://en.wikipedia.org/wiki/Reza_Malekzadeh,Q7319758,https://www.wikidata.org/wiki/Q7319758,male,academic; inventor; physician; politician; researcher,Iran,Valashahr,1952-01-16T00:00:00Z
Mehdi Younesi Rostami,https://en.wikipedia.org/wiki/Mehdi_Younesi_Rostami,Q131342091,https://www.wikidata.org/wiki/Q131342091,male,physician; politician,,Rostamkola,1962-01-01T00:00:00Z
Avideh Nazeri,https://en.wikipedia.org/wiki/Avideh_Nazeri,Q52637850,https://www.wikidata.org/wiki/Q52637850,female,endocrinologist,,,
Parastoo Bakhshi,https://en.wikipedia.org/wiki/Parastoo_Bakhshi,Q133566122,https://www.wikidata.org/wiki/Q133566122,female,cardiac surgeon; cardiologist; physician,Iran,Tehran,1989-05-20T00:00:00Z
Shirin Rouhanirad,https://en.wikipedia.org/wiki/Shirin_Rouhanirad,Q97209591,https://www.wikidata.org/wiki/Q97209591,female,physician,,,
Zahra Sheikhi,https://en.wikipedia.org/wiki/Zahra_Sheikhi,Q86797324,https://www.wikidata.org/wiki/Q86797324,female,politician,Iran,,1979-01-01T00:00:00Z
Karim Vessal,https://en.wikipedia.org/wiki/Karim_Vessal,Q17071243,https://www.wikidata.org/wiki/Q17071243,male,scientist,Iran,,1933-01-01T00:00:00Z
Abu al-Qasim al-Habib Neishapuri,https://en.wikipedia.org/wiki/Abu_al-Qasim_al-Habib_Neishapuri,Q6576597,https://www.wikidata.org/wiki/Q6576597,male,physician; scientist,Iran,,
Ahmad ibn 'Imad al-Din,https://en.wikipedia.org/wiki/Ahmad_ibn_%27Imad_al-Din,,,,,,,
Ibn Abi Sadiq,https://en.wikipedia.org/wiki/Ibn_Abi_Sadiq,Q4116689,https://www.wikidata.org/wiki/Q4116689,male,physician; psychologist,Iran,Nishapur,0995-01-01T00:00:00Z
Abbas Adham,https://en.wikipedia.org/wiki/Abbas_Adham,Q14847737,https://www.wikidata.org/wiki/Q14847737,male,philanthropist; physician; politician,Iran,Tabriz,1885-01-01T00:00:00Z
Yahya Adl,https://en.wikipedia.org/wiki/Yahya_Adl,Q6390194,https://www.wikidata.org/wiki/Q6390194,male,surgeon,Iran,Tabriz,1908-01-01T00:00:00Z
Abass Alavi,https://en.wikipedia.org/wiki/Abass_Alavi,Q4663555,https://www.wikidata.org/wiki/Q4663555,male,academic; physician,Iran,Tabriz,1938-01-01T00:00:00Z
William Cormick,https://en.wikipedia.org/wiki/William_Cormick,Q26243169,https://www.wikidata.org/wiki/Q26243169,male,physician,,,1822-01-01T00:00:00Z
Javad Heyat,https://en.wikipedia.org/wiki/Javad_Heyat,Q6414522,https://www.wikidata.org/wiki/Q6414522,male,journalist; physician; surgeon; writer,Iran,Tabriz,1925-05-24T00:00:00Z
Maqsud-Ali Tabrizi,https://en.wikipedia.org/wiki/Maqsud-Ali_Tabrizi,Q16866713,https://www.wikidata.org/wiki/Q16866713,male,scientist,,Tabriz,1501-01-01T00:00:00Z
Hamid Ahmadieh,https://en.wikipedia.org/wiki/Hamid_Ahmadieh,Q5644558,https://www.wikidata.org/wiki/Q5644558,male,ophthalmologist,Iran,Tehran,1953-01-01T00:00:00Z
Abbas Ardehali,https://en.wikipedia.org/wiki/Abbas_Ardehali,Q30315184,https://www.wikidata.org/wiki/Q30315184,male,cardiac surgeon; internist; physician; surgeon; transplant surgeon; university teacher,,Tehran,1959-01-01T00:00:00Z
Abdol Karim Ayadi,https://en.wikipedia.org/wiki/Abdol_Karim_Ayadi,Q5958830,https://www.wikidata.org/wiki/Q5958830,male,physician; politician,Iran,Tehran,1907-01-01T00:00:00Z
Pejman Azarmina,https://en.wikipedia.org/wiki/Pejman_Azarmina,Q7161002,https://www.wikidata.org/wiki/Q7161002,male,physician; writer,Iran,Tehran,1973-03-27T00:00:00Z
Kamran Bagheri Lankarani,https://en.wikipedia.org/wiki/Kamran_Bagheri_Lankarani,Q6359580,https://www.wikidata.org/wiki/Q6359580,male,physician; politician; researcher,Iran,Tehran,1965-01-01T00:00:00Z
