Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Asadollah Abbasi,https://en.wikipedia.org/wiki/Asadollah_Abbasi,Q14923234,https://www.wikidata.org/wiki/Q14923234,male,politician,Iran,Halu Kaleh,1961-01-01T00:00:00Z
Mohammad Abbasi,https://en.wikipedia.org/wiki/Mohammad_Abbasi,Q6891663,https://www.wikidata.org/wiki/Q6891663,male,civil servant,Iran,Gorgan County,1958-02-28T00:00:00Z
Ali Abdolalizadeh,https://en.wikipedia.org/wiki/Ali_Abdolalizadeh,Q5952559,https://www.wikidata.org/wiki/Q5952559,male,diplomat; politician,Iran,Urmia,1954-01-01T00:00:00Z
Hojjatollah Abdolmaleki,https://en.wikipedia.org/wiki/Hojjatollah_Abdolmaleki,Q108394879,https://www.wikidata.org/wiki/Q108394879,male,politician,,,1981-04-25T00:00:00Z
Abbas Adham,https://en.wikipedia.org/wiki/Abbas_Adham,Q14847737,https://www.wikidata.org/wiki/Q14847737,male,philanthropist; physician; politician,Iran,Tabriz,1885-01-01T00:00:00Z
Mostafa Adl,https://en.wikipedia.org/wiki/Mostafa_Adl,Q6401211,https://www.wikidata.org/wiki/Q6401211,male,diplomat; lawyer; politician; writer,Iran,Tabriz,1882-01-01T00:00:00Z
Soltan-Ali Vazir-e Afkham,https://en.wikipedia.org/wiki/Soltan-Ali_Vazir-e_Afkham,Q6400374,https://www.wikidata.org/wiki/Q6400374,male,politician,Iran,Tehran,1862-12-13T00:00:00Z
Majid Ahi,https://en.wikipedia.org/wiki/Majid_Ahi,Q5796233,https://www.wikidata.org/wiki/Q5796233,male,diplomat; politician,Iran,Tehran,1886-01-01T00:00:00Z
Mahmoud Ahmadzadeh,https://en.wikipedia.org/wiki/Mahmoud_Ahmadzadeh,Q30318841,https://www.wikidata.org/wiki/Q30318841,male,politician,Iran,Herat,1933-01-01T00:00:00Z
Abbas Ahmad Akhoundi,https://en.wikipedia.org/wiki/Abbas_Ahmad_Akhoundi,Q5908618,https://www.wikidata.org/wiki/Q5908618,male,economist; engineer; politician,Iran,Najaf,1957-06-06T00:00:00Z
Yahya Ale Eshaq,https://en.wikipedia.org/wiki/Yahya_Ale_Eshaq,Q5951158,https://www.wikidata.org/wiki/Q5951158,male,businessperson; economist; entrepreneur; politician,Iran,Qom,1949-06-06T00:00:00Z
Ibrahim Alemi,https://en.wikipedia.org/wiki/Ibrahim_Alemi,Q111913248,https://www.wikidata.org/wiki/Q111913248,male,,,,
