Topic,Count,Name,Representation,Representative_Docs
-1,141,-1_chudai_newprofilepic_chugga_support_of_business_and_works,"['chudai', 'newprofilepic', 'chugga', 'support_of_business_and_works', 'support_of_business_and_work', 'ciao', 'bella', 'choo', 'estalakhkooh_roudbar_guilan', '4yearsago']","[""If you still don't understand that this is a human project, it means you haven't known the regime yet! The project of reconciling football players and celebrities with people! Khamenei killed tens of thousands of people Do you want to make a story about Khamenei and the IRGC? Javidshah"", ""Contrary to Mr. Abdi's opinion, I believe that the government should decide and act based on national interest and interests, just like the previous government. Of course, the leadership's opinion is very important and should be taken into account as much as possible, but it is not the government's national responsibility. However, cursing is part of executive work. You should not be afraid of it and become passive."", 'Leader of the Revolution: ""America should know that if it starts a war, this time it will be a regional war."" A few points about today\'s important point of leadership; 1. Despite the denial of Saudi Arabia\'s half-paragraph, which called ""the issue of asking America to attack Iran"" as incorrect, Tehran considers that news to be true and warns that in']"
0,3297,0_iran_the_of_and,"['iran', 'the', 'of', 'and', 'to', 'in', 'is', 'iranian', 'with', 'that']","[""That's the whole story. Negotiations with America will not help to solve the country's problems. Negotiations Iran America"", ""The situation in America, (link to the doshish) If they return to the nuclear agreement, Iran is the winner. If they do not return to the nuclear agreement, the Iranian bomb is ready. I mean, in both cases; Iran will win. The reason for America's loss...in its dealings with Iran...is (corruption) Which gnaws at Washington politicians."", 'Israel\'s concern in any possible agreement between Iran and America is no longer ""nuclear""; They know that aspect of Iran\'s nuclear program, which is dangerous for Israel, will not be established until ""at least the next 2 years""; The regime\'s current focus is only on Iran\'s ""missile"" power; Because in the 12-day war']"
1,1513,1_god_abdolhamid_peace_upon,"['god', 'abdolhamid', 'peace', 'upon', 'his', 'him', 'net', 'friday', 'hamid', 'and']","['His Eminence Sheikh Abdul Hamid in the Friday sermon in Zahedan: You disappointed the Iranian people in the elections abdolhamid.net/arabic/2023/05 …', 'Shaikh ul Islam Mawlana Abdol Hamid: The People’s Support Empowers Any Government abdolhamid.net/english/2024/0 …', 'Mawlana Abdul Hamid’s Speech in Abgah and Kuchink abdolhamid.net/english/2024/1 …']"
2,738,2_munich_in_iranians_the,"['munich', 'in', 'iranians', 'the', 'of', 'people', 'rally', 'berlin', '000', 'conference']","['It is safe to use the words ""unprecedented"" to describe the Munich saga. The largest gathering of Iranians in Germany until now was in Berlin in 1401, where it was said that up to 80,000 people participated. Now, according to the Bavarian State Police, 250,000 people attended the Munich rally', 'Video Rally in Munich: Iranian Resistance Calls for Democratic Republic at Munich Security Conference: No to Shah, No to Mullahs No2ShahNo2Mullahs NCRIAlternative MSC2026', 'Rally in Munich: Iranian Resistance Calls for Democratic Republic at Munich Security Conference: No to Shah, No to Mullahs No2ShahNo2Mullahs NCRIAlternative MSC2026']"
3,999,3_the_government_of_tomans,"['the', 'government', 'of', 'tomans', 'and', 'in', 'to', 'is', 'price', 'that']","['The price of each American dollar has reached about 40 thousand tomans...', 'Dollars above 40 thousand tomans should not be analyzed with the inflation rate of 48% and the current currency balance. The currency market is showing the future prospects of the economy.', 'The government gave 11 billion dollars in preferred currency The preferred currency was increased from 28.5 tomans to 130 tomans, and the additional resources resulting from this work are 1116 hemats. On the other hand, it gives 1 million per month to 90 million Iranians, which is 1080 per year It means that he is distributing the same money to everyone Good work should be encouraged']"
4,731,4_pahlavi_reza_shah_the,"['pahlavi', 'reza', 'shah', 'the', 'of', 'and', 'to', 'is', 'he', 'prince']","['Senator Lindsay Graham announced at the Munich conference that he does not support Reza Pahlavi. Christian Amanpour: And I know that Reza Pahlavi is sitting in the audience, but I want to ask you; I ask you: do you support Reza Pahlavi? Are you ready to say that he is the one?', ""Shah Reza Pahlavi's speech in Munich"", 'Say two words for Reza Pahlavi.']"
5,667,5_team_football_the_in,"['team', 'football', 'the', 'in', 'game', 'of', 'match', 'and', 'league', 'to']","['Urgent | Real Madrid to the Champions League playoff.', 'Probably the bottom of this new circus of corruption in Persian football is that all the teams of the premier league, league one and two, the Ramadan Cup, etc., give and take, and their managers and agents will go to jail, and the only clean team and manager of Iranian football is Persepolis and Pirowani, and they will give them a trophy that was lost from them! :))))', 'Time national team.']"
6,838,6_al_truth_told_the,"['al', 'truth', 'told', 'the', 'iraq', 'utv', 'ninth', 'of', 'syria', 'and']","['Sudanese flirts with ""Iraqi democracy"" Truth _ be _ told, the ninth UTV', '""Rebuke Al-Maliki""... Will Trump back down? Truth _ be _ told, the ninth UTV', 'Iran ""counterfeits"" Iraq\'s oil...and drags SOMO towards sanctions Truth _ be _ told, the ninth UTV']"
7,748,7_com_song_music_album,"['com', 'song', 'music', 'album', 'new', 'of', 'happy', 'the', 'and', 'this']","['Rainy day music. purpletapepedigree.bandcamp.com/album/placebo', '5. Melmedas [Morning + Taramon] Composer: Nima Aghiani Taramon\'s song/poetry: Sarah Bigdley Shamlow Publication date: April 8, 1400 Publisher: Lozi Pre-order ""Badban"" collection and more information: low-zi.com and lowzirecords.bandcamp.com/album/b-db-n', '3. Korab [Safir + Taramon] Composer: Nima Aghiani Taramon\'s song/poetry: Sarah Bigdley Shamlow Publication date: April 8, 1400 Publisher: Lozi Pre-order ""Badban"" collection and more information: low-zi.com and lowzirecords.bandcamp.com/album/b-db-n']"
8,1897,8_you_my_life_and,"['you', 'my', 'life', 'and', 'that', 'to', 'is', 'it', 'the', 'of']","[""It is much nicer to make everything with one person than to think about ten people every day. Don't ruin your life like this."", ""What if I stay single for the rest of my life!!!? I don't want to be a good boy anymore!"", ""I miss life after life For that cylinder/tunnel/hallway that is full of God's light and love... I miss God I want freedom That I will not witness any more pain and suffering Not for myself Not for others Mr We miss the miracle To see God's love for his servants""]"
9,531,9_gaza_israel_the_of,"['gaza', 'israel', 'the', 'of', 'israeli', 'in', 'palestinian', 'and', 'to', 'palestine']","['Gaza will be free', 'Madleen, which was on its way to help Gaza, was seized by the Zionist regime. We ask international organizations: Why are human rights violators immune? Why does the illegal siege of Gaza continue? Gaza gaza Palestine GazeGenocide', 'Israel used weapons in Gaza that made thousands of Palestinians evaporate | Israel-Palestine conflict | Al Jazeera']"
10,932,10_old_was_killed_his,"['old', 'was', 'killed', 'his', 'years', 'in', 'of', 'and', 'the', 'he']","['Ghazaleh Bahadran, 29 years old, was arrested in Bagh Bahadran and transferred to Zarinshahr According to reports received, Ghazaleh_Bahadran, 29 years old, was arrested by the security forces on January 18 or 19 in Bagh Bahadran area of Isfahan province. After his arrest, he was transferred to Zarinshahr city and in the center', 'He told his mother that he wore two jackets so that if he was shot, he would only be wounded; But on 18th of December in Tehran, he was killed by a shot in the head. He was only 17 years old Parsa_Madanchian IranMassacre', 'lifeless body Images received with description: Javad_Jalilund was 45 years old and was killed in Mehrshahr Karaj. He has a 6-year-old son and a 6-month-old daughter (in the video). Iran']"
11,665,11_night_good_morning_it,"['night', 'good', 'morning', 'it', 'you', 'my', 'to', 'and', 'is', 'the']","['Sometimes the night is so long that you think there will be no morning...', 'Good morning beautiful', 'The next night I want to wake up early in the morning, I drink 4-5 glasses of water before going to sleep, so that if I feel lazy in the morning, I will wake up because of my exploding bladder. What do you do when you wake up early in the morning?']"
