Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Ali Espahbodi,https://en.wikipedia.org/wiki/Ali_Espahbodi,Q31067220,https://www.wikidata.org/wiki/Q31067220,male,economist; politician,Iran,Mashhad,1939-01-01T00:00:00Z,,
Farshad Fatemi,https://en.wikipedia.org/wiki/Farshad_Fatemi,Q83417331,https://www.wikidata.org/wiki/Q83417331,male,economist,,Isfahan,1973-05-15T00:00:00Z,,
Fereydoun Mahdavi,https://en.wikipedia.org/wiki/Fereydoun_Mahdavi,Q73130061,https://www.wikidata.org/wiki/Q73130061,male,banker; civil servant; economist,Iran,Tehran,1932-01-01T00:00:00Z,,
Hassan Ghalibaf Asl,https://en.wikipedia.org/wiki/Hassan_Ghalibaf_Asl,Q18808604,https://www.wikidata.org/wiki/Q18808604,male,economist; manager,Iran,Maragheh,1969-01-01T00:00:00Z,,
Mousa Ghaninejad,https://en.wikipedia.org/wiki/Mousa_Ghaninejad,Q6925976,https://www.wikidata.org/wiki/Q6925976,male,accountant; economist; writer,Iran,Tabriz,1951-01-01T00:00:00Z,,
Nader Habibi,https://en.wikipedia.org/wiki/Nader_Habibi,Q103041648,https://www.wikidata.org/wiki/Q103041648,male,,,,,naderhabibi2,https://x.com/naderhabibi2
Reza Hamzaee,https://en.wikipedia.org/wiki/Reza_Hamzaee,Q51884033,https://www.wikidata.org/wiki/Q51884033,male,economist,,,1951-05-07T00:00:00Z,,
Abdolnaser Hemmati,https://en.wikipedia.org/wiki/Abdolnaser_Hemmati,Q16053240,https://www.wikidata.org/wiki/Q16053240,male,economist,Iran; Pahlavi Iran,Kabudarahang,1957-04-09T00:00:00Z,hemmati_ir,https://x.com/hemmati_ir
Ismael Hossein-zadeh,https://en.wikipedia.org/wiki/Ismael_Hossein-zadeh,Q16730072,https://www.wikidata.org/wiki/Q16730072,male,economist,Iran,,,,
Mohammad Reza Hosseinzadeh,https://en.wikipedia.org/wiki/Mohammad_Reza_Hosseinzadeh,Q24348794,https://www.wikidata.org/wiki/Q24348794,male,banker; economist,,Ardabil,1964-01-01T00:00:00Z,,
Gholam Hossein Jahanshahi,https://en.wikipedia.org/wiki/Gholam_Hossein_Jahanshahi,Q5556856,https://www.wikidata.org/wiki/Q5556856,male,economist; politician,Iran,Tehran,1920-01-01T00:00:00Z,,
Masoud Karbasian,https://en.wikipedia.org/wiki/Masoud_Karbasian,Q36192491,https://www.wikidata.org/wiki/Q36192491,male,economist; politician,,Isfahan,1956-01-01T00:00:00Z,,
Homa Katouzian,https://en.wikipedia.org/wiki/Homa_Katouzian,Q5887326,https://www.wikidata.org/wiki/Q5887326,male,economist; historian; literary critic; professor; writer,Iran,Tehran,1942-11-17T00:00:00Z,,
Firouzeh Khalatbari,https://en.wikipedia.org/wiki/Firouzeh_Khalatbari,Q125599863,https://www.wikidata.org/wiki/Q125599863,female,economist,,,,,
Sadeq Khalilian,https://en.wikipedia.org/wiki/Sadeq_Khalilian,Q5736133,https://www.wikidata.org/wiki/Q5736133,male,economist; politician,Iran,Ahvaz,1959-08-08T00:00:00Z,news,https://x.com/news
Farid Khavari,https://en.wikipedia.org/wiki/Farid_Khavari,Q5435255,https://www.wikidata.org/wiki/Q5435255,male,economist,United States,Yazd,1943-02-25T00:00:00Z,,
Tahmasb Mazaheri,https://en.wikipedia.org/wiki/Tahmasb_Mazaheri,Q2388313,https://www.wikidata.org/wiki/Q2388313,male,banker; economist; politician,Iran,Tehran,1953-02-12T00:00:00Z,,
Abbas Mirakhor,https://en.wikipedia.org/wiki/Abbas_Mirakhor,Q4663773,https://www.wikidata.org/wiki/Q4663773,male,economist,,,1941-07-01T00:00:00Z,,
Mohammad-Ali Molavi,https://en.wikipedia.org/wiki/Mohammad-Ali_Molavi,Q56366534,https://www.wikidata.org/wiki/Q56366534,male,economist,,Tabriz,1918-09-26T00:00:00Z,,
Saeed Moshiri,https://en.wikipedia.org/wiki/Saeed_Moshiri,Q5877370,https://www.wikidata.org/wiki/Q5877370,male,economist,Iran,,1957-01-01T00:00:00Z,,
Mohammad Nahavandian,https://en.wikipedia.org/wiki/Mohammad_Nahavandian,Q5962247,https://www.wikidata.org/wiki/Q5962247,male,economist; politician,Iran,Tehran,1954-02-06T00:00:00Z,Nahavandian_ir,https://x.com/Nahavandian_ir
Masoud Nili,https://en.wikipedia.org/wiki/Masoud_Nili,Q15127464,https://www.wikidata.org/wiki/Q15127464,male,economist,Iran,Hamadan,1955-02-14T00:00:00Z,,
Mohammad Bagher Nobakht,https://en.wikipedia.org/wiki/Mohammad_Bagher_Nobakht,Q5766008,https://www.wikidata.org/wiki/Q5766008,male,economist; politician,Iran,Rasht,1950-12-13T00:00:00Z,,
Alireza Nobari,https://en.wikipedia.org/wiki/Alireza_Nobari,Q4725141,https://www.wikidata.org/wiki/Q4725141,male,economist,Iran,Tehran,1947-01-01T00:00:00Z,,
Mohsen Nourbakhsh,https://en.wikipedia.org/wiki/Mohsen_Nourbakhsh,Q3319157,https://www.wikidata.org/wiki/Q3319157,male,economist; politician,Iran,Isfahan,1948-05-18T00:00:00Z,,
Kazem Oraee,https://en.wikipedia.org/wiki/Kazem_Oraee,Q12064890,https://www.wikidata.org/wiki/Q12064890,male,economist; engineer,,,1954-01-01T00:00:00Z,,
M. Hashem Pesaran,https://en.wikipedia.org/wiki/M._Hashem_Pesaran,Q2856393,https://www.wikidata.org/wiki/Q2856393,male,economist; professor,Iran,Shiraz,1946-03-30T00:00:00Z,,
Ali-Ashraf Abdollah Porihoseini,https://en.wikipedia.org/wiki/Ali-Ashraf_Abdollah_Porihoseini,Q16051988,https://www.wikidata.org/wiki/Q16051988,male,economist; politician,Iran,Tabriz,1961-01-01T00:00:00Z,,
Farhad Rahbar,https://en.wikipedia.org/wiki/Farhad_Rahbar,Q5435150,https://www.wikidata.org/wiki/Q5435150,male,economist; politician,Iran,Semnan,1959-10-05T00:00:00Z,,
Fariborz Raisdana,https://en.wikipedia.org/wiki/Fariborz_Raisdana,Q5435227,https://www.wikidata.org/wiki/Q5435227,male,economist; university teacher,Iran,Tehran,1945-01-19T00:00:00Z,,
Mohammad Sattarifar,https://en.wikipedia.org/wiki/Mohammad_Sattarifar,Q6892402,https://www.wikidata.org/wiki/Q6892402,male,economist; politician,Iran,Isfahan,1952-01-01T00:00:00Z,,
Valiollah Seif,https://en.wikipedia.org/wiki/Valiollah_Seif,Q15096107,https://www.wikidata.org/wiki/Q15096107,male,accountant; banker; economist; politician,Iran,Nahavand,1952-01-01T00:00:00Z,,
Manuchehr Shahrokhi,https://en.wikipedia.org/wiki/Manuchehr_Shahrokhi,Q6752343,https://www.wikidata.org/wiki/Q6752343,male,economist; writer,Iran,,,,
Ebrahim Sheibani,https://en.wikipedia.org/wiki/Ebrahim_Sheibani,Q5331989,https://www.wikidata.org/wiki/Q5331989,male,diplomat; economist,Iran,Garmeh,1948-01-01T00:00:00Z,,
Gholam Hosein Shiri Aliabad,https://en.wikipedia.org/wiki/Gholam_Hosein_Shiri_Aliabad,Q17515904,https://www.wikidata.org/wiki/Q17515904,male,economist; politician,Iran,Hashtrud,1961-04-30T00:00:00Z,,
Mohammad Reza Tabesh,https://en.wikipedia.org/wiki/Mohammad_Reza_Tabesh,Q5947234,https://www.wikidata.org/wiki/Q5947234,male,economist; politician,Iran,Ardakan,1958-09-27T00:00:00Z,,
Mohammad Tabibian,https://en.wikipedia.org/wiki/Mohammad_Tabibian,Q5695129,https://www.wikidata.org/wiki/Q5695129,male,economist,Iran,,1948-01-01T00:00:00Z,,
Hossein Abdoh Tabrizi,https://en.wikipedia.org/wiki/Hossein_Abdoh_Tabrizi,Q15127458,https://www.wikidata.org/wiki/Q15127458,male,academic; economist,Iran,Tehran,1951-09-04T00:00:00Z,,
Gholamreza Tajgardoon,https://en.wikipedia.org/wiki/Gholamreza_Tajgardoon,Q16049901,https://www.wikidata.org/wiki/Q16049901,male,economist,Iran,Dogonbadan,1966-08-01T00:00:00Z,,
Ali Tayebnia,https://en.wikipedia.org/wiki/Ali_Tayebnia,Q5719915,https://www.wikidata.org/wiki/Q5719915,male,economist; writer,Iran,Isfahan,1960-04-05T00:00:00Z,,
Mehrdad Vahabi,https://en.wikipedia.org/wiki/Mehrdad_Vahabi,Q109550523,https://www.wikidata.org/wiki/Q109550523,male,economist,,,1963-06-19T00:00:00Z,,
Mohammad-Javad Vahaji,https://en.wikipedia.org/wiki/Mohammad-Javad_Vahaji,Q64010443,https://www.wikidata.org/wiki/Q64010443,male,economist,,,,,
Behrooz Abdolvand,https://en.wikipedia.org/wiki/Behrooz_Abdolvand,Q28937333,https://www.wikidata.org/wiki/Q28937333,male,economist,Iran,Iran,1956-06-22T00:00:00Z,,
Mohammad Hossein Adeli,https://en.wikipedia.org/wiki/Mohammad_Hossein_Adeli,Q6892032,https://www.wikidata.org/wiki/Q6892032,male,diplomat; economist; politician,Iran,Ahvaz,1953-02-16T00:00:00Z,,
Alinaghi Alikhani,https://en.wikipedia.org/wiki/Alinaghi_Alikhani,Q5938582,https://www.wikidata.org/wiki/Q5938582,male,economist; university teacher,Iran,,1929-01-21T00:00:00Z,,
Jahangir Amouzegar,https://en.wikipedia.org/wiki/Jahangir_Amouzegar,Q10860779,https://www.wikidata.org/wiki/Q10860779,male,economist; essayist; historian; politician; writer,Iran,Tehran,1920-01-13T00:00:00Z,,
Reza Asghari,https://en.wikipedia.org/wiki/Reza_Asghari,Q134532450,https://www.wikidata.org/wiki/Q134532450,male,politician,Germany,Isfahan,1961-04-01T00:00:00Z,,
