Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Ali Abdi (activist),https://en.wikipedia.org/wiki/Ali_Abdi_%28activist%29,,,,,,,
Mahnaz Afkhami,https://en.wikipedia.org/wiki/Mahnaz_Afkhami,Q6734697,https://www.wikidata.org/wiki/Q6734697,female,human rights defender; politician,Iran,Kerman,1941-02-02T00:00:00Z
Saba Kord Afshari,https://en.wikipedia.org/wiki/Saba_Kord_Afshari,Q71330636,https://www.wikidata.org/wiki/Q71330636,female,women's rights activist,Iran,,1998-01-01T00:00:00Z
Nazanin Afshin-Jam,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam,Q447592,https://www.wikidata.org/wiki/Q447592,female,beauty pageant contestant; human rights defender; model; musician; singer,Iran,Tehran,1979-04-11T00:00:00Z
Shiva Nazar Ahari,https://en.wikipedia.org/wiki/Shiva_Nazar_Ahari,Q460226,https://www.wikidata.org/wiki/Q460226,female,blogger; human rights defender; journalist,Iran,Tehran,1984-06-10T00:00:00Z
Khosrow Alikordi,https://en.wikipedia.org/wiki/Khosrow_Alikordi,Q137324672,https://www.wikidata.org/wiki/Q137324672,male,human rights defender; lawyer,,,1979-11-26T00:00:00Z
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin,Q15410595,https://www.wikidata.org/wiki/Q15410595,female,human rights defender; journalist,Iran,Iran,1964-01-01T00:00:00Z
Mahmood Amiry-Moghaddam,https://en.wikipedia.org/wiki/Mahmood_Amiry-Moghaddam,Q4570124,https://www.wikidata.org/wiki/Q4570124,male,human rights defender; neuroscientist; professor of medicine,Iran; Norway,Kerman,1971-04-21T00:00:00Z
Nahid Angha,https://en.wikipedia.org/wiki/Nahid_Angha,Q6959255,https://www.wikidata.org/wiki/Q6959255,female,writer,,,
Elham Malekpoor Arashlu,https://en.wikipedia.org/wiki/Elham_Malekpoor_Arashlu,Q56356036,https://www.wikidata.org/wiki/Q56356036,female,LGBTQ rights activist; human rights defender; journalist; poet,Iran,Iran,1983-07-01T00:00:00Z
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari,Q7908627,https://www.wikidata.org/wiki/Q7908627,male,blogger; human rights defender; journalist,Iran,Tehran,1986-04-03T00:00:00Z
Majid Assadi,https://en.wikipedia.org/wiki/Majid_Assadi,Q64224759,https://www.wikidata.org/wiki/Q64224759,male,human rights defender,Iran,,
Maziar Bahari,https://en.wikipedia.org/wiki/Maziar_Bahari,Q1334414,https://www.wikidata.org/wiki/Q1334414,male,film director; human rights defender; journalist,Canada,Tehran,1967-05-25T00:00:00Z
Mansoureh Behkish,https://en.wikipedia.org/wiki/Mansoureh_Behkish,Q62020074,https://www.wikidata.org/wiki/Q62020074,female,human rights defender,Iran,,
Pantea Beigi,https://en.wikipedia.org/wiki/Pantea_Beigi,Q7131670,https://www.wikidata.org/wiki/Q7131670,female,human rights defender,Iran,,
Niloofar Beyzaie,https://en.wikipedia.org/wiki/Niloofar_Beyzaie,Q542530,https://www.wikidata.org/wiki/Q542530,female,film director; human rights defender; playwright,Iran,Tehran,1967-01-15T00:00:00Z
