Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Bahar Dehkordi,https://en.wikipedia.org/wiki/Bahar_Dehkordi,Q125429300,https://www.wikidata.org/wiki/Q125429300,female,actor; singer,Iran,Iran,1990-11-19T00:00:00Z,Baharmdehkordi,https://x.com/Baharmdehkordi
Erfan (rapper),https://en.wikipedia.org/wiki/Erfan_%28rapper%29,,,,,,,,,
Fadaei,https://en.wikipedia.org/wiki/Fadaei,Q114949969,https://www.wikidata.org/wiki/Q114949969,male,rapper; singer,,Tehran,1989-12-05T00:00:00Z,AshkanFadaei,https://x.com/AshkanFadaei
Moltafet,https://en.wikipedia.org/wiki/Moltafet,Q124079907,https://www.wikidata.org/wiki/Q124079907,male,,,,,moltaf,https://x.com/moltaf
Shahin Najafi,https://en.wikipedia.org/wiki/Shahin_Najafi,Q983297,https://www.wikidata.org/wiki/Q983297,male,guitarist; singer; songwriter,Iran,Bandar-e Anzali,1980-09-10T00:00:00Z,shahinnajafi80,https://x.com/shahinnajafi80
Nazar (rapper),https://en.wikipedia.org/wiki/Nazar_%28rapper%29,,,,,,,,,
Bahram Nouraei,https://en.wikipedia.org/wiki/Bahram_Nouraei,Q4842856,https://www.wikidata.org/wiki/Q4842856,male,singer; songwriter,Iran,Tehran,1988-04-25T00:00:00Z,BahramNouraei,https://x.com/BahramNouraei
Reveal (rapper),https://en.wikipedia.org/wiki/Reveal_%28rapper%29,,,,,,,,,
Toomaj Salehi,https://en.wikipedia.org/wiki/Toomaj_Salehi,Q108611372,https://www.wikidata.org/wiki/Q108611372,male,activist; rapper; singer,Iran,"Gerd Bisheh, Chaharmahal and Bakhtiari",1990-12-03T00:00:00Z,OfficialToomaj,https://x.com/OfficialToomaj
Sasy,https://en.wikipedia.org/wiki/Sasy,Q4682251,https://www.wikidata.org/wiki/Q4682251,male,composer; rapper; singer,Iran,Ahvaz,1988-11-17T00:00:00Z,,
Ali Sorena,https://en.wikipedia.org/wiki/Ali_Sorena,Q47540436,https://www.wikidata.org/wiki/Q47540436,male,lyricist; rapper; singer,Iran,,1990-04-16T00:00:00Z,sorenaofficial,https://x.com/sorenaofficial
Amir Tataloo,https://en.wikipedia.org/wiki/Amir_Tataloo,Q6417825,https://www.wikidata.org/wiki/Q6417825,male,composer; rapper; singer; songwriter,Iran,Tehran,1983-09-21T00:00:00Z,tatalioo,https://x.com/tatalioo
Yas (rapper),https://en.wikipedia.org/wiki/Yas_%28rapper%29,,,,,,,,,
Zedbazi,https://en.wikipedia.org/wiki/Zedbazi,Q5949579,https://www.wikidata.org/wiki/Q5949579,,,,,,,
Ghogha (rapper),https://en.wikipedia.org/wiki/Ghogha_%28rapper%29,,,,,,,,,
Salome MC,https://en.wikipedia.org/wiki/Salome_MC,Q7405619,https://www.wikidata.org/wiki/Q7405619,female,graffiti artist; rapper; songwriter; television producer; video artist,Iran,,1985-02-23T00:00:00Z,,
