Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Ardeshir Kazemi,https://en.wikipedia.org/wiki/Ardeshir_Kazemi,Q5922883,https://www.wikidata.org/wiki/Q5922883,male,actor; film actor,Iran,Bandar-e Anzali,1939-01-01T00:00:00Z,,
Mirsaeed Molavian,https://en.wikipedia.org/wiki/Mirsaeed_Molavian,Q108885959,https://www.wikidata.org/wiki/Q108885959,male,actor; film actor; television actor,Iran,Tabriz,1989-01-01T00:00:00Z,,
Elika Abdolrazzaghi,https://en.wikipedia.org/wiki/Elika_Abdolrazzaghi,Q5946917,https://www.wikidata.org/wiki/Q5946917,female,actor,Iran,Tehran,1979-08-09T00:00:00Z,,
Nasim Adabi,https://en.wikipedia.org/wiki/Nasim_Adabi,Q20109504,https://www.wikidata.org/wiki/Q20109504,female,actor,Iran,Tehran,1976-01-01T00:00:00Z,,
Golab Adineh,https://en.wikipedia.org/wiki/Golab_Adineh,Q3109977,https://www.wikidata.org/wiki/Q3109977,female,actor,Iran; Pahlavi Iran,Tehran,1953-11-14T00:00:00Z,,
Anahita Afshar,https://en.wikipedia.org/wiki/Anahita_Afshar,Q11689093,https://www.wikidata.org/wiki/Q11689093,female,actor; film actor,Iran,Tehran,1986-07-29T00:00:00Z,,
Bahareh Kian Afshar,https://en.wikipedia.org/wiki/Bahareh_Kian_Afshar,Q13453217,https://www.wikidata.org/wiki/Q13453217,female,actor; songwriter,Iran,Tehran,1983-04-30T00:00:00Z,,
Mahnaz Afshar,https://en.wikipedia.org/wiki/Mahnaz_Afshar,Q3113907,https://www.wikidata.org/wiki/Q3113907,female,actor; model,Iran,Tehran,1977-06-11T00:00:00Z,AfsharMahnaz,https://x.com/AfsharMahnaz
Roya Afshar,https://en.wikipedia.org/wiki/Roya_Afshar,Q16045418,https://www.wikidata.org/wiki/Q16045418,female,actor,Iran,Abadan,1960-01-01T00:00:00Z,,
Bahareh Afshari,https://en.wikipedia.org/wiki/Bahareh_Afshari,Q5740014,https://www.wikidata.org/wiki/Q5740014,female,actor,Iran,Shahrud,1984-07-05T00:00:00Z,,
Shohreh Aghdashloo,https://en.wikipedia.org/wiki/Shohreh_Aghdashloo,Q229766,https://www.wikidata.org/wiki/Q229766,female,actor; film actor; stage actor; television actor; voice actor,Iran,Tehran,1952-05-11T00:00:00Z,SAghdashloo,https://x.com/SAghdashloo
Pegah Ahangarani,https://en.wikipedia.org/wiki/Pegah_Ahangarani,Q2013524,https://www.wikidata.org/wiki/Q2013524,female,actor; film director,Iran,Arak,1984-07-24T00:00:00Z,,
Nazanin Ahmadi,https://en.wikipedia.org/wiki/Nazanin_Ahmadi,Q84849960,https://www.wikidata.org/wiki/Q84849960,female,actor; film actor,Iran,Tehran,1986-01-01T00:00:00Z,,
Pardis Ahmadieh,https://en.wikipedia.org/wiki/Pardis_Ahmadieh,Q42533858,https://www.wikidata.org/wiki/Q42533858,female,actor; model,Iran,Tehran,1992-06-29T00:00:00Z,,
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari,Q6749430,https://www.wikidata.org/wiki/Q6749430,female,actor; film actor; film director; screenwriter; writer,Iran,Tehran,1974-09-22T00:00:00Z,,
Taraneh Alidoosti,https://en.wikipedia.org/wiki/Taraneh_Alidoosti,Q275637,https://www.wikidata.org/wiki/Q275637,female,actor; film actor; translator,Iran,Tehran,1984-01-12T00:00:00Z,t_alidoosti,https://x.com/t_alidoosti
Mahoor Alvand,https://en.wikipedia.org/wiki/Mahoor_Alvand,Q37513016,https://www.wikidata.org/wiki/Q37513016,female,actor,Iran,,1994-07-13T00:00:00Z,,
Maryam Amir Jalali,https://en.wikipedia.org/wiki/Maryam_Amir_Jalali,Q10858379,https://www.wikidata.org/wiki/Q10858379,female,actor; film actor,Iran,Kangavar County,1947-01-01T00:00:00Z,,
Mary Apick,https://en.wikipedia.org/wiki/Mary_Apick,Q542469,https://www.wikidata.org/wiki/Q542469,female,actor; film actor; film director; film producer,Iran,Tehran,1954-06-16T00:00:00Z,,
Aram (actress),https://en.wikipedia.org/wiki/Aram_%28actress%29,,,,,,,,,
