Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Abbas Abdi,https://en.wikipedia.org/wiki/Abbas_Abdi,Q4663711,https://www.wikidata.org/wiki/Q4663711,male,activist; engineer; journalist; politician,Iran,Tehran,1956-10-01T00:00:00Z
Abdollah Abdi,https://en.wikipedia.org/wiki/Abdollah_Abdi,Q136656989,https://www.wikidata.org/wiki/Q136656989,male,,,,
Ali Akbar Abdolrashidi,https://en.wikipedia.org/wiki/Ali_Akbar_Abdolrashidi,Q2836081,https://www.wikidata.org/wiki/Q2836081,male,journalist; linguist; translator; writer,Iran,Kerman,1949-07-01T00:00:00Z
Behrouz Afagh,https://en.wikipedia.org/wiki/Behrouz_Afagh,Q4880997,https://www.wikidata.org/wiki/Q4880997,male,journalist,Iran,,
Liana Aghajanian,https://en.wikipedia.org/wiki/Liana_Aghajanian,Q30592664,https://www.wikidata.org/wiki/Q30592664,female,journalist,,Tehran,
Sarvenaz Ahmadi,https://en.wikipedia.org/wiki/Sarvenaz_Ahmadi,Q131741730,https://www.wikidata.org/wiki/Q131741730,female,journalist,,,
Shadi Amin,https://en.wikipedia.org/wiki/Shadi_Amin,Q15410595,https://www.wikidata.org/wiki/Q15410595,female,human rights defender; journalist,Iran,Iran,1964-01-01T00:00:00Z
Bahman Ahmadi Amouee,https://en.wikipedia.org/wiki/Bahman_Ahmadi_Amouee,Q4842638,https://www.wikidata.org/wiki/Q4842638,male,essayist; journalist,Iran,Chaharmahal and Bakhtiari Province,1967-01-01T00:00:00Z
Mahsa Amrabadi,https://en.wikipedia.org/wiki/Mahsa_Amrabadi,Q4984839,https://www.wikidata.org/wiki/Q4984839,female,essayist; journalist,Iran,Rasht,1984-07-03T00:00:00Z
Mohammad-Kazem Anbarlouei,https://en.wikipedia.org/wiki/Mohammad-Kazem_Anbarlouei,Q30123172,https://www.wikidata.org/wiki/Q30123172,male,journalist; politician,,,1957-01-28T00:00:00Z
Parvin Ardalan,https://en.wikipedia.org/wiki/Parvin_Ardalan,Q2622862,https://www.wikidata.org/wiki/Q2622862,female,human rights defender; journalist; sociologist; women's rights activist,Iran,Tehran,1967-01-01T00:00:00Z
Houshang Asadi,https://en.wikipedia.org/wiki/Houshang_Asadi,Q10860856,https://www.wikidata.org/wiki/Q10860856,male,human rights defender; journalist; novelist; translator; writer,Iran,Tehran,1951-01-01T00:00:00Z
Vahid Asghari,https://en.wikipedia.org/wiki/Vahid_Asghari,Q7908627,https://www.wikidata.org/wiki/Q7908627,male,blogger; human rights defender; journalist,Iran,Tehran,1986-04-03T00:00:00Z
Mina Assadi,https://en.wikipedia.org/wiki/Mina_Assadi,Q384979,https://www.wikidata.org/wiki/Q384979,female,essayist; journalist; poet; songwriter; writer,Iran; Sweden,Sari,1943-03-12T00:00:00Z
Golineh Atai,https://en.wikipedia.org/wiki/Golineh_Atai,Q88246,https://www.wikidata.org/wiki/Q88246,female,correspondent; journalist,Germany,Tehran,1974-12-08T00:00:00Z
Mohammad Atrianfar,https://en.wikipedia.org/wiki/Mohammad_Atrianfar,Q6891859,https://www.wikidata.org/wiki/Q6891859,male,journalist; politician,Iran,Isfahan,1954-01-01T00:00:00Z
Emadeddin Baghi,https://en.wikipedia.org/wiki/Emadeddin_Baghi,Q5368789,https://www.wikidata.org/wiki/Q5368789,male,journalist; politician; writer,Iran,Shahreza,1962-04-25T00:00:00Z
Jila Baniyaghoob,https://en.wikipedia.org/wiki/Jila_Baniyaghoob,Q4937441,https://www.wikidata.org/wiki/Q4937441,female,essayist; journalist,Iran,Bandar-e Anzali,1970-08-21T00:00:00Z
Jamshid Barzegar,https://en.wikipedia.org/wiki/Jamshid_Barzegar,Q24175779,https://www.wikidata.org/wiki/Q24175779,male,journalist,Iran,Hamadan,1971-08-20T00:00:00Z
Masoud Bastani,https://en.wikipedia.org/wiki/Masoud_Bastani,Q10858455,https://www.wikidata.org/wiki/Q10858455,male,essayist; journalist,Iran,Arak,1978-05-12T00:00:00Z
Ahmad Batebi,https://en.wikipedia.org/wiki/Ahmad_Batebi,Q389117,https://www.wikidata.org/wiki/Q389117,male,blogger; journalist; photographer,Iran,Shiraz,1977-07-25T00:00:00Z
Ataullah Behmanesh,https://en.wikipedia.org/wiki/Ataullah_Behmanesh,Q5947777,https://www.wikidata.org/wiki/Q5947777,male,amateur wrestler; correspondent; journalist; presenter,Iran,Kermanshah,1923-04-13T00:00:00Z
Masoud Behnoud,https://en.wikipedia.org/wiki/Masoud_Behnoud,Q3297815,https://www.wikidata.org/wiki/Q3297815,male,blogger; film director; historian; journalist; novelist; screenwriter; writer,Iran,Tehran,1947-01-01T00:00:00Z
