Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Nazanin Afshin-Jam,https://en.wikipedia.org/wiki/Nazanin_Afshin-Jam,Q447592,https://www.wikidata.org/wiki/Q447592,female,beauty pageant contestant; human rights defender; model; musician; singer,Iran,Tehran,1979-04-11T00:00:00Z
Parastoo Ahmadi,https://en.wikipedia.org/wiki/Parastoo_Ahmadi,Q131429477,https://www.wikidata.org/wiki/Q131429477,female,singer; women's rights activist,Iran,Nowshahr,1997-03-21T00:00:00Z
Masih Alinejad,https://en.wikipedia.org/wiki/Masih_Alinejad,Q6783266,https://www.wikidata.org/wiki/Q6783266,female,blogger; journalist; writer,Iran; United Kingdom; United States,Qomi Kola,1976-09-11T00:00:00Z
Asieh Amini,https://en.wikipedia.org/wiki/Asieh_Amini,Q21475060,https://www.wikidata.org/wiki/Q21475060,female,poet,Iran; Pahlavi dynasty,Ramsar,1973-09-14T00:00:00Z
Yasaman Aryani,https://en.wikipedia.org/wiki/Yasaman_Aryani,Q71330356,https://www.wikidata.org/wiki/Q71330356,female,women's rights activist,Iran,,1950-01-01T00:00:00Z
Gelareh Bagherzadeh,https://en.wikipedia.org/wiki/Gelareh_Bagherzadeh,Q56599884,https://www.wikidata.org/wiki/Q56599884,male,,,France,1957-12-27T00:00:00Z
Farahnaz Bahrami,https://en.wikipedia.org/wiki/Farahnaz_Bahrami,Q16170420,https://www.wikidata.org/wiki/Q16170420,female,politician,Norway,,1962-03-21T00:00:00Z
Niloufar Bayani,https://en.wikipedia.org/wiki/Niloufar_Bayani,Q85624058,https://www.wikidata.org/wiki/Q85624058,female,conservationist; environmentalist,Iran,Tehran,1986-01-01T00:00:00Z
Atena Daemi,https://en.wikipedia.org/wiki/Atena_Daemi,Q28016688,https://www.wikidata.org/wiki/Q28016688,female,activist; human rights defender,Iran,Tehran,1988-05-27T00:00:00Z
Ana Diamond,https://en.wikipedia.org/wiki/Ana_Diamond,Q72219195,https://www.wikidata.org/wiki/Q72219195,female,activist,,"Sir, West Azerbaijan",1994-01-01T00:00:00Z
Mehrangiz Dowlatshahi,https://en.wikipedia.org/wiki/Mehrangiz_Dowlatshahi,Q5945232,https://www.wikidata.org/wiki/Q5945232,female,diplomat; politician; writer,Pahlavi Iran,Tehran,1919-12-13T00:00:00Z
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Q131152,https://www.wikidata.org/wiki/Q131152,female,human rights defender; judge; jurist; lawyer; peace activist; politician; women's rights activist; writer,Iran,Hamadan,1947-06-21T00:00:00Z
Elahe Ejbari,https://en.wikipedia.org/wiki/Elahe_Ejbari,Q126179602,https://www.wikidata.org/wiki/Q126179602,female,human rights defender,Iran,,1997-05-24T00:00:00Z
Gohar Eshghi,https://en.wikipedia.org/wiki/Gohar_Eshghi,Q12240017,https://www.wikidata.org/wiki/Q12240017,female,homemaker,Iran; Pahlavi Iran,,1946-01-01T00:00:00Z
Zahra Eshraghi,https://en.wikipedia.org/wiki/Zahra_Eshraghi,Q144181,https://www.wikidata.org/wiki/Q144181,female,blogger; human rights defender; politician; women's rights activist,Iran,Tehran,1964-01-01T00:00:00Z
Atena Farghadani,https://en.wikipedia.org/wiki/Atena_Farghadani,Q19960495,https://www.wikidata.org/wiki/Q19960495,female,caricaturist; cartoonist; human rights defender; painter,Iran,Tehran,1987-01-29T00:00:00Z
Maryam Farman Farmaian,https://en.wikipedia.org/wiki/Maryam_Farman_Farmaian,Q6781074,https://www.wikidata.org/wiki/Q6781074,female,activist; politician,Iran,Kermanshah,1913-01-01T00:00:00Z
Kiana Firouz,https://en.wikipedia.org/wiki/Kiana_Firouz,Q1740761,https://www.wikidata.org/wiki/Q1740761,female,LGBTQ rights activist; film actor,Iran,,1983-04-21T00:00:00Z
Parvaneh Forouhar,https://en.wikipedia.org/wiki/Parvaneh_Forouhar,Q7141259,https://www.wikidata.org/wiki/Q7141259,female,activist; teacher; writer,Iran,Tehran,1938-03-14T00:00:00Z
Ghoncheh Ghavami,https://en.wikipedia.org/wiki/Ghoncheh_Ghavami,Q18249211,https://www.wikidata.org/wiki/Q18249211,female,volleyball player,Iran,London,1989-01-01T00:00:00Z
Motahereh Gounei,https://en.wikipedia.org/wiki/Motahereh_Gounei,Q125740126,https://www.wikidata.org/wiki/Q125740126,female,human rights defender; peace activist; social activist,Iran,,1996-10-13T00:00:00Z
Neda Hassani,https://en.wikipedia.org/wiki/Neda_Hassani,Q16015845,https://www.wikidata.org/wiki/Q16015845,female,,Iran,Tehran,1977-01-01T00:00:00Z
Bahareh Hedayat,https://en.wikipedia.org/wiki/Bahareh_Hedayat,Q4842451,https://www.wikidata.org/wiki/Q4842451,female,activist; human rights defender,Iran,Tehran,1981-04-05T00:00:00Z
Shamsi Hekmat,https://en.wikipedia.org/wiki/Shamsi_Hekmat,Q23414790,https://www.wikidata.org/wiki/Q23414790,female,activist,,Tehran,1917-01-01T00:00:00Z
Iranian Complainant Mothers,https://en.wikipedia.org/wiki/Iranian_Complainant_Mothers,Q109550320,https://www.wikidata.org/wiki/Q109550320,,,,,
Faezeh Jalali,https://en.wikipedia.org/wiki/Faezeh_Jalali,Q17744435,https://www.wikidata.org/wiki/Q17744435,female,actor; casting director; film director; screenwriter,India,India,
