Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
List of hospitals in Iran,https://en.wikipedia.org/wiki/List_of_hospitals_in_Iran,Q16151245,https://www.wikidata.org/wiki/Q16151245,,,,,,,
Alejalil Hospital,https://en.wikipedia.org/wiki/Alejalil_Hospital,Q97355670,https://www.wikidata.org/wiki/Q97355670,,,,,,,
Ayatollah Mousavi Hospital,https://en.wikipedia.org/wiki/Ayatollah_Mousavi_Hospital,Q97191706,https://www.wikidata.org/wiki/Q97191706,,,,,,,
Iran International Neuroscience Institute,https://en.wikipedia.org/wiki/Iran_International_Neuroscience_Institute,Q46246401,https://www.wikidata.org/wiki/Q46246401,,,,,,,
Iranian National Ion Therapy Center,https://en.wikipedia.org/wiki/Iranian_National_Ion_Therapy_Center,Q136402327,https://www.wikidata.org/wiki/Q136402327,,,,,,,
Isfahan Healthcare city,https://en.wikipedia.org/wiki/Isfahan_Healthcare_city,Q101071848,https://www.wikidata.org/wiki/Q101071848,,,,,,,
Khalili Hospital,https://en.wikipedia.org/wiki/Khalili_Hospital,Q10320942,https://www.wikidata.org/wiki/Q10320942,,,,,,,
Najmieh Hospital,https://en.wikipedia.org/wiki/Najmieh_Hospital,Q5940005,https://www.wikidata.org/wiki/Q5940005,,,,,,,
Namazi Hospital,https://en.wikipedia.org/wiki/Namazi_Hospital,Q6961352,https://www.wikidata.org/wiki/Q6961352,,,,,,,
Razavi Hospital,https://en.wikipedia.org/wiki/Razavi_Hospital,Q22134324,https://www.wikidata.org/wiki/Q22134324,,,,,,,
Razi Hospital Kukherd,https://en.wikipedia.org/wiki/Razi_Hospital_Kukherd,Q12242610,https://www.wikidata.org/wiki/Q12242610,,,,,,,
Sayad Shirazi Hospital,https://en.wikipedia.org/wiki/Sayad_Shirazi_Hospital,Q97354476,https://www.wikidata.org/wiki/Q97354476,,,,,,,
Shahid Dastgheib Hospital,https://en.wikipedia.org/wiki/Shahid_Dastgheib_Hospital,Q97354440,https://www.wikidata.org/wiki/Q97354440,,,,,,,
Sina Hospital,https://en.wikipedia.org/wiki/Sina_Hospital,Q574872,https://www.wikidata.org/wiki/Q574872,,,,,,,
Poostchi Subspecialty Eye Hospital and Clinic,https://en.wikipedia.org/wiki/Poostchi_Subspecialty_Eye_Hospital_and_Clinic,Q10320942,https://www.wikidata.org/wiki/Q10320942,,,,,,,
Arad General Hospital,https://en.wikipedia.org/wiki/Arad_General_Hospital,Q4783607,https://www.wikidata.org/wiki/Q4783607,,,,,,,
Baghiyyatollah al-Azam Military Hospital,https://en.wikipedia.org/wiki/Baghiyyatollah_al-Azam_Military_Hospital,Q5804455,https://www.wikidata.org/wiki/Q5804455,,,,,,,
Dr. Sapir Hospital and Charity Center,https://en.wikipedia.org/wiki/Dr._Sapir_Hospital_and_Charity_Center,Q5304373,https://www.wikidata.org/wiki/Q5304373,,,,,,,
Imam Khomeini Hospital Complex,https://en.wikipedia.org/wiki/Imam_Khomeini_Hospital_Complex,Q6003087,https://www.wikidata.org/wiki/Q6003087,,,,,,,
Mahak Hospital and Rehabilitation Complex,https://en.wikipedia.org/wiki/Mahak_Hospital_and_Rehabilitation_Complex,Q6732851,https://www.wikidata.org/wiki/Q6732851,,,,,,,
Milad Hospital,https://en.wikipedia.org/wiki/Milad_Hospital,Q6850378,https://www.wikidata.org/wiki/Q6850378,,,,,,,
Noor Eye Hospital,https://en.wikipedia.org/wiki/Noor_Eye_Hospital,Q18354239,https://www.wikidata.org/wiki/Q18354239,,,,,,,
Roozbeh Hospital,https://en.wikipedia.org/wiki/Roozbeh_Hospital,Q5944397,https://www.wikidata.org/wiki/Q5944397,,,,,,,
"Ruin Tan Arash Hospital, Tehran",https://en.wikipedia.org/wiki/Ruin_Tan_Arash_Hospital%2C_Tehran,,,,,,,,,
Sarem Hospital,https://en.wikipedia.org/wiki/Sarem_Hospital,Q96404995,https://www.wikidata.org/wiki/Q96404995,,,,,,,
Noor Ophthalmology Complex,https://en.wikipedia.org/wiki/Noor_Ophthalmology_Complex,Q18354245,https://www.wikidata.org/wiki/Q18354245,,,,,,,
