tweet_id,created_at,text,likes,retweets,replies,Text_original,Text_en
2002425958863716601,Sat Dec 20 17:08:46 +0000 2025,RT @Khamenei_fa: بعد از فقدان #رئیسی_عزیز، دیدم تقریباً همه روزنامه‌ها و مطبوعات، در فضای مجازی، اشخاص گوناگون جریانهای مختلف از خدمات وتلا…,0,2994,0,RT @Khamenei_fa: بعد از فقدان #رئیسی_عزیز، دیدم تقریباً همه روزنامه‌ها و مطبوعات، در فضای مجازی، اشخاص گوناگون جریانهای مختلف از خدمات وتلا…,"RT @Khamenei_fa: After the loss of #Raisi_Aziz, I saw almost all the newspapers and press, in cyber space, various people, different streams of services and services..."
2002107213557682181,Fri Dec 19 20:02:11 +0000 2025,"RT @alibahaadori: وقتی پیش‌مان بود، توهین و تخریبش می‌کردند تا حواس مردم از عملکردش پرت شود و خوبی‌هایش را نبینند

بعد از شهادتش توهین و تخ…",0,522,0,"RT @alibahaadori: وقتی پیش‌مان بود، توهین و تخریبش می‌کردند تا حواس مردم از عملکردش پرت شود و خوبی‌هایش را نبینند

بعد از شهادتش توهین و تخ…","RT @alibahaadori: When he was in front of us, they used to insult and destroy him so that people's attention would be distracted from his performance and not see his good qualities.

After his testimony, insults and insults..."
1993505843677892695,Wed Nov 26 02:23:25 +0000 2025,RT @hossein_pak69: دکترین بازدارندگی رژیم صهیونیستی در سال‌های اخیر بر دو اصل استوار بود، اما اخیراً دو اصل دیگر نیز به آن افزوده شده است.…,0,60,0,RT @hossein_pak69: دکترین بازدارندگی رژیم صهیونیستی در سال‌های اخیر بر دو اصل استوار بود، اما اخیراً دو اصل دیگر نیز به آن افزوده شده است.…,"RT @hossein_pak69: The deterrence doctrine of the Zionist regime was based on two principles in recent years, but recently two more principles have been added to it."
1984454493895901259,Sat Nov 01 02:56:35 +0000 2025,RT @hossein_pak69: با توجه به تحرکات سنگین دشمن در هفته‌های اخیر و تلاش برای هدف قرار دادن «هسته سختِ باورمند به مقاومت» با هدف القای شکست،…,0,40,0,RT @hossein_pak69: با توجه به تحرکات سنگین دشمن در هفته‌های اخیر و تلاش برای هدف قرار دادن «هسته سختِ باورمند به مقاومت» با هدف القای شکست،…,"RT @hossein_pak69: Considering the heavy movements of the enemy in recent weeks and the attempt to target the ""hard core of believers in the resistance"" with the aim of inducing defeat,..."
1970053890231214093,Mon Sep 22 09:13:43 +0000 2025,RT @hossein_pak69: رژیم صهیونیستی در برابر مسئله به رسمیت شناخته شدن فلسطین و موضوع دو دولت عملاً گزینه‌ای جز اشغال کامل کرانه‌ی باختری ندا…,0,45,0,RT @hossein_pak69: رژیم صهیونیستی در برابر مسئله به رسمیت شناخته شدن فلسطین و موضوع دو دولت عملاً گزینه‌ای جز اشغال کامل کرانه‌ی باختری ندا…,RT @hossein_pak69: The Zionist regime has practically no choice but to completely occupy the West Bank in the face of the recognition of Palestine and the issue of two states...
1965513534768644269,Tue Sep 09 20:31:58 +0000 2025,"RT @Khamenei_fa: رژیم صهیونیستی امروز منزوی‌ترین و منفورترین دولت دنیاست،
اما باید بیشتر منزوی شود.
این وظیفه همه دولت‌هاست.",0,1440,0,"RT @Khamenei_fa: رژیم صهیونیستی امروز منزوی‌ترین و منفورترین دولت دنیاست،
اما باید بیشتر منزوی شود.
این وظیفه همه دولت‌هاست.","RT @Khamenei_fa: Today, the Zionist regime is the most isolated and hated state in the world.
But it should be more isolated.
This is the duty of all governments."
1965513209370329437,Tue Sep 09 20:30:41 +0000 2025,RT @hossein_pak69: پایتخت قطر در حالی دوازده بار پیاپی هدف بمباران قرار گرفت که پیچیده‌ترین سامانه دفاعی آمریکا تصمیم گرفت از این شهر دفاع…,0,272,0,RT @hossein_pak69: پایتخت قطر در حالی دوازده بار پیاپی هدف بمباران قرار گرفت که پیچیده‌ترین سامانه دفاعی آمریکا تصمیم گرفت از این شهر دفاع…,"RT @hossein_pak69: The capital of Qatar was bombed twelve times in a row, and the most sophisticated American defense system decided to defend this city..."
1942473085183029358,Tue Jul 08 06:37:27 +0000 2025,RT @mirbaqeri_ir: فتوایی که مراجع بزرگ شیعه و علمای اسلام دربارۀ پیامدهای هرگونه تعرّض به مقام‌ ولایت فقیه صادر کردند، می‌تواند دنیا را برا…,0,539,0,RT @mirbaqeri_ir: فتوایی که مراجع بزرگ شیعه و علمای اسلام دربارۀ پیامدهای هرگونه تعرّض به مقام‌ ولایت فقیه صادر کردند، می‌تواند دنیا را برا…,RT @mirbaqeri_ir: The fatwa issued by the great Shia authorities and Islamic scholars about the consequences of any challenge to the authority of the religious authority can change the world for...
1942344581296934917,Mon Jul 07 22:06:49 +0000 2025,RT @hosein_kazeruni: اعتقاد راسخ به وعده‌های الهی، ضربات موشکی سهمگین و کوبنده ایران، ایستادگی پیوسته یمن در زدن عمق دشمن و فداکاری‌های بی‌…,0,7,0,RT @hosein_kazeruni: اعتقاد راسخ به وعده‌های الهی، ضربات موشکی سهمگین و کوبنده ایران، ایستادگی پیوسته یمن در زدن عمق دشمن و فداکاری‌های بی‌…,"RT @hosein_kazeruni: Firm belief in God's promises, Iran's powerful and crushing missile strikes, Yemen's continuous resistance to hitting the depth of the enemy and the sacrifices of..."
1941995397125218637,Sun Jul 06 22:59:17 +0000 2025,"✍️طراح اصلی جبهه یزید در کربلا یهود است.
از امام صادق(ع) درباره‌ی آیه ۴ سوره اسراء پرسیدند،
 که می‌فرماید: بنی اسرائیل دوبار در زمین فساد و طغیان عظیم خواهند کرد.
فرمود: وَ لَتَعْلُنَّ عُلُوًّا کَبِیراً (طغیان عظیم)
منظور شهادت امام حسین (علیه السلام) است.
کافی ج۸ ص۲۰۶",653,88,85,"✍️طراح اصلی جبهه یزید در کربلا یهود است.
از امام صادق(ع) درباره‌ی آیه ۴ سوره اسراء پرسیدند،
 که می‌فرماید: بنی اسرائیل دوبار در زمین فساد و طغیان عظیم خواهند کرد.
فرمود: وَ لَتَعْلُنَّ عُلُوًّا کَبِیراً (طغیان عظیم)
منظور شهادت امام حسین (علیه السلام) است.
کافی ج۸ ص۲۰۶","The main designer of the Yazid Front in Karbala is a Jew.
They asked Imam Sadiq (a.s.) about verse 4 of Surah Israa.
 which says: The children of Israel will cause corruption and great rebellion twice in the land.
He said: And let's go up a great flood.
It means the martyrdom of Imam Hussain (peace be upon him).
Kafi, vol. 8, p. 206"
