tweet_id,created_at,text,likes,retweets,replies,Text_original,Text_en
1880379904325480894,Fri Jan 17 22:21:19 +0000 2025,RT @reza283813: ملاقات با آقای استفان هارپر نخست وزیر سابق کانادا در گردهمایی ایران آزاد ۲۰۲۴- در این ملاقات در مورد وقایع اخیر ایران و اهم…,0,9,0,RT @reza283813: ملاقات با آقای استفان هارپر نخست وزیر سابق کانادا در گردهمایی ایران آزاد ۲۰۲۴- در این ملاقات در مورد وقایع اخیر ایران و اهم…,"RT @reza283813: Meeting with Mr. Stephen Harper, the former Prime Minister of Canada, at the Iran Azad 2024 gathering - in this meeting about the recent events in Iran and most importantly..."
1880379876378923108,Fri Jan 17 22:21:12 +0000 2025,RT @MQayyumi313: از عقب‌نشینی حزب‌الله تا توقف انتقال تسلیحات ایران، سقوط اسد نقطه‌ای بی‌بازگشت برای رژیم ایران بود. امروز، منطقه با پایان…,0,117,0,RT @MQayyumi313: از عقب‌نشینی حزب‌الله تا توقف انتقال تسلیحات ایران، سقوط اسد نقطه‌ای بی‌بازگشت برای رژیم ایران بود. امروز، منطقه با پایان…,"RT @MQayyumi313: From the withdrawal of Hezbollah to the cessation of arms transfers to Iran, the fall of Assad was a point of no return for the Iranian regime. Today, the area with the end…"
1880379863489732914,Fri Jan 17 22:21:09 +0000 2025,"RT @iranema2017: حسین وثیق از ایتالیا - ۲۷هزار یورو کمک جمعی 
۲۹مین همیاری با سیمای آزادی را تبریک می‌گویم.
مجاهدین در عملیاتهایشان سربازان…",0,89,0,"RT @iranema2017: حسین وثیق از ایتالیا - ۲۷هزار یورو کمک جمعی 
۲۹مین همیاری با سیمای آزادی را تبریک می‌گویم.
مجاهدین در عملیاتهایشان سربازان…","RT @iranema2017: Hossein Vathiq from Italy - 27,000 euros collective aid 
Congratulations on the 29th collaboration with Sima Azadi.
The Mujahideen soldiers in their operations..."
1880379850743267653,Fri Jan 17 22:21:06 +0000 2025,"RT @en_simayazadi: In the fight for freedom, every voice counts. Let’s amplify the Iranian people’s courage.
#FreeIranTelethon https://t.co…",0,77,0,"RT @en_simayazadi: In the fight for freedom, every voice counts. Let’s amplify the Iranian people’s courage.
#FreeIranTelethon https://t.co…","RT @en_simayazadi: In the fight for freedom, every voice counts. Let’s amplify the Iranian people’s courage.
#FreeIranTelethon https://t.co…"
1880379835891286324,Fri Jan 17 22:21:03 +0000 2025,RT @AhmadnajadF: 🔴همیاری ۲۸ با سیمای آزادی به یاد زنده‌یاد معصومه جوشقانی دکتر محمدعلی شیخی از فرانسه #همیاری #قيام_تا_سرنگونى #FreeIranTel…,0,17,0,RT @AhmadnajadF: 🔴همیاری ۲۸ با سیمای آزادی به یاد زنده‌یاد معصومه جوشقانی دکتر محمدعلی شیخی از فرانسه #همیاری #قيام_تا_سرنگونى #FreeIranTel…,"RT @AhmadnajadF: 🔴Hamiary 28 with Azadi Sea in memory of Masoumeh Joshghani, Dr. Mohammad Ali Sheikhi from France #حمياري #قيام_تا_سرنگونى #FreeIranTel…"
1880379820896579675,Fri Jan 17 22:20:59 +0000 2025,"RT @en_simayazadi: Every contribution helps uncover the regime’s human rights violations and spreads the truth.
#FreeIranTelethon https://t…",0,97,0,"RT @en_simayazadi: Every contribution helps uncover the regime’s human rights violations and spreads the truth.
#FreeIranTelethon https://t…","RT @en_simayazadi: Every contribution helps uncover the regime’s human rights violations and spreads the truth.
#FreeIranTelethon https://t…"
1880379801678278919,Fri Jan 17 22:20:55 +0000 2025,"RT @en_simayazadi: Simay Azadi is the voice of a nation yearning for freedom. Be a part of this mission.
#FreeIranTelethon https://t.co/1u0…",0,61,0,"RT @en_simayazadi: Simay Azadi is the voice of a nation yearning for freedom. Be a part of this mission.
#FreeIranTelethon https://t.co/1u0…","RT @en_simayazadi: Simay Azadi is the voice of a nation yearning for freedom. Be a part of this mission.
#FreeIranTelethon https://t.co/1u0…"
1880379787270861016,Fri Jan 17 22:20:51 +0000 2025,"RT @en_simayazadi: The regime censors, but the truth finds its way. Support Simay Azadi’s mission for justice.
#FreeIranTelethon https://t.…",0,28,0,"RT @en_simayazadi: The regime censors, but the truth finds its way. Support Simay Azadi’s mission for justice.
#FreeIranTelethon https://t.…","RT @en_simayazadi: The regime censors, but the truth finds its way. Support Simay Azadi’s mission for justice.
#FreeIranTelethon https://t.…"
1880379768321016027,Fri Jan 17 22:20:47 +0000 2025,"RT @reza283813: در دیدار با خانم ایزابلا کنوپاتکا عضو هيأت رئيسه و رئیس فدراسیون کانون‌های وکلای اروپا تا ژوئن ۲۰۲۴
#Iran  
#FreeIran2025…",0,13,0,"RT @reza283813: در دیدار با خانم ایزابلا کنوپاتکا عضو هيأت رئيسه و رئیس فدراسیون کانون‌های وکلای اروپا تا ژوئن ۲۰۲۴
#Iran  
#FreeIran2025…","RT @reza283813: In a meeting with Ms. Isabella Kenopatka, member of the board and president of the Federation of European Bar Associations until June 2024
#Iran  
#FreeIran2025…"
1880379755054395477,Fri Jan 17 22:20:44 +0000 2025,"RT @en_simayazadi: Fighting censorship, exposing tyranny, and amplifying hope—support the cause for a free Iran.
#FreeIranTelethon https://…",0,38,0,"RT @en_simayazadi: Fighting censorship, exposing tyranny, and amplifying hope—support the cause for a free Iran.
#FreeIranTelethon https://…","RT @en_simayazadi: Fighting censorship, exposing tyranny, and amplifying hope—support the cause for a free Iran.
#FreeIranTelethon https://…"
